timestamped_line
[16:43:07] ▶ Starting baseline phase for 2.5 seconds...
[16:43:07] t (s) | A | B | C | D
[16:43:12] 2.500 | 33275 | 33104 | 9 | 23703
[16:43:12] 2.550 | 32220 | 33956 | 7 | 23691
[16:43:12] 2.600 | 33452 | 34371 | 8 | 23692
[16:43:12] 2.650 | 28681 | 37546 | 11 | 23693
[16:43:12] 2.700 | 36283 | 36914 | 8 | 23698
[16:43:12] 2.750 | 39945 | 34372 | 9 | 23695
[16:43:12] 2.800 | 34386 | 35196 | 8 | 23698
[16:43:12] 2.850 | 33470 | 35222 | 8 | 23704
[16:43:13] 2.900 | 34339 | 33228 | 11 | 23710
[16:43:13] 2.950 | 32387 | 32121 | 12 | 23709
[16:43:13] 3.000 | 36378 | 38702 | 8 | 23714
[16:43:13] 3.050 | 35454 | 39181 | 11 | 23699
[16:43:13] 3.100 | 34177 | 37945 | 14 | 23692
[16:43:13] 3.150 | 33936 | 38767 | 8 | 23684
[16:43:13] 3.200 | 36509 | 33431 | 7 | 23709
[16:43:13] 3.250 | 36146 | 30654 | 4 | 23712
[16:43:13] 3.300 | 30994 | 32701 | 8 | 23727
[16:43:13] 3.350 | 34588 | 36983 | 12 | 23735
[16:43:13] 3.400 | 31111 | 38080 | 12 | 23712
[16:43:13] 3.450 | 35657 | 36890 | 13 | 23718
[16:43:13] 3.500 | 33806 | 36256 | 6 | 23731
[16:43:13] 3.550 | 31634 | 39844 | 11 | 23738
[16:43:13] 3.600 | 34804 | 33349 | 8 | 23729
[16:43:13] 3.650 | 33984 | 32897 | 10 | 23714
[16:43:13] 3.700 | 33301 | 35621 | 11 | 23725
[16:43:13] 3.750 | 34916 | 36273 | 9 | 23748
[16:43:13] 3.800 | 38075 | 35659 | 12 | 23715
[16:43:13] 3.850 | 35882 | 35274 | 10 | 23729
[16:43:14] 3.900 | 32287 | 36278 | 12 | 23748
[16:43:14] 3.950 | 33584 | 37462 | 8 | 23759
[16:43:14] 4.000 | 31074 | 34952 | 8 | 23753
[16:43:14] 4.050 | 41027 | 35507 | 9 | 23728
[16:43:14] 4.100 | 37917 | 30635 | 8 | 23740
[16:43:14] 4.150 | 32585 | 35236 | 6 | 23731
[16:43:14] 4.200 | 34422 | 38548 | 8 | 23736
[16:43:14] 4.250 | 31548 | 36172 | 11 | 23729
[16:43:14] 4.300 | 33833 | 36123 | 11 | 23735
[16:43:14] 4.350 | 31332 | 35397 | 9 | 23756
[16:43:14] 4.400 | 34788 | 34690 | 10 | 23763
[16:43:14] 4.450 | 30511 | 40144 | 10 | 23739
[16:43:14] 4.500 | 31132 | 39519 | 6 | 23763
[16:43:14] 4.550 | 36322 | 35281 | 7 | 23752
[16:43:14] 4.600 | 31936 | 33584 | 14 | 23754
[16:43:14] 4.650 | 32511 | 37605 | 14 | 23747
[16:43:14] 4.700 | 33708 | 33330 | 11 | 23753
[16:43:14] 4.750 | 36087 | 31267 | 9 | 23748
[16:43:14] 4.800 | 31777 | 33603 | 11 | 23760
[16:43:14] 4.850 | 31473 | 42579 | 8 | 23750
