timestamped_line
[16:40:14] ▶ Starting baseline phase for 2.5 seconds...
[16:40:14] t (s) | A | B | C | D
[16:40:19] 2.750 | 5 | 19 | 6867 | 22
[16:40:19] 2.800 | 6 | 8 | 45 | 8
[16:40:19] 2.850 | 4 | 11 | 42 | 19
[16:40:19] 2.900 | 12 | 34 | 56 | 4
[16:40:19] 2.950 | 4 | 12 | 48 | 10
[16:40:19] 3.000 | 13 | 33 | 35 | 6
[16:40:19] 3.050 | 4 | 31 | 42 | 18
[16:40:19] 3.100 | 4 | 42 | 36 | 6
[16:40:19] 3.150 | 11 | 19 | 37 | 20
[16:40:19] 3.200 | 4 | 29 | 52 | 17
[16:40:19] 3.250 | 4 | 33 | 50 | 16
[16:40:19] 3.300 | 7 | 27 | 61 | 10
[16:40:20] 3.350 | 13 | 27 | 38 | 14
[16:40:20] 3.400 | 11 | 26 | 61 | 17
[16:40:20] 3.450 | 4 | 15 | 29 | 11
[16:40:20] 3.500 | 4 | 15 | 43 | 17
[16:40:20] 3.550 | 4 | 16 | 48 | 9
[16:40:20] 3.600 | 4 | 8 | 43 | 9
[16:40:20] 3.650 | 4 | 22 | 36 | 7
[16:40:20] 3.700 | 7 | 16 | 54 | 5
[16:40:20] 3.750 | 7 | 13 | 36 | 7
[16:40:20] 3.800 | 4 | 17 | 41 | 7
[16:40:20] 3.850 | 4 | 6 | 32 | 10
[16:40:20] 3.900 | 4 | 14 | 41 | 8
[16:40:20] 3.950 | 4 | 22 | 38 | 8
[16:40:20] 4.000 | 4 | 9 | 57 | 15
[16:40:20] 4.050 | 11 | 10 | 48 | 11
[16:40:20] 4.100 | 4 | 8424 | 46 | 22321
[16:40:20] 4.150 | 11 | 8284 | 49 | 16281
[16:40:20] 4.200 | 5 | 14460 | 56 | 35908
[16:40:20] 4.250 | 13 | 24297 | 78 | 28365
[16:40:20] 4.300 | 16 | 25893 | 59 | 34970
[16:40:21] 4.350 | 22 | 26315 | 62 | 28800
[16:40:21] 4.400 | 14 | 27599 | 57 | 30816
[16:40:21] 4.450 | 12 | 27249 | 73 | 33025
[16:40:21] 4.500 | 11 | 22485 | 54 | 30300
[16:40:21] 4.550 | 17 | 21818 | 67 | 30101
[16:40:21] 4.600 | 8 | 20773 | 64 | 29917
[16:40:21] 4.650 | 7 | 20089 | 53 | 29880
[16:40:21] 4.700 | 9 | 23709 | 71 | 29979
[16:40:21] 4.750 | 15 | 21393 | 73 | 29886
[16:40:21] 4.800 | 16 | 21663 | 67 | 29359
[16:40:21] 4.850 | 13 | 26887 | 75 | 30075
[16:40:21] 4.900 | 13 | 27759 | 65 | 33309
[16:40:21] 4.950 | 14 | 28552 | 81 | 33870
[16:40:21] 5.000 | 10 | 28868 | 63 | 30339
[16:40:21] 5.050 | 14 | 29708 | 77 | 30555
[16:40:21] 5.100 | 17 | 29699 | 79 | 30537
[16:40:21] 5.150 | 18 | 29372 | 71 | 30404
[16:40:21] 5.200 | 8 | 28525 | 67 | 27639
[16:40:21] 5.250 | 9 | 27282 | 67 | 25348
[16:40:21] 5.300 | 8 | 18250 | 69 | 22143
[16:40:22] 5.350 | 9 | 22459 | 73 | 27205
[16:40:22] 5.400 | 10 | 26102 | 67 | 27933
[16:40:22] 5.450 | 14 | 26525 | 75 | 27095
[16:40:22] 5.500 | 10 | 28798 | 81 | 30055
[16:40:22] 5.550 | 14 | 28725 | 67 | 30215
[16:40:22] 5.600 | 14 | 28558 | 69 | 30129
[16:40:22] 5.650 | 4 | 27179 | 67 | 30802
[16:40:22] 5.700 | 13 | 19753 | 63 | 30991
[16:40:22] 5.750 | 17 | 13725 | 58 | 32547
[16:40:22] 5.800 | 11 | 1580 | 56 | 30448
[16:40:22] 5.850 | 11 | 10250 | 61 | 18927
[16:40:22] 5.900 | 9 | 9778 | 49 | 7
[16:40:22] 5.950 | 10 | 7550 | 41 | 12
[16:40:22] 6.000 | 5 | 19 | 40 | 10
[16:40:22] 6.050 | 4 | 11 | 50 | 10
[16:40:22] 6.100 | 19 | 26 | 55 | 13
[16:40:22] 6.150 | 6 | 17 | 53 | 13
[16:40:22] 6.200 | 8 | 21 | 56 | 19
[16:40:22] 6.250 | 5 | 32 | 52 | 16
[16:40:22] 6.300 | 11 | 33 | 55 | 39
[16:40:23] 6.350 | 12 | 37 | 68 | 25
[16:40:23] 6.400 | 5 | 30 | 48 | 11
[16:40:23] 6.450 | 9 | 35 | 58 | 21
[16:40:23] 6.500 | 5 | 33 | 52 | 25
[16:40:23] 6.550 | 4 | 38 | 57 | 15
[16:40:23] 6.600 | 8 | 47 | 54 | 16
[16:40:23] 6.650 | 10 | 38 | 60 | 39
[16:40:23] 6.700 | 10 | 43 | 65 | 29
[16:40:23] 6.750 | 7 | 31 | 61 | 34
[16:40:23] 6.800 | 11 | 39 | 41 | 31
[16:40:23] 6.850 | 5 | 44 | 63 | 45
[16:40:23] 6.900 | 8 | 42 | 49 | 51
[16:40:23] 6.950 | 7 | 41 | 65 | 46
[16:40:23] 7.000 | 7 | 47 | 73 | 26
[16:40:23] 7.050 | 10 | 53 | 60 | 37
[16:40:23] 7.100 | 7 | 44 | 72 | 45
[16:40:23] 7.150 | 13 | 61 | 59 | 26
[16:40:23] 7.200 | 7 | 44 | 66 | 24
[16:40:23] 7.250 | 4 | 50 | 53 | 36
[16:40:23] 7.300 | 15 | 35 | 81 | 24
[16:40:24] 7.350 | 7 | 41 | 50 | 34
[16:40:24] 7.400 | 7 | 47 | 60 | 29
