timestamped_line
[15:23:09] ▶ Starting baseline phase for 2.5 seconds...
[15:23:09] t (s) | A | B | C | D
[15:23:14] 2.500 | 36960 | 38649 | 47 | 25910
[15:23:14] 2.550 | 32489 | 36321 | 39 | 25952
[15:23:14] 2.600 | 35897 | 36660 | 33 | 25970
[15:23:14] 2.650 | 35018 | 37306 | 40 | 25999
[15:23:14] 2.700 | 40091 | 46140 | 49 | 25983
[15:23:14] 2.750 | 38696 | 37278 | 45 | 26016
[15:23:14] 2.800 | 36830 | 38521 | 43 | 25977
[15:23:14] 2.850 | 35999 | 40670 | 42 | 25992
[15:23:14] 2.900 | 33707 | 37198 | 39 | 25981
[15:23:14] 2.950 | 36702 | 38010 | 45 | 25983
[15:23:14] 3.000 | 37411 | 37997 | 47 | 25956
[15:23:15] 3.050 | 40828 | 41268 | 41 | 25984
[15:23:15] 3.100 | 41377 | 35924 | 43 | 25998
[15:23:15] 3.150 | 37991 | 48001 | 46 | 26025
[15:23:15] 3.200 | 37016 | 38429 | 40 | 26041
[15:23:15] 3.250 | 38311 | 38896 | 43 | 26081
[15:23:15] 3.300 | 38934 | 37688 | 41 | 26062
[15:23:15] 3.350 | 37073 | 34600 | 41 | 26043
[15:23:15] 3.400 | 33711 | 41247 | 42 | 26037
[15:23:15] 3.450 | 40296 | 40322 | 40 | 26044
[15:23:15] 3.500 | 37331 | 41434 | 38 | 26051
[15:23:15] 3.550 | 37011 | 37702 | 41 | 26035
[15:23:15] 3.600 | 33751 | 32957 | 39 | 26034
[15:23:15] 3.650 | 34964 | 40765 | 40 | 26056
[15:23:15] 3.700 | 38133 | 41735 | 33 | 26043
[15:23:15] 3.750 | 34802 | 44769 | 44 | 26034
[15:23:15] 3.800 | 40257 | 40114 | 48 | 26041
[15:23:15] 3.850 | 36456 | 40494 | 45 | 26044
[15:23:15] 3.900 | 36895 | 41144 | 40 | 26070
[15:23:15] 3.950 | 37148 | 36989 | 39 | 26035
[15:23:15] 4.000 | 39360 | 43955 | 44 | 26044
[15:23:16] 4.050 | 34643 | 36724 | 45 | 26066
[15:23:16] 4.100 | 35851 | 39226 | 48 | 26056
[15:23:16] 4.150 | 34800 | 34103 | 37 | 26042
[15:23:16] 4.200 | 37519 | 37570 | 39 | 26039
[15:23:16] 4.250 | 35959 | 34439 | 46 | 26032
[15:23:16] 4.300 | 36004 | 36062 | 40 | 26037
[15:23:16] 4.350 | 36587 | 36330 | 37 | 25998
[15:23:16] 4.400 | 34655 | 42155 | 43 | 25980
[15:23:16] 4.450 | 35617 | 37219 | 38 | 25987
[15:23:16] 4.500 | 42443 | 32219 | 42 | 25962
[15:23:16] 4.550 | 41396 | 39613 | 36 | 25987
[15:23:16] 4.600 | 36156 | 41084 | 42 | 25993
[15:23:16] 4.650 | 32870 | 38018 | 48 | 26005
[15:23:16] 4.700 | 35486 | 38679 | 49 | 26025
[15:23:16] 4.750 | 35597 | 43231 | 50 | 26040
[15:23:16] 4.800 | 32854 | 33394 | 46 | 26016
[15:23:16] 4.850 | 33818 | 40115 | 36 | 26023
[15:23:16] 4.900 | 32954 | 38546 | 37 | 26059
[15:23:16] 4.950 | 36732 | 36254 | 46 | 26353
[15:23:16] 5.000 | 33026 | 35260 | 44 | 26549
[15:23:17] 5.050 | 38823 | 38924 | 40 | 26746
[15:23:17] 5.100 | 33553 | 34467 | 41 | 26894
[15:23:17] 5.150 | 33257 | 36861 | 43 | 26871
