timestamped_line
[18:47:50] ▶ Starting baseline phase for 2.5 seconds...
[18:47:50] t (s) | A | B | C | D
[18:47:56] 3.050 | 35 | 70 | 212 | 246
[18:47:56] 3.100 | 32 | 79 | 221 | 257
[18:47:56] 3.150 | 32 | 64 | 215 | 249
[18:47:56] 3.200 | 40 | 77 | 208 | 254
[18:47:56] 3.250 | 33 | 74 | 228 | 245
[18:47:56] 3.300 | 40 | 54 | 224 | 249
[18:47:56] 3.350 | 38 | 69 | 211 | 249
[18:47:56] 3.400 | 34 | 71 | 222 | 243
[18:47:56] 3.450 | 29 | 71 | 205 | 253
[18:47:56] 3.500 | 38 | 68 | 214 | 250
[18:47:56] 3.550 | 27 | 76 | 227 | 250
[18:47:56] 3.600 | 21 | 56 | 206 | 255
[18:47:56] 3.650 | 29 | 68 | 201 | 230
[18:47:56] 3.700 | 40 | 65 | 223 | 245
[18:47:56] 3.750 | 36 | 87 | 220 | 238
[18:47:56] 3.800 | 41 | 73 | 218 | 256
[18:47:57] 3.850 | 37 | 71 | 219 | 239
[18:47:57] 3.900 | 38 | 69 | 217 | 249
[18:47:57] 3.950 | 33 | 74 | 207 | 242
[18:47:57] 4.000 | 25 | 79 | 214 | 236
[18:47:57] 4.050 | 20 | 65 | 232 | 236
[18:47:57] 4.100 | 29 | 71 | 218 | 250
[18:47:57] 4.150 | 59 | 67 | 225 | 239
[18:47:57] 4.200 | 39 | 64 | 208 | 240
[18:47:57] 4.250 | 33 | 62 | 215 | 252
[18:47:57] 4.300 | 42 | 67 | 211 | 240
[18:47:57] 4.350 | 38 | 65 | 221 | 245
[18:47:57] 4.400 | 33 | 85 | 227 | 250
[18:47:57] 4.450 | 41 | 60 | 204 | 238
[18:47:57] 4.500 | 35 | 65 | 221 | 243
[18:47:57] 4.550 | 27 | 66 | 218 | 241
[18:47:57] 4.600 | 29 | 62 | 215 | 239
[18:47:57] 4.650 | 37 | 78 | 227 | 246
[18:47:57] 4.700 | 31 | 69 | 217 | 236
[18:47:57] 4.750 | 31 | 58 | 211 | 252
[18:47:57] 4.800 | 26 | 66 | 214 | 252
[18:47:58] 4.850 | 35 | 63 | 211 | 249
[18:47:58] 4.900 | 34 | 65 | 228 | 255
[18:47:58] 4.950 | 48 | 65 | 221 | 247
[18:47:58] 5.000 | 38 | 61 | 213 | 234
[18:47:58] 5.050 | 46 | 71 | 223 | 252
