timestamped_line
[11:50:06] ▶ Starting baseline phase for 2.5 seconds...
[11:50:06] t (s) | A | B | C | D
[11:50:11] 2.550 | 34656 | 34313 | 82 | 30511
[11:50:11] 2.600 | 28441 | 32684 | 88 | 30518
[11:50:11] 2.650 | 30698 | 30449 | 77 | 30521
[11:50:11] 2.700 | 38509 | 33088 | 74 | 30518
[11:50:11] 2.750 | 32462 | 31496 | 93 | 30524
[11:50:11] 2.800 | 35634 | 31745 | 79 | 30549
[11:50:11] 2.850 | 34456 | 30301 | 87 | 30555
[11:50:11] 2.900 | 36451 | 35629 | 85 | 30553
[11:50:11] 2.950 | 32188 | 30755 | 91 | 30556
[11:50:11] 3.000 | 33144 | 29326 | 76 | 30561
[11:50:11] 3.050 | 31716 | 29989 | 75 | 30573
[11:50:11] 3.100 | 31486 | 33700 | 74 | 30573
[11:50:11] 3.150 | 27328 | 31923 | 65 | 30584
[11:50:11] 3.200 | 30924 | 29257 | 87 | 30576
[11:50:11] 3.250 | 30563 | 37306 | 76 | 30571
[11:50:11] 3.300 | 32876 | 32695 | 88 | 30570
[11:50:12] 3.350 | 31176 | 29490 | 75 | 30584
[11:50:12] 3.400 | 29774 | 32829 | 67 | 30575
[11:50:12] 3.450 | 28805 | 32915 | 78 | 30589
[11:50:12] 3.500 | 32843 | 32990 | 99 | 30578
[11:50:12] 3.550 | 33123 | 31032 | 67 | 30563
[11:50:12] 3.600 | 31403 | 36632 | 93 | 30581
[11:50:12] 3.650 | 32474 | 33749 | 68 | 30578
[11:50:12] 3.700 | 32445 | 28085 | 88 | 30566
[11:50:12] 3.750 | 32672 | 30742 | 76 | 30566
[11:50:12] 3.800 | 31140 | 30341 | 69 | 30572
[11:50:12] 3.850 | 34047 | 31359 | 77 | 30572
[11:50:12] 3.900 | 37203 | 31139 | 89 | 30566
[11:50:12] 3.950 | 33276 | 31072 | 60 | 30571
[11:50:12] 4.000 | 31549 | 32465 | 89 | 30568
[11:50:12] 4.050 | 31974 | 35059 | 76 | 30574
[11:50:12] 4.100 | 26317 | 31021 | 71 | 30568
[11:50:12] 4.150 | 30493 | 29619 | 80 | 30571
[11:50:12] 4.200 | 30754 | 31774 | 69 | 30567
[11:50:12] 4.250 | 31241 | 30838 | 85 | 30567
[11:50:12] 4.300 | 31390 | 29133 | 83 | 30579
[11:50:13] 4.350 | 31143 | 41131 | 93 | 30575
[11:50:13] 4.400 | 33527 | 33661 | 64 | 30576
[11:50:13] 4.450 | 34987 | 29056 | 73 | 30582
[11:50:13] 4.500 | 29044 | 28319 | 77 | 30579
[11:50:13] 4.550 | 33091 | 29040 | 76 | 30583
[11:50:13] 4.600 | 29759 | 30923 | 65 | 30581
[11:50:13] 4.650 | 30777 | 29926 | 66 | 30595
[11:50:13] 4.700 | 34910 | 27950 | 76 | 30594
[11:50:13] 4.750 | 35806 | 27936 | 70 | 30589
[11:50:13] 4.800 | 30551 | 28635 | 73 | 30600
[11:50:13] 4.850 | 32321 | 31394 | 78 | 30587
[11:50:13] 4.900 | 32479 | 34178 | 70 | 30588
[11:50:13] 4.950 | 36210 | 34328 | 71 | 30576
[11:50:13] 5.000 | 28131 | 29366 | 70 | 30592
[11:50:13] 5.050 | 31916 | 32836 | 77 | 30597
[11:50:13] 5.100 | 34834 | 29469 | 78 | 30584
