Time(s),Force(N),DeltaF(N),FSR1,FSR2,FSR3
4.55,19.644,1.011,1023,1023,1023
4.76,18.633,-1.011,1023,1023,1023
4.98,19.644,1.011,1023,1022,1023
5.19,18.633,-1.011,1023,1023,1023
5.30,19.644,1.011,1023,1023,1023
5.41,18.633,-1.011,1023,1023,1023
5.53,19.644,1.011,1023,1023,1023
5.84,20.654,1.011,1023,1023,1023
5.95,19.644,-1.011,1023,1023,1023
6.07,18.633,-1.011,1023,1023,1023
6.18,19.644,1.011,1022,1023,1023
6.39,20.654,1.011,855,1023,1023
6.60,21.665,1.011,804,1023,1023
7.22,20.654,-1.011,842,1023,1023
7.33,21.665,1.011,838,1023,1023
7.44,20.654,-1.011,865,1021,1023
7.55,21.665,1.011,841,1023,1022
7.67,20.654,-1.011,818,1023,1023
8.79,19.644,-1.011,1023,1023,1023
9.21,20.654,1.011,1023,1023,1023
9.32,19.644,-1.011,1023,1023,1023
9.43,20.654,1.011,1023,1023,1023
9.54,19.644,-1.011,1023,1023,1023
9.86,20.654,1.011,1023,1023,1023
9.97,19.644,-1.011,1023,1023,1023
10.18,20.654,1.011,837,1023,1023
10.30,21.665,1.011,832,1023,1023
10.51,22.676,1.011,823,1023,1023
10.72,21.665,-1.011,795,1023,1023
10.83,22.676,1.011,794,1023,1023
10.95,23.687,1.011,783,1023,1023
11.06,22.676,-1.011,769,1023,1023
11.17,23.687,1.011,761,1022,1023
11.38,24.697,1.011,728,1023,1023
11.50,26.719,2.021,711,1023,1023
11.61,27.729,1.011,683,1023,1023
11.82,28.740,1.011,650,1023,1023
11.93,29.751,1.011,642,1022,1023
12.15,31.772,2.021,615,1023,1023
12.26,32.783,1.011,602,1023,1023
12.37,34.805,2.021,587,1023,1023
12.48,35.815,1.011,585,1023,1023
12.80,36.826,1.011,560,1023,1023
12.91,37.837,1.011,557,1023,1023
13.22,38.848,1.011,539,1023,1023
13.64,39.858,1.011,521,1023,1023
13.95,40.869,1.011,488,1023,1023
14.06,41.880,1.011,485,1023,1023
14.18,40.869,-1.011,480,1023,1023
14.39,41.880,1.011,463,1023,1023
