timestamped_line
[11:45:43] ▶ Starting baseline phase for 2.5 seconds...
[11:45:43] t (s) | A | B | C | D
[11:45:43] 0.050 | 31778 | 32830 | 89 | 33586
[11:45:43] 0.100 | 34124 | 33858 | 75 | 33600
[11:45:43] 0.150 | 33460 | 30935 | 78 | 33590
[11:45:43] 0.200 | 32311 | 32735 | 73 | 33585
[11:45:43] 0.250 | 32698 | 30625 | 76 | 33577
[11:45:43] 0.300 | 30816 | 35109 | 70 | 33530
[11:45:43] 0.350 | 32835 | 30954 | 86 | 33552
[11:45:43] 0.400 | 31775 | 31267 | 58 | 33498
[11:45:43] 0.450 | 34778 | 32829 | 74 | 33542
[11:45:43] 0.500 | 30121 | 28889 | 77 | 33527
[11:45:43] 0.550 | 30694 | 28639 | 75 | 33499
[11:45:43] 0.600 | 35705 | 30019 | 69 | 33553
[11:45:44] 0.650 | 31791 | 34765 | 88 | 33543
[11:45:44] 0.700 | 33818 | 32101 | 68 | 33542
[11:45:44] 0.750 | 31458 | 34313 | 74 | 33523
[11:45:44] 0.800 | 32689 | 27422 | 90 | 33551
[11:45:44] 0.850 | 32880 | 34419 | 106 | 33551
[11:45:44] 0.900 | 36121 | 31633 | 83 | 33523
[11:45:44] 0.950 | 28495 | 35532 | 73 | 33448
[11:45:44] 1.000 | 27088 | 31821 | 77 | 33467
[11:45:44] 1.050 | 32682 | 31387 | 70 | 33508
[11:45:44] 1.100 | 30494 | 35688 | 90 | 33496
[11:45:44] 1.150 | 33421 | 34053 | 70 | 33488
[11:45:44] 1.200 | 33678 | 42770 | 79 | 33487
[11:45:44] 1.250 | 35550 | 37769 | 69 | 33481
[11:45:44] 1.300 | 35586 | 31864 | 77 | 33468
[11:45:44] 1.350 | 36983 | 32162 | 85 | 33468
[11:45:44] 1.400 | 34529 | 27263 | 70 | 33480
[11:45:44] 1.450 | 35065 | 32891 | 72 | 33490
[11:45:44] 1.500 | 33897 | 31652 | 93 | 33544
[11:45:44] 1.550 | 27430 | 33888 | 72 | 33626
[11:45:44] 1.600 | 33717 | 34800 | 80 | 33645
[11:45:45] 1.650 | 30617 | 33104 | 93 | 33613
[11:45:45] 1.700 | 34183 | 33438 | 77 | 33579
[11:45:45] 1.750 | 33254 | 31095 | 78 | 33612
[11:45:45] 1.800 | 35035 | 33480 | 71 | 33582
[11:45:45] 1.850 | 36901 | 29121 | 97 | 33575
[11:45:45] 1.900 | 32867 | 35497 | 77 | 33441
[11:45:45] 1.950 | 29139 | 33103 | 78 | 33433
[11:45:45] 2.000 | 33783 | 33363 | 88 | 33634
[11:45:45] 2.050 | 32245 | 28627 | 74 | 33604
[11:45:45] 2.100 | 32689 | 30491 | 81 | 33585
[11:45:45] 2.150 | 40102 | 32213 | 72 | 33544
[11:45:45] 2.200 | 28666 | 35688 | 93 | 33514
[11:45:45] 2.250 | 33028 | 31649 | 77 | 33467
[11:45:45] 2.300 | 32265 | 35880 | 95 | 33496
[11:45:45] 2.350 | 34102 | 31826 | 90 | 33449
[11:45:45] 2.400 | 28957 | 28806 | 63 | 33403
[11:45:45] 2.450 | 31463 | 34635 | 89 | 33496
[11:45:45] 2.500 | 31142 | 32759 | 79 | 33552
[11:45:45] ✅ Baseline complete. Starting main recording for 10 seconds...
[11:45:45] 2.550 | 34878 | 30134 | 83 | 33583
[11:45:45] 0.050 | 32189 | 30203 | 89 | 33571
[11:45:46] 0.100 | 29640 | 38503 | 78 | 33563
[11:45:46] 0.150 | 31448 | 34608 | 66 | 33547
[11:45:46] 0.200 | 33981 | 28205 | 89 | 33542
[11:45:46] 0.250 | 30785 | 31771 | 73 | 33420
[11:45:46] 0.300 | 26532 | 28074 | 71 | 33447
[11:45:46] 0.350 | 33592 | 30858 | 72 | 33454
[11:45:46] 0.400 | 29834 | 29831 | 85 | 33483
[11:45:46] 0.450 | 32016 | 32540 | 66 | 33423
[11:45:46] 0.500 | 33704 | 34142 | 81 | 33472
[11:45:46] 0.550 | 31773 | 31262 | 98 | 33507
[11:45:46] 0.600 | 33724 | 37068 | 69 | 33458
[11:45:46] 0.650 | 32581 | 34366 | 81 | 33450
[11:45:46] 0.700 | 34234 | 29570 | 95 | 33446
[11:45:46] 0.750 | 34200 | 33288 | 80 | 33473
[11:45:46] 0.800 | 31329 | 31020 | 75 | 33426
[11:45:46] 0.850 | 35740 | 28804 | 69 | 33447
[11:45:46] 0.900 | 31703 | 34051 | 88 | 33491
[11:45:46] 0.950 | 34516 | 34497 | 88 | 33529
[11:45:46] 1.000 | 29145 | 27751 | 90 | 33487
[11:45:46] 1.050 | 33724 | 42002 | 83 | 33451
[11:45:47] 1.100 | 36292 | 34401 | 77 | 33386
[11:45:47] 1.150 | 33651 | 32756 | 82 | 33401
[11:45:47] 1.200 | 32614 | 32514 | 87 | 33406
[11:45:47] 1.250 | 28030 | 31243 | 72 | 33387
[11:45:47] 1.300 | 31649 | 37538 | 83 | 33338
[11:45:47] 1.350 | 36290 | 28617 | 82 | 33051
[11:45:47] 1.400 | 32233 | 30968 | 56 | 32983
[11:45:47] 1.450 | 29185 | 28592 | 102 | 32990
[11:45:47] 1.500 | 31541 | 30687 | 74 | 32926
[11:45:47] 1.550 | 29969 | 33767 | 93 | 32987
[11:45:47] 1.600 | 31411 | 33924 | 77 | 33012
[11:45:47] 1.650 | 32479 | 34930 | 88 | 33033
[11:45:47] 1.700 | 26723 | 34307 | 90 | 33085
[11:45:47] 1.750 | 33392 | 27923 | 78 | 33088
[11:45:47] 1.800 | 30402 | 33800 | 67 | 33059
[11:45:47] 1.850 | 38303 | 34645 | 96 | 33116
[11:45:47] 1.900 | 34197 | 33064 | 67 | 33131
[11:45:47] 1.950 | 30867 | 32041 | 84 | 33220
[11:45:47] 2.000 | 32767 | 33127 | 77 | 33230
[11:45:47] 2.050 | 37026 | 35230 | 82 | 33198
[11:45:48] 2.100 | 31878 | 36659 | 80 | 33156
[11:45:48] 2.150 | 34515 | 31050 | 94 | 33114
[11:45:48] 2.200 | 27694 | 34331 | 78 | 33119
[11:45:48] 2.250 | 33657 | 28542 | 78 | 33116
[11:45:48] 2.300 | 37191 | 33287 | 85 | 33126
[11:45:48] 2.350 | 33428 | 34162 | 66 | 33128
[11:45:48] 2.400 | 33752 | 29293 | 65 | 33117
[11:45:48] 2.450 | 32163 | 31080 | 84 | 33171
[11:45:48] 2.500 | 35435 | 32986 | 87 | 33177
[11:45:48] 2.550 | 32100 | 29379 | 78 | 33234
[11:45:48] 2.600 | 40614 | 34196 | 89 | 33245
[11:45:48] 2.650 | 32302 | 33515 | 81 | 33276
[11:45:48] 2.700 | 32266 | 34617 | 70 | 33309
[11:45:48] 2.750 | 33163 | 33271 | 81 | 33360
[11:45:48] 2.800 | 37422 | 34945 | 80 | 33411
[11:45:48] 2.850 | 29664 | 30819 | 95 | 33417
[11:45:48] 2.900 | 30972 | 34119 | 80 | 33455
[11:45:48] 2.950 | 29623 | 31223 | 70 | 33471
[11:45:48] 3.000 | 31538 | 32916 | 86 | 33464
[11:45:48] 3.050 | 36248 | 29398 | 78 | 33448
[11:45:49] 3.100 | 33069 | 36021 | 87 | 33525
[11:45:49] 3.150 | 33613 | 31814 | 66 | 33546
[11:45:49] 3.200 | 32644 | 34912 | 68 | 33565
[11:45:49] 3.250 | 34739 | 29372 | 96 | 33520
[11:45:49] 3.300 | 31027 | 28136 | 61 | 33540
[11:45:49] 3.350 | 31281 | 32760 | 108 | 33577
[11:45:49] 3.400 | 32243 | 32927 | 84 | 33550
[11:45:49] 3.450 | 36879 | 33773 | 82 | 33559
[11:45:49] 3.500 | 33738 | 34598 | 73 | 33543
[11:45:49] 3.550 | 34160 | 36076 | 95 | 33548
[11:45:49] 3.600 | 33511 | 31776 | 89 | 33556
[11:45:49] 3.650 | 33060 | 32496 | 93 | 33500
[11:45:49] 3.700 | 31712 | 33128 | 78 | 33495
[11:45:49] 3.750 | 30658 | 33149 | 80 | 33433
[11:45:49] 3.800 | 24781 | 32967 | 81 | 33448
[11:45:49] 3.850 | 32252 | 29358 | 89 | 33468
[11:45:49] 3.900 | 30703 | 33775 | 78 | 33419
[11:45:49] 3.950 | 29606 | 31600 | 84 | 33432
[11:45:49] 4.000 | 26333 | 34618 | 81 | 33365
[11:45:49] 4.050 | 31395 | 33012 | 95 | 33338
[11:45:50] 4.100 | 37278 | 29885 | 74 | 33361
[11:45:50] 4.150 | 38681 | 33567 | 87 | 33399
[11:45:50] 4.200 | 32373 | 27934 | 66 | 33381
[11:45:50] 4.250 | 32967 | 31603 | 84 | 33435
[11:45:50] 4.300 | 34778 | 31904 | 86 | 33430
[11:45:50] 4.350 | 31299 | 34113 | 62 | 33415
[11:45:50] 4.400 | 30006 | 35281 | 90 | 33423
[11:45:50] 4.450 | 36237 | 31713 | 83 | 33486
[11:45:50] 4.500 | 27606 | 27919 | 76 | 33463
[11:45:50] 4.550 | 32042 | 27809 | 73 | 33454
[11:45:50] 4.600 | 32112 | 28425 | 100 | 33448
[11:45:50] 4.650 | 29569 | 33575 | 78 | 33452
[11:45:50] 4.700 | 33843 | 29666 | 77 | 33452
