Time(s),Force(N),DeltaF(N),FSR1,FSR2,FSR3
4.35,16.611,-1.011,1023,1023,1023
4.46,17.622,1.011,1023,1022,1023
4.67,16.611,-1.011,1022,1023,1023
4.89,17.622,1.011,1022,1023,1023
5.10,16.611,-1.011,1022,1023,1023
5.62,17.622,1.011,1023,1023,1023
5.73,16.611,-1.011,1023,1023,1023
5.94,17.622,1.011,1023,1023,1023
6.05,16.611,-1.011,1023,1023,1023
6.17,17.622,1.011,1023,1023,1023
6.48,16.611,-1.011,1023,1023,1023
6.59,17.622,1.011,1022,1023,1023
6.71,18.633,1.011,1023,1023,1023
6.82,17.622,-1.011,1023,1023,1022
7.13,18.633,1.011,853,1023,1023
7.45,19.644,1.011,1023,1023,1023
7.66,20.654,1.011,1022,1023,1023
7.87,21.665,1.011,747,1023,1023
8.09,23.687,2.021,764,1023,1023
8.30,24.697,1.011,809,1023,1023
8.51,23.687,-1.011,1023,1023,1023
8.62,22.676,-1.011,1023,1023,1023
8.73,21.665,-1.011,1023,1023,1023
9.05,22.676,1.011,876,1023,1023
9.16,23.687,1.011,870,1023,1023
9.27,24.697,1.011,849,1023,1023
9.48,26.719,2.021,837,1023,1023
9.80,28.740,2.021,732,1023,1023
10.01,26.719,-2.021,828,1023,1023
10.32,25.708,-1.011,845,1023,1023
10.44,24.697,-1.011,850,1022,1023
10.55,26.719,2.021,837,1023,1023
10.66,27.729,1.011,788,1023,1023
10.77,28.740,1.011,731,1023,1023
10.89,29.751,1.011,716,1023,1023
11.00,30.762,1.011,681,1023,1023
11.11,31.772,1.011,670,1023,1023
11.22,32.783,1.011,646,1023,1023
11.33,33.794,1.011,628,1023,1023
11.44,35.815,2.021,620,1023,1023
11.66,34.805,-1.011,610,1023,1023
11.87,36.826,2.021,599,1023,1023
12.09,37.837,1.011,588,1023,1023
12.20,36.826,-1.011,583,1023,1023
12.31,38.848,2.021,579,1023,1022
12.62,39.858,1.011,572,1023,1023
12.94,38.848,-1.011,560,1023,1023
13.05,39.858,1.011,556,1023,1023
13.37,40.869,1.011,555,1023,1023
13.48,39.858,-1.011,554,1023,1023
13.59,40.869,1.011,552,1023,1022
13.70,39.858,-1.011,551,1023,1023
13.92,41.880,2.021,545,1023,1023
14.03,40.869,-1.011,544,1023,1023
14.24,41.880,1.011,542,1023,1023
14.35,42.891,1.011,542,1023,1023
14.47,41.880,-1.011,541,1023,1023
14.68,38.848,-3.032,551,1023,1023
14.79,33.794,-5.054,606,1022,1023
14.91,30.762,-3.032,699,1023,1023
15.02,27.729,-3.032,789,1023,1022
15.13,25.708,-2.021,855,1023,1023
15.25,24.697,-1.011,870,1023,1023
15.36,23.687,-1.011,911,1023,1021
15.47,21.665,-2.021,926,1023,1023
15.58,20.654,-1.011,937,1023,1023
