Time(s),Force(N),DeltaF(N),FSR1,FSR2,FSR3
4.55,17.622,-1.011,1023,1023,1023
4.66,18.633,1.011,1022,1023,1023
4.88,17.622,-1.011,1023,1023,1023
5.19,18.633,1.011,1023,1023,1023
5.30,17.622,-1.011,1023,1023,1023
5.82,16.611,-1.011,1023,1022,1023
5.93,18.633,2.021,1023,1023,1023
6.15,17.622,-1.011,1023,1023,1023
6.26,18.633,1.011,1023,1023,1023
6.37,17.622,-1.011,1022,1023,1023
6.48,18.633,1.011,1023,1023,1023
6.59,17.622,-1.011,1023,1023,1023
6.71,18.633,1.011,1023,1023,1023
6.82,17.622,-1.011,1023,1023,1023
6.93,18.633,1.011,1023,1023,1023
7.05,19.644,1.011,1023,1023,1023
7.16,17.622,-2.021,1023,1023,1023
7.37,18.633,1.011,1023,1023,1023
7.48,17.622,-1.011,1023,1023,1023
7.80,16.611,-1.011,1023,1023,1023
7.91,17.622,1.011,1023,1023,1023
8.12,18.633,1.011,1023,1023,1023
8.34,17.622,-1.011,1023,1023,1023
8.55,18.633,1.011,1022,1022,1023
8.76,17.622,-1.011,1022,1023,1023
9.28,19.644,2.021,433,1023,1023
9.39,18.633,-1.011,434,1023,1023
9.81,19.644,1.011,432,1023,1023
9.92,20.654,1.011,428,1023,1023
10.03,19.644,-1.011,421,1023,1023
10.14,20.654,1.011,420,1023,1023
10.35,21.665,1.011,418,1023,1023
10.47,20.654,-1.011,417,1023,1023
10.68,21.665,1.011,417,1023,1023
10.79,20.654,-1.011,417,1023,1023
10.91,21.665,1.011,416,1022,1023
11.02,22.676,1.011,411,1022,1023
11.23,24.697,2.021,397,1023,1023
11.65,25.708,1.011,384,1023,1023
12.06,26.719,1.011,380,1023,1023
12.27,25.708,-1.011,379,1023,1023
12.49,26.719,1.011,377,1023,1023
12.90,27.729,1.011,371,1023,1023
13.12,28.740,1.011,366,1023,1023
13.23,27.729,-1.011,365,1023,1023
13.34,28.740,1.011,364,1023,1023
13.56,30.762,2.021,363,1023,1023
13.87,29.751,-1.011,360,1023,1023
14.39,30.762,1.011,357,1023,1023
14.60,29.751,-1.011,356,1022,1023
14.71,30.762,1.011,355,1022,1022
14.82,32.783,2.021,355,1022,1022
14.94,30.762,-2.021,355,1022,1022
15.05,31.772,1.011,352,1023,1023
15.16,32.783,1.011,352,1023,1023
15.27,31.772,-1.011,351,1023,1023
15.39,32.783,1.011,349,1022,1023
15.50,33.794,1.011,348,1023,1023
15.61,32.783,-1.011,347,1023,1023
15.72,33.794,1.011,345,1023,1023
15.94,34.805,1.011,344,1023,1023
16.25,35.815,1.011,341,1023,1023
16.46,36.826,1.011,338,1022,1023
16.68,35.815,-1.011,339,1023,1023
16.79,36.826,1.011,337,1022,1023
17.10,37.837,1.011,329,1023,1023
17.42,38.848,1.011,326,1023,1023
17.53,37.837,-1.011,325,1023,1023
17.64,36.826,-1.011,325,1022,1023
17.76,37.837,1.011,324,1022,1023
17.87,38.848,1.011,322,1023,1023
18.38,39.858,1.011,313,1022,1023
18.60,40.869,1.011,309,1022,1023
18.71,39.858,-1.011,310,1023,1023
18.92,41.880,2.021,306,1023,1023
19.03,42.891,1.011,304,1023,1023
19.15,41.880,-1.011,303,1022,1023
19.26,38.848,-3.032,312,1023,1023
19.37,34.805,-4.043,334,1022,1023
19.48,33.794,-1.011,334,1023,1023
19.60,31.772,-2.021,335,1023,1022
19.71,32.783,1.011,334,1023,1023
19.82,31.772,-1.011,334,1022,1023
19.94,32.783,1.011,333,1022,1023
20.05,31.772,-1.011,337,1022,1023
20.26,30.762,-1.011,341,1023,1023
20.37,29.751,-1.011,343,1023,1023
20.49,28.740,-1.011,346,1022,1023
20.60,27.729,-1.011,347,1022,1023
20.71,26.719,-1.011,349,1023,1023
20.93,27.729,1.011,351,1023,1023
21.04,26.719,-1.011,353,1023,1023
21.15,25.708,-1.011,353,1023,1023
21.37,24.697,-1.011,354,1022,1023
21.58,22.676,-2.021,363,1022,1023
21.69,23.687,1.011,364,1023,1023
21.91,22.676,-1.011,366,1023,1023
22.22,21.665,-1.011,380,1022,1023
22.33,22.676,1.011,381,1023,1023
22.45,21.665,-1.011,380,1022,1023
22.76,22.676,1.011,383,1022,1023
22.87,21.665,-1.011,385,1023,1023
23.09,20.654,-1.011,386,1023,1023
23.20,19.644,-1.011,387,1023,1023
23.52,20.654,1.011,392,1023,1022
23.63,19.644,-1.011,400,1023,1023
24.25,18.633,-1.011,428,1023,1023
24.66,19.644,1.011,487,1023,1023
24.77,18.633,-1.011,511,1023,1023
24.99,17.622,-1.011,641,1023,1022
25.10,18.633,1.011,626,1022,1023
