timestamped_line
[19:24:16] ▶ Starting baseline phase for 2.5 seconds...
[19:24:16] t (s) | A | B | C | D
[19:24:21] 2.850 | 58 | 33982 | 93 | 93
[19:24:21] 2.900 | 56 | 33986 | 95 | 82
[19:24:21] 2.950 | 55 | 33988 | 102 | 90
[19:24:22] 3.000 | 64 | 33990 | 101 | 84
[19:24:22] 3.050 | 57 | 33998 | 116 | 90
[19:24:22] 3.100 | 63 | 33985 | 98 | 80
[19:24:22] 3.150 | 49 | 33988 | 95 | 82
[19:24:22] 3.200 | 63 | 33983 | 96 | 87
[19:24:22] 3.250 | 64 | 33985 | 97 | 92
[19:24:22] 3.300 | 61 | 33979 | 90 | 84
[19:24:22] 3.350 | 60 | 33983 | 99 | 83
[19:24:22] 3.400 | 59 | 33981 | 88 | 93
[19:24:22] 3.450 | 65 | 33974 | 94 | 89
[19:24:22] 3.500 | 66 | 33975 | 94 | 84
[19:24:22] 3.550 | 55 | 33973 | 105 | 81
[19:24:22] 3.600 | 57 | 33976 | 89 | 85
[19:24:22] 3.650 | 61 | 33966 | 90 | 85
[19:24:22] 3.700 | 58 | 33969 | 93 | 98
[19:24:22] 3.750 | 51 | 33978 | 102 | 95
[19:24:22] 3.800 | 57 | 33972 | 104 | 89
[19:24:22] 3.850 | 53 | 33958 | 105 | 91
[19:24:22] 3.900 | 68 | 33971 | 89 | 93
[19:24:22] 3.950 | 55 | 33963 | 103 | 94
[19:24:23] 4.000 | 56 | 33977 | 109 | 77
[19:24:23] 4.050 | 54 | 33970 | 95 | 72
[19:24:23] 4.100 | 56 | 33966 | 98 | 89
[19:24:23] 4.150 | 47 | 33955 | 102 | 90
[19:24:23] 4.200 | 71 | 33965 | 105 | 92
[19:24:23] 4.250 | 57 | 33973 | 101 | 92
[19:24:23] 4.300 | 59 | 33978 | 100 | 84
[19:24:23] 4.350 | 57 | 33975 | 97 | 90
[19:24:23] 4.400 | 57 | 33963 | 109 | 89
[19:24:23] 4.450 | 50 | 33981 | 92 | 92
[19:24:23] 4.500 | 68 | 33966 | 108 | 90
[19:24:23] 4.550 | 52 | 33976 | 100 | 80
[19:24:23] 4.600 | 54 | 33979 | 97 | 84
[19:24:23] 4.650 | 61 | 33966 | 96 | 78
[19:24:23] 4.700 | 54 | 33973 | 83 | 81
[19:24:23] 4.750 | 63 | 33962 | 103 | 80
[19:24:23] 4.800 | 56 | 33970 | 106 | 78
[19:24:23] 4.850 | 56 | 33981 | 98 | 82
[19:24:23] 4.900 | 49 | 33969 | 96 | 81
[19:24:23] 4.950 | 56 | 33978 | 105 | 78
[19:24:24] 5.000 | 53 | 33968 | 89 | 87
[19:24:24] 5.050 | 55 | 33974 | 109 | 83
[19:24:24] 5.100 | 65 | 33971 | 113 | 83
[19:24:24] 5.150 | 51 | 33970 | 98 | 86
[19:24:24] 5.200 | 49 | 33966 | 84 | 82
[19:24:24] 5.250 | 52 | 33973 | 88 | 77
[19:24:24] 5.300 | 51 | 33969 | 97 | 92
[19:24:24] 5.350 | 66 | 33971 | 106 | 84
[19:24:24] 5.400 | 54 | 33975 | 99 | 90
[19:24:24] 5.450 | 55 | 33976 | 100 | 79
[19:24:24] 5.500 | 55 | 33979 | 85 | 87
[19:24:24] 5.550 | 63 | 33987 | 106 | 89
[19:24:24] 5.600 | 61 | 33977 | 102 | 85
[19:24:24] 5.650 | 48 | 33988 | 104 | 84
[19:24:24] 5.700 | 60 | 33984 | 80 | 106
[19:24:24] 5.750 | 61 | 33970 | 107 | 86
[19:24:24] 5.800 | 54 | 33968 | 105 | 81
[19:24:24] 5.850 | 55 | 33968 | 103 | 84
[19:24:24] 5.900 | 61 | 33980 | 98 | 91
[19:24:24] 5.950 | 69 | 33984 | 100 | 81
[19:24:25] 6.000 | 56 | 33984 | 102 | 77
[19:24:25] 6.050 | 60 | 33980 | 103 | 82
[19:24:25] 6.100 | 58 | 33977 | 91 | 75
[19:24:25] 6.150 | 55 | 33964 | 103 | 93
[19:24:25] 6.200 | 55 | 33976 | 94 | 98
[19:24:25] 6.250 | 51 | 33984 | 98 | 94
[19:24:25] 6.300 | 58 | 33975 | 104 | 77
[19:24:25] 6.350 | 69 | 33978 | 99 | 84
[19:24:25] 6.400 | 60 | 33985 | 102 | 79
[19:24:25] 6.450 | 54 | 33982 | 89 | 93
[19:24:25] 6.500 | 61 | 33975 | 98 | 90
[19:24:25] 6.550 | 52 | 33984 | 90 | 76
[19:24:25] 6.600 | 51 | 33979 | 92 | 82
[19:24:25] 6.650 | 53 | 33971 | 103 | 86
[19:24:25] 6.700 | 63 | 33974 | 96 | 80
[19:24:25] 6.750 | 54 | 33985 | 89 | 88
[19:24:25] 6.800 | 54 | 33980 | 98 | 84
[19:24:25] 6.850 | 38 | 33977 | 96 | 81
[19:24:25] 6.900 | 61 | 33989 | 85 | 92
[19:24:25] 6.950 | 49 | 33985 | 94 | 88
[19:24:26] 7.000 | 62 | 33983 | 88 | 81
[19:24:26] 7.050 | 53 | 33986 | 86 | 87
[19:24:26] 7.100 | 59 | 33987 | 103 | 92
[19:24:26] 7.150 | 49 | 33990 | 93 | 79
[19:24:26] 7.200 | 65 | 33991 | 90 | 83
[19:24:26] 7.250 | 56 | 33990 | 102 | 83
[19:24:26] 7.300 | 46 | 33982 | 96 | 82
[19:24:26] 7.350 | 50 | 33991 | 93 | 85
[19:24:26] 7.400 | 54 | 33983 | 109 | 88
