timestamped_line
[17:25:15] ▶ Starting baseline phase for 2.5 seconds...
[17:25:15] t (s) | A | B | C | D
[17:25:20] 2.850 | 39 | 63 | 41 | 32459
[17:25:20] 2.900 | 42 | 55 | 44 | 32458
[17:25:20] 2.950 | 37 | 64 | 43 | 32443
[17:25:20] 3.000 | 28 | 55 | 43 | 32445
[17:25:20] 3.050 | 35 | 73 | 46 | 32465
[17:25:20] 3.100 | 35 | 51 | 52 | 32438
[17:25:20] 3.150 | 30 | 61 | 44 | 32454
[17:25:20] 3.200 | 42 | 46 | 37 | 32449
[17:25:20] 3.250 | 33 | 66 | 43 | 32441
[17:25:20] 3.300 | 48 | 59 | 39 | 32454
[17:25:21] 3.350 | 37 | 61 | 51 | 32445
[17:25:21] 3.400 | 28 | 62 | 44 | 32464
[17:25:21] 3.450 | 44 | 49 | 62 | 32419
[17:25:21] 3.500 | 29 | 45 | 63 | 32404
[17:25:21] 3.550 | 41 | 57 | 41 | 32382
[17:25:21] 3.600 | 32 | 52 | 59 | 32405
[17:25:21] 3.650 | 33 | 52 | 40 | 32404
[17:25:21] 3.700 | 36 | 60 | 52 | 32403
[17:25:21] 3.750 | 39 | 52 | 47 | 32413
[17:25:21] 3.800 | 36 | 47 | 52 | 32391
[17:25:21] 3.850 | 33 | 65 | 44 | 32387
[17:25:21] 3.900 | 36 | 65 | 48 | 32380
[17:25:21] 3.950 | 29 | 60 | 65 | 32386
[17:25:21] 4.000 | 29 | 58 | 62 | 32388
[17:25:21] 4.050 | 31 | 65 | 47 | 32389
[17:25:21] 4.100 | 40 | 58 | 56 | 32381
[17:25:21] 4.150 | 38 | 71 | 48 | 32361
[17:25:21] 4.200 | 31 | 55 | 42 | 32378
[17:25:21] 4.250 | 50 | 44 | 34 | 32360
[17:25:21] 4.300 | 36 | 56 | 48 | 32364
[17:25:22] 4.350 | 32 | 53 | 47 | 32372
[17:25:22] 4.400 | 38 | 51 | 47 | 32372
[17:25:22] 4.450 | 37 | 69 | 51 | 32362
[17:25:22] 4.500 | 45 | 73 | 53 | 32381
[17:25:22] 4.550 | 36 | 60 | 45 | 32399
[17:25:22] 4.600 | 46 | 57 | 55 | 32402
[17:25:22] 4.650 | 45 | 56 | 49 | 32400
[17:25:22] 4.700 | 41 | 61 | 45 | 32414
[17:25:22] 4.750 | 42 | 60 | 44 | 32403
[17:25:22] 4.800 | 36 | 61 | 42 | 32377
[17:25:22] 4.850 | 49 | 60 | 54 | 32382
[17:25:22] 4.900 | 34 | 56 | 51 | 32383
[17:25:22] 4.950 | 38 | 63 | 52 | 32380
