timestamped_line
[18:54:22] ▶ Starting baseline phase for 2.5 seconds...
[18:54:22] t (s) | A | B | C | D
[18:54:27] 2.500 | 51 | 47863 | 42630 | 38938
[18:54:27] 2.550 | 59 | 47942 | 42952 | 39006
[18:54:27] 2.600 | 54 | 48022 | 43252 | 38970
[18:54:27] 2.650 | 66 | 48118 | 43285 | 39100
[18:54:27] 2.700 | 49 | 48156 | 43378 | 39303
[18:54:27] 2.750 | 65 | 48166 | 43380 | 39179
[18:54:27] 2.800 | 54 | 48176 | 43398 | 39137
[18:54:27] 2.850 | 61 | 48144 | 43348 | 39019
[18:54:27] 2.900 | 65 | 48071 | 43386 | 38516
[18:54:27] 2.950 | 70 | 48029 | 43140 | 37422
[18:54:28] 3.000 | 68 | 47946 | 42318 | 35526
[18:54:28] 3.050 | 60 | 47936 | 42087 | 35588
[18:54:28] 3.100 | 68 | 47759 | 42058 | 35940
[18:54:28] 3.150 | 59 | 47631 | 41983 | 36332
[18:54:28] 3.200 | 64 | 47598 | 42026 | 36401
[18:54:28] 3.250 | 63 | 47662 | 42134 | 36562
[18:54:28] 3.300 | 65 | 47786 | 42431 | 36782
[18:54:28] 3.350 | 77 | 47859 | 42438 | 37469
[18:54:28] 3.400 | 59 | 47886 | 42352 | 37313
[18:54:28] 3.450 | 68 | 47892 | 42171 | 36727
[18:54:28] 3.500 | 71 | 47930 | 42558 | 37336
[18:54:28] 3.550 | 52 | 47892 | 42948 | 36869
[18:54:28] 3.600 | 70 | 47829 | 42880 | 36768
[18:54:28] 3.650 | 68 | 47910 | 42562 | 37530
[18:54:28] 3.700 | 59 | 47172 | 41909 | 36734
[18:54:28] 3.750 | 60 | 47173 | 41907 | 36713
[18:54:28] 3.800 | 74 | 47320 | 42551 | 37389
[18:54:28] 3.850 | 64 | 47408 | 42551 | 37667
[18:54:28] 3.900 | 70 | 47827 | 42845 | 36852
[18:54:28] 3.950 | 56 | 47759 | 42074 | 35897
[18:54:29] 4.000 | 67 | 46649 | 41826 | 34693
[18:54:29] 4.050 | 71 | 43163 | 41494 | 31539
[18:54:29] 4.100 | 54 | 39155 | 39574 | 21650
[18:54:29] 4.150 | 45 | 33855 | 31662 | 14132
[18:54:29] 4.200 | 46 | 15092 | 19171 | 1149
[18:54:29] 4.250 | 38 | 138 | 410 | 946
[18:54:29] 4.300 | 37 | 145 | 377 | 976
[18:54:29] 4.350 | 35 | 150 | 375 | 962
[18:54:29] 4.400 | 32 | 165 | 368 | 970
[18:54:29] 4.450 | 37 | 164 | 382 | 952
[18:54:29] 4.500 | 41 | 164 | 368 | 944
[18:54:29] 4.550 | 26 | 153 | 370 | 944
[18:54:29] 4.600 | 30 | 174 | 369 | 941
[18:54:29] 4.650 | 41 | 149 | 370 | 956
[18:54:29] 4.700 | 45 | 165 | 368 | 970
[18:54:29] 4.750 | 36 | 171 | 360 | 934
[18:54:29] 4.800 | 23 | 166 | 371 | 939
[18:54:29] 4.850 | 24 | 162 | 375 | 977
[18:54:29] 4.900 | 33 | 147 | 368 | 960
[18:54:29] 4.950 | 34 | 157 | 367 | 939
[18:54:30] 5.000 | 30 | 146 | 371 | 921
[18:54:30] 5.050 | 27 | 141 | 370 | 912
[18:54:30] 5.100 | 37 | 128 | 365 | 928
[18:54:30] 5.150 | 37 | 114 | 356 | 915
[18:54:30] 5.200 | 28 | 129 | 363 | 922
[18:54:30] 5.250 | 31 | 127 | 379 | 930
[18:54:30] 5.300 | 56 | 129 | 361 | 922
[18:54:30] 5.350 | 41 | 125 | 367 | 927
[18:54:30] 5.400 | 32 | 121 | 365 | 908
