timestamped_line
[19:45:36] ▶ Starting baseline phase for 2.5 seconds...
[19:45:36] t (s) | A | B | C | D
[19:45:41] 2.650 | 30982 | 37507 | 70 | 207
[19:45:41] 2.700 | 34813 | 36834 | 57 | 250
[19:45:41] 2.750 | 36454 | 37659 | 76 | 232
[19:45:41] 2.800 | 30575 | 34012 | 87 | 244
[19:45:41] 2.850 | 29707 | 28715 | 68 | 215
[19:45:41] 2.900 | 31030 | 36829 | 79 | 244
[19:45:41] 2.950 | 32306 | 37901 | 73 | 243
[19:45:41] 3.000 | 33058 | 34152 | 65 | 229
[19:45:41] 3.050 | 35991 | 32545 | 57 | 220
[19:45:42] 3.100 | 32137 | 36782 | 82 | 208
[19:45:42] 3.150 | 33876 | 38787 | 74 | 229
[19:45:42] 3.200 | 33938 | 37191 | 75 | 244
[19:45:42] 3.250 | 32236 | 38623 | 77 | 214
[19:45:42] 3.300 | 38767 | 35428 | 75 | 231
[19:45:42] 3.350 | 34261 | 32224 | 66 | 220
[19:45:42] 3.400 | 32378 | 38398 | 95 | 221
[19:45:42] 3.450 | 32734 | 36810 | 73 | 203
[19:45:42] 3.500 | 36895 | 37962 | 77 | 236
[19:45:42] 3.550 | 33217 | 37594 | 79 | 235
[19:45:42] 3.600 | 33114 | 37288 | 72 | 247
[19:45:42] 3.650 | 35562 | 38112 | 78 | 209
[19:45:42] 3.700 | 33850 | 32158 | 73 | 209
[19:45:42] 3.750 | 34388 | 35372 | 80 | 217
[19:45:42] 3.800 | 34626 | 30757 | 74 | 270
[19:45:42] 3.850 | 31611 | 31530 | 62 | 612
[19:45:42] 3.900 | 29866 | 32543 | 73 | 463
[19:45:42] 3.950 | 29416 | 32112 | 71 | 529
[19:45:42] 4.000 | 29368 | 35370 | 76 | 579
[19:45:42] 4.050 | 32080 | 34566 | 80 | 565
[19:45:43] 4.100 | 32418 | 35606 | 71 | 535
[19:45:43] 4.150 | 34232 | 31259 | 68 | 495
[19:45:43] 4.200 | 36082 | 34187 | 73 | 417
[19:45:43] 4.250 | 30785 | 33553 | 75 | 484
[19:45:43] 4.300 | 33273 | 39040 | 65 | 430
[19:45:43] 4.350 | 32318 | 33282 | 79 | 344
[19:45:43] 4.400 | 34335 | 37484 | 73 | 252
[19:45:43] 4.450 | 37525 | 33538 | 74 | 268
[19:45:43] 4.500 | 31027 | 34016 | 75 | 234
[19:45:43] 4.550 | 27457 | 36327 | 66 | 277
[19:45:43] 4.600 | 30285 | 37039 | 69 | 211
[19:45:43] 4.650 | 31309 | 39968 | 78 | 224
[19:45:43] 4.700 | 33537 | 29934 | 74 | 228
[19:45:43] 4.750 | 32474 | 35589 | 71 | 230
[19:45:43] 4.800 | 29777 | 37422 | 80 | 233
[19:45:43] 4.850 | 31637 | 35875 | 64 | 233
[19:45:43] 4.900 | 32078 | 36801 | 69 | 227
[19:45:43] 4.950 | 35543 | 31800 | 61 | 222
[19:45:43] 5.000 | 33096 | 35283 | 76 | 231
[19:45:43] 5.050 | 32373 | 34728 | 68 | 238
[19:45:44] 5.100 | 31584 | 36453 | 76 | 242
[19:45:44] 5.150 | 30411 | 40190 | 75 | 264
[19:45:44] 5.200 | 30716 | 36380 | 78 | 254
[19:45:44] 5.250 | 30770 | 36274 | 71 | 231
[19:45:44] 5.300 | 30888 | 32369 | 68 | 248
[19:45:44] 5.350 | 29515 | 34835 | 75 | 219
[19:45:44] 5.400 | 32216 | 38628 | 56 | 273
[19:45:44] 5.450 | 33298 | 36945 | 77 | 230
[19:45:44] 5.500 | 31251 | 38250 | 69 | 211
[19:45:44] 5.550 | 35280 | 40575 | 77 | 243
[19:45:44] 5.600 | 32964 | 35557 | 74 | 239
[19:45:44] 5.650 | 31812 | 34582 | 85 | 205
[19:45:44] 5.700 | 34164 | 40411 | 71 | 239
[19:45:44] 5.750 | 31871 | 33111 | 66 | 256
