timestamped_line
"[15:48:25] Ready. Type 's' to start logging, 'e' to stop."
[15:48:25] Sensor Info:
[15:48:25] Sensor ID: 50
[15:48:25] Sensor Name: FORCE PLATE 850
[15:48:25] Units: N
[15:48:25] ▶️ START LOGGING
"[15:48:25] Time(s), Force(N), DeltaF(N), FSR1, FSR2, FSR3"
"[15:48:36] 14.60, Force(N): 35.815, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 711"
"[15:48:36] 14.71, Force(N): 36.826, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 716"
"[15:48:36] 15.03, Force(N): 37.837, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 711"
"[15:48:36] 15.14, Force(N): 36.826, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 716"
"[15:48:36] 15.25, Force(N): 37.837, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 708"
"[15:48:36] 15.36, Force(N): 36.826, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 704"
"[15:48:36] 15.48, Force(N): 37.837, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 705"
"[15:48:37] 15.69, Force(N): 36.826, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 699"
"[15:48:37] 16.00, Force(N): 37.837, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 693"
"[15:48:37] 16.12, Force(N): 38.848, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 689"
"[15:48:37] 16.23, Force(N): 39.858, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 695"
"[15:48:37] 16.34, Force(N): 38.848, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 689"
"[15:48:37] 16.45, Force(N): 39.858, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 689"
"[15:48:38] 16.56, Force(N): 38.848, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 693"
"[15:48:38] 16.68, Force(N): 40.869, ΔF(N): 2.021, FSR1: 1022, FSR2: 1023, FSR3: 691"
"[15:48:38] 16.79, Force(N): 39.858, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 692"
"[15:48:38] 16.90, Force(N): 40.869, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 699"
"[15:48:38] 17.01, Force(N): 41.880, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 696"
"[15:48:38] 17.43, Force(N): 40.869, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 671"
"[15:48:39] 17.64, Force(N): 41.880, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 640"
"[15:48:39] 17.86, Force(N): 40.869, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 635"
"[15:48:39] 17.97, Force(N): 41.880, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 633"
"[15:48:39] 18.08, Force(N): 40.869, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 644"
"[15:48:39] 18.19, Force(N): 41.880, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 637"
"[15:48:39] 18.31, Force(N): 39.858, ΔF(N): -2.021, FSR1: 1022, FSR2: 1023, FSR3: 651"
"[15:48:39] 18.42, Force(N): 40.869, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 657"
"[15:48:40] 18.63, Force(N): 41.880, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 647"
"[15:48:40] 18.74, Force(N): 39.858, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 645"
"[15:48:40] 18.86, Force(N): 38.848, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 675"
"[15:48:40] 18.97, Force(N): 36.826, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 679"
"[15:48:40] 19.18, Force(N): 35.815, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 682"
"[15:48:40] 19.30, Force(N): 33.794, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 687"
"[15:48:40] 19.41, Force(N): 32.783, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 702"
"[15:48:41] 19.62, Force(N): 31.772, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 726"
"[15:48:41] 19.84, Force(N): 30.762, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 736"
"[15:48:41] 19.95, Force(N): 29.751, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 735"
"[15:48:41] 20.06, Force(N): 28.740, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 739"
"[15:48:41] 20.28, Force(N): 26.719, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 746"
"[15:48:41] 20.39, Force(N): 28.740, ΔF(N): 2.021, FSR1: 1022, FSR2: 1023, FSR3: 744"
"[15:48:42] 20.50, Force(N): 26.719, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 740"
"[15:48:42] 20.82, Force(N): 25.708, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 748"
"[15:48:42] 21.03, Force(N): 24.697, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 767"
"[15:48:42] 21.14, Force(N): 23.687, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 807"
"[15:48:42] 21.26, Force(N): 22.676, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 836"
"[15:48:42] 21.37, Force(N): 24.697, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 858"
"[15:48:43] 21.48, Force(N): 23.687, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 884"
"[15:48:43] 21.70, Force(N): 22.676, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1009"
"[15:48:43] 21.91, Force(N): 23.687, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1015"
"[15:48:43] 22.12, Force(N): 21.665, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 1022"
