Time(s),Force(N),DeltaF(N),FSR1,FSR2,FSR3
4.25,15.601,-1.011,1021,1021,1023
4.46,16.611,1.011,1022,1023,1022
4.88,15.601,-1.011,1022,1022,1021
4.99,16.611,1.011,1022,1022,1021
5.20,15.601,-1.011,1022,1022,1022
5.31,16.611,1.011,1022,1023,1023
5.43,15.601,-1.011,1022,1022,1022
5.84,16.611,1.011,1021,1022,1022
5.95,15.601,-1.011,1022,1021,1022
6.07,16.611,1.011,1022,1022,1021
6.18,15.601,-1.011,1022,1022,1021
6.39,16.611,1.011,1022,1022,1023
6.51,15.601,-1.011,1022,1022,1022
6.62,16.611,1.011,1021,1021,1021
6.83,17.622,1.011,1021,1021,1022
6.94,18.633,1.011,1022,1023,1015
7.16,17.622,-1.011,1021,1022,950
7.47,18.633,1.011,1022,1022,951
7.88,17.622,-1.011,1022,1023,943
8.00,18.633,1.011,1022,1022,949
8.11,17.622,-1.011,1021,1022,947
8.22,18.633,1.011,1022,1022,946
8.33,17.622,-1.011,1022,1022,933
8.44,18.633,1.011,1022,1023,943
8.55,19.644,1.011,1022,1023,941
8.66,17.622,-2.021,1022,1021,934
8.77,18.633,1.011,1022,1023,936
9.29,19.644,1.011,1022,1023,938
9.50,20.654,1.011,1021,1022,929
9.71,21.665,1.011,1022,1021,917
9.82,20.654,-1.011,1022,1021,897
9.94,21.665,1.011,1022,1023,891
10.05,23.687,2.021,1022,1021,866
10.26,22.676,-1.011,1022,1021,856
10.57,24.697,2.021,1021,1022,837
10.69,23.687,-1.011,1022,1021,837
10.90,22.676,-1.011,1022,1022,851
11.02,23.687,1.011,1022,1022,851
11.13,22.676,-1.011,1022,1022,850
11.44,23.687,1.011,1022,1022,844
11.65,22.676,-1.011,1022,1023,836
11.77,23.687,1.011,1022,1022,838
12.28,22.676,-1.011,1021,1022,843
12.40,23.687,1.011,1021,1022,838
12.71,24.697,1.011,1022,1021,828
12.82,23.687,-1.011,1022,1022,827
12.94,24.697,1.011,1022,1023,821
13.35,25.708,1.011,1022,1022,802
13.46,24.697,-1.011,1022,1021,797
14.08,26.719,2.021,1022,1022,792
14.19,25.708,-1.011,1021,1022,787
14.31,26.719,1.011,1022,1021,785
14.52,25.708,-1.011,1022,1022,784
14.63,26.719,1.011,1022,1021,782
15.15,27.729,1.011,1021,1022,771
15.46,28.740,1.011,1022,1022,763
15.98,27.729,-1.011,1023,1023,755
16.09,28.740,1.011,1021,1022,755
16.20,29.751,1.011,1022,1023,752
16.32,28.740,-1.011,1022,1022,753
16.43,27.729,-1.011,1021,1022,752
16.54,29.751,2.021,1021,1022,747
16.76,28.740,-1.011,1021,1021,746
16.87,29.751,1.011,1022,1022,742
17.08,28.740,-1.011,1023,1022,736
17.20,29.751,1.011,1022,1022,730
17.81,30.762,1.011,1022,1022,723
18.23,31.772,1.011,1022,1022,719
18.34,29.751,-2.021,1021,1022,705
