timestamped_line
"[15:47:29] Ready. Type 's' to start logging, 'e' to stop."
[15:47:29] Sensor Info:
[15:47:29] Sensor ID: 50
[15:47:29] Sensor Name: FORCE PLATE 850
[15:47:29] Units: N
[15:47:29] ▶️ START LOGGING
"[15:47:29] Time(s), Force(N), DeltaF(N), FSR1, FSR2, FSR3"
"[15:47:39] 14.06, Force(N): 24.697, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 706"
"[15:47:39] 14.18, Force(N): 26.719, ΔF(N): 2.021, FSR1: 1023, FSR2: 1022, FSR3: 700"
"[15:47:39] 14.29, Force(N): 24.697, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 697"
"[15:47:39] 14.40, Force(N): 25.708, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 695"
"[15:47:39] 14.51, Force(N): 26.719, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 696"
"[15:47:40] 14.63, Force(N): 25.708, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 690"
"[15:47:40] 14.74, Force(N): 26.719, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 712"
"[15:47:40] 15.46, Force(N): 25.708, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 684"
"[15:47:41] 15.57, Force(N): 26.719, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 683"
"[15:47:41] 15.68, Force(N): 27.729, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 679"
"[15:47:41] 15.90, Force(N): 26.719, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 680"
"[15:47:41] 16.11, Force(N): 27.729, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 677"
"[15:47:41] 16.22, Force(N): 26.719, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 676"
"[15:47:42] 17.25, Force(N): 27.729, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 650"
"[15:47:42] 17.36, Force(N): 26.719, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 651"
"[15:47:42] 17.47, Force(N): 27.729, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 649"
"[15:47:43] 17.58, Force(N): 28.740, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 647"
"[15:47:43] 17.69, Force(N): 27.729, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 645"
"[15:47:43] 18.11, Force(N): 28.740, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 648"
"[15:47:43] 18.22, Force(N): 27.729, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 655"
"[15:47:43] 18.33, Force(N): 26.719, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 662"
"[15:47:44] 18.55, Force(N): 27.729, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 687"
"[15:47:44] 18.66, Force(N): 26.719, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 682"
"[15:47:44] 19.38, Force(N): 25.708, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 700"
"[15:47:44] 19.49, Force(N): 26.719, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 703"
"[15:47:45] 19.60, Force(N): 25.708, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 710"
"[15:47:45] 19.72, Force(N): 26.719, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 691"
"[15:47:45] 20.03, Force(N): 25.708, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 672"
"[15:47:45] 20.14, Force(N): 27.729, ΔF(N): 2.021, FSR1: 1023, FSR2: 1022, FSR3: 667"
"[15:47:45] 20.26, Force(N): 28.740, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 668"
"[15:47:45] 20.47, Force(N): 27.729, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 661"
"[15:47:46] 20.58, Force(N): 28.740, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 658"
"[15:47:46] 20.90, Force(N): 29.751, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 665"
"[15:47:46] 21.11, Force(N): 28.740, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 668"
"[15:47:46] 21.43, Force(N): 29.751, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 665"
"[15:47:47] 21.74, Force(N): 28.740, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 664"
"[15:47:47] 22.16, Force(N): 26.719, ΔF(N): -2.021, FSR1: 1022, FSR2: 1023, FSR3: 652"
"[15:47:47] 22.27, Force(N): 28.740, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 651"
"[15:47:48] 22.99, Force(N): 29.751, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 667"
"[15:47:48] 23.50, Force(N): 30.762, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 664"
"[15:47:49] 23.82, Force(N): 29.751, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 662"
"[15:47:49] 23.93, Force(N): 30.762, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 663"
"[15:47:49] 24.14, Force(N): 31.772, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 657"
"[15:47:49] 24.26, Force(N): 30.762, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 652"
"[15:47:49] 24.37, Force(N): 29.751, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 653"
"[15:47:49] 24.48, Force(N): 30.762, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 647"
"[15:47:50] 25.20, Force(N): 31.772, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 654"
"[15:47:50] 25.42, Force(N): 30.762, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 646"
"[15:47:51] 25.53, Force(N): 31.772, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 639"
"[15:47:51] 25.94, Force(N): 30.762, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 633"
"[15:47:51] 26.06, Force(N): 31.772, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 633"
"[15:47:51] 26.17, Force(N): 30.762, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 632"
"[15:47:51] 26.28, Force(N): 31.772, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 633"
"[15:47:52] 26.59, Force(N): 32.783, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 643"
"[15:47:52] 26.91, Force(N): 31.772, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 642"
"[15:47:52] 27.12, Force(N): 32.783, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 641"
"[15:47:52] 27.24, Force(N): 31.772, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 641"
"[15:47:52] 27.35, Force(N): 32.783, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 642"
"[15:47:52] 27.46, Force(N): 31.772, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 642"
"[15:47:53] 27.57, Force(N): 32.783, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 642"
"[15:47:53] 27.99, Force(N): 33.794, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 644"
"[15:47:53] 28.10, Force(N): 32.783, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 642"
"[15:47:53] 28.31, Force(N): 33.794, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 643"
"[15:47:53] 28.43, Force(N): 32.783, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 642"
"[15:47:54] 28.54, Force(N): 33.794, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 641"
"[15:47:54] 28.65, Force(N): 32.783, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 641"
"[15:47:54] 28.76, Force(N): 33.794, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 644"
"[15:47:54] 28.98, Force(N): 32.783, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 644"
"[15:47:54] 29.09, Force(N): 33.794, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 643"
"[15:47:55] 29.51, Force(N): 32.783, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 644"
"[15:47:55] 29.62, Force(N): 33.794, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 642"
"[15:47:55] 29.83, Force(N): 32.783, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 644"
"[15:47:55] 30.15, Force(N): 33.794, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 642"
"[15:47:55] 30.26, Force(N): 32.783, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 643"
"[15:47:55] 30.37, Force(N): 33.794, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 644"
