Time(s),Force(N),DeltaF(N),FSR1,FSR2,FSR3
4.15,18.633,1.011,1022,1023,1023
4.32,17.622,-1.011,1023,1023,1022
4.43,18.633,1.011,1022,1023,1023
4.55,17.622,-1.011,1023,1023,1023
4.66,18.633,1.011,1022,1023,1023
4.77,17.622,-1.011,1023,1023,1022
4.98,18.633,1.011,1023,1023,1023
5.10,16.611,-2.021,1023,1023,1023
5.21,17.622,1.011,1022,1023,1023
5.52,18.633,1.011,1022,1023,986
5.64,17.622,-1.011,1023,1023,970
6.56,18.633,1.011,1023,1023,397
6.87,17.622,-1.011,1023,1023,307
7.08,18.633,1.011,1023,1023,285
7.29,17.622,-1.011,1023,1023,279
7.41,18.633,1.011,1022,1023,276
7.62,17.622,-1.011,1023,1023,278
8.44,18.633,1.011,1022,1023,1020
8.65,17.622,-1.011,1023,1023,843
8.76,18.633,1.011,1023,1023,762
8.87,17.622,-1.011,1023,1023,659
8.99,18.633,1.011,1023,1023,472
9.20,17.622,-1.011,1023,1023,278
9.31,18.633,1.011,1023,1023,257
9.52,17.622,-1.011,1023,1022,238
9.63,18.633,1.011,1023,1023,216
10.15,17.622,-1.011,1023,1023,205
10.46,18.633,1.011,1023,1023,211
10.68,17.622,-1.011,1023,1023,200
10.89,18.633,1.011,1023,1023,368
11.10,17.622,-1.011,1023,1023,1022
11.42,18.633,1.011,1023,1023,1023
11.53,17.622,-1.011,1023,1023,1023
11.65,18.633,1.011,1023,1023,1023
11.96,17.622,-1.011,1023,1023,896
12.08,18.633,1.011,1023,1022,781
12.19,17.622,-1.011,1022,1023,633
12.40,18.633,1.011,1023,1023,250
12.51,16.611,-2.021,1023,1023,242
12.63,18.633,2.021,1023,1023,292
12.84,17.622,-1.011,1023,1023,686
12.95,18.633,1.011,1023,1023,812
13.37,17.622,-1.011,1023,1023,694
13.48,18.633,1.011,1023,1023,427
13.59,17.622,-1.011,1023,1023,303
13.71,18.633,1.011,1023,1023,245
13.92,17.622,-1.011,1023,1023,215
14.44,18.633,1.011,1023,1023,744
14.65,17.622,-1.011,1023,1023,805
15.07,18.633,1.011,1023,1022,1022
15.18,17.622,-1.011,1023,1022,1023
15.60,18.633,1.011,1023,1023,1022
15.71,17.622,-1.011,1023,1022,988
16.23,18.633,1.011,1023,1023,639
16.44,17.622,-1.011,1023,1023,389
16.55,18.633,1.011,1023,1023,263
16.77,17.622,-1.011,1023,1023,219
17.28,18.633,1.011,1023,1023,206
17.39,17.622,-1.011,1023,1023,205
17.51,18.633,1.011,1023,1023,205
17.72,17.622,-1.011,1022,1023,202
18.34,18.633,1.011,1023,1023,197
18.55,17.622,-1.011,1022,1023,199
18.67,18.633,1.011,1023,1023,209
18.78,17.622,-1.011,1023,1023,201
18.89,18.633,1.011,1022,1023,199
19.00,17.622,-1.011,1023,1023,198
19.52,18.633,1.011,1023,1023,185
19.63,17.622,-1.011,1023,1023,185
19.75,18.633,1.011,1023,1023,183
19.86,16.611,-2.021,1023,1023,180
19.97,18.633,2.021,1023,1023,180
20.18,17.622,-1.011,1023,1023,180
20.50,18.633,1.011,1023,1023,176
20.61,17.622,-1.011,1023,1023,175
21.03,16.611,-1.011,1023,1023,1022
21.14,17.622,1.011,1023,1023,1023
21.25,18.633,1.011,1023,1023,1023
21.37,17.622,-1.011,1023,1022,1023
21.48,18.633,1.011,1023,1023,1023
21.69,16.611,-2.021,1022,1023,1023
21.81,17.622,1.011,1023,1022,1023
22.43,18.633,1.011,1023,1023,556
22.54,17.622,-1.011,1023,1023,828
22.85,18.633,1.011,1023,1023,380
22.97,17.622,-1.011,1023,1023,245
23.18,18.633,1.011,1023,1023,220
23.39,17.622,-1.011,1023,1023,316
23.51,18.633,1.011,1023,1023,1022
24.83,17.622,-1.011,1022,1023,1022
24.95,18.633,1.011,1023,1023,1023
25.36,17.622,-1.011,1023,1023,1023
25.48,18.633,1.011,1023,1023,1023
