timestamped_line
"[14:53:49] Ready. Type 's' to start logging, 'e' to stop."
[14:53:49] Sensor Info:
[14:53:49] Sensor ID: 50
[14:53:49] Sensor Name: FORCE PLATE 850
[14:53:49] Units: N
[14:53:49] ▶️ START LOGGING
"[14:53:49] Time(s), Force(N), DeltaF(N), FSR1, FSR2, FSR3"
"[14:54:01] 15.83, Force(N): 33.794, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[14:54:01] 15.94, Force(N): 32.783, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[14:54:01] 16.15, Force(N): 31.772, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 1022"
"[14:54:01] 16.27, Force(N): 33.794, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[14:54:02] 16.38, Force(N): 32.783, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[14:54:02] 16.90, Force(N): 31.772, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[14:54:02] 17.01, Force(N): 32.783, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[14:54:02] 17.13, Force(N): 33.794, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[14:54:02] 17.24, Force(N): 31.772, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[14:54:03] 17.35, Force(N): 32.783, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[14:54:03] 17.57, Force(N): 33.794, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[14:54:03] 17.68, Force(N): 32.783, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[14:54:03] 17.80, Force(N): 31.772, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[14:54:03] 17.91, Force(N): 32.783, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[14:54:03] 18.02, Force(N): 31.772, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[14:54:03] 18.14, Force(N): 32.783, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[14:54:03] 18.25, Force(N): 31.772, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
