epoch,port,reading
1750710831.656694,/dev/cu.usbmodem101,FSR Reading: 1023
1750710831.857558,/dev/cu.usbmodem101,FSR Reading: 1023
1750710832.058142,/dev/cu.usbmodem101,FSR Reading: 1023
1750710832.2587662,/dev/cu.usbmodem101,FSR Reading: 1023
1750710832.459445,/dev/cu.usbmodem101,FSR Reading: 1023
1750710832.660228,/dev/cu.usbmodem101,FSR Reading: 1023
1750710832.860811,/dev/cu.usbmodem101,FSR Reading: 1023
1750710833.061524,/dev/cu.usbmodem101,FSR Reading: 1023
1750710833.262197,/dev/cu.usbmodem101,FSR Reading: 1023
1750710833.4629052,/dev/cu.usbmodem101,FSR Reading: 1023
1750710833.6595578,/dev/cu.usbmodem101,FSR Reading: 1023
1750710833.860311,/dev/cu.usbmodem101,FSR Reading: 1023
1750710834.060999,/dev/cu.usbmodem101,FSR Reading: 1023
1750710834.2616909,/dev/cu.usbmodem101,FSR Reading: 1023
1750710834.462348,/dev/cu.usbmodem101,FSR Reading: 1023
1750710834.663093,/dev/cu.usbmodem101,FSR Reading: 1023
1750710834.863733,/dev/cu.usbmodem101,FSR Reading: 1023
1750710835.0644522,/dev/cu.usbmodem101,FSR Reading: 1023
1750710835.265155,/dev/cu.usbmodem101,FSR Reading: 1023
1750710835.465784,/dev/cu.usbmodem101,FSR Reading: 1023
1750710835.666551,/dev/cu.usbmodem101,FSR Reading: 1023
1750710835.867323,/dev/cu.usbmodem101,FSR Reading: 1023
1750710836.067888,/dev/cu.usbmodem101,FSR Reading: 1023
1750710836.2685819,/dev/cu.usbmodem101,FSR Reading: 1023
1750710836.469381,/dev/cu.usbmodem101,FSR Reading: 1023
1750710836.670006,/dev/cu.usbmodem101,FSR Reading: 1023
1750710836.866656,/dev/cu.usbmodem101,FSR Reading: 1023
1750710837.067381,/dev/cu.usbmodem101,FSR Reading: 1023
1750710837.2680478,/dev/cu.usbmodem101,FSR Reading: 1023
1750710837.46876,/dev/cu.usbmodem101,FSR Reading: 1023
1750710837.669604,/dev/cu.usbmodem101,FSR Reading: 1023
1750710837.870094,/dev/cu.usbmodem101,FSR Reading: 1023
1750710838.0707998,/dev/cu.usbmodem101,FSR Reading: 1023
1750710838.27149,/dev/cu.usbmodem101,FSR Reading: 1023
1750710838.472202,/dev/cu.usbmodem101,FSR Reading: 1023
