timestamped_line
[11:48:17] ▶ Starting baseline phase for 2.5 seconds...
[11:48:17] t (s) | A | B | C | D
[11:48:17] 0.050 | 30824 | 37898 | 97 | 44036
[11:48:17] 0.100 | 32810 | 37791 | 70 | 44038
[11:48:17] 0.150 | 35673 | 34947 | 85 | 43973
[11:48:17] 0.200 | 34149 | 35221 | 97 | 44008
[11:48:17] 0.250 | 36593 | 35584 | 66 | 43995
[11:48:17] 0.300 | 33835 | 32745 | 88 | 44022
[11:48:17] 0.350 | 34018 | 33606 | 89 | 44004
[11:48:17] 0.400 | 33876 | 37562 | 109 | 44003
[11:48:17] 0.450 | 35131 | 32942 | 76 | 44025
[11:48:17] 0.500 | 31904 | 35487 | 74 | 44101
[11:48:17] 0.550 | 32400 | 30748 | 85 | 44088
[11:48:17] 0.600 | 31221 | 29837 | 112 | 44141
[11:48:17] 0.650 | 30499 | 33390 | 84 | 44140
[11:48:17] 0.700 | 34559 | 33752 | 75 | 44173
[11:48:17] 0.750 | 36415 | 30776 | 66 | 44262
[11:48:17] 0.800 | 28174 | 33023 | 91 | 44270
[11:48:17] 0.850 | 33422 | 36756 | 77 | 44246
[11:48:17] 0.900 | 32646 | 32193 | 83 | 44258
[11:48:17] 0.950 | 34380 | 32556 | 91 | 44280
[11:48:18] 1.000 | 35915 | 31628 | 92 | 44239
[11:48:18] 1.050 | 31890 | 35521 | 73 | 44231
[11:48:18] 1.100 | 34332 | 34675 | 85 | 44215
[11:48:18] 1.150 | 33953 | 30400 | 87 | 44251
[11:48:18] 1.200 | 33083 | 31328 | 84 | 44248
[11:48:18] 1.250 | 27067 | 32983 | 94 | 44161
[11:48:18] 1.300 | 34228 | 31771 | 89 | 44108
[11:48:18] 1.350 | 34863 | 31651 | 68 | 44151
[11:48:18] 1.400 | 34364 | 35336 | 93 | 44117
[11:48:18] 1.450 | 33194 | 34928 | 102 | 44057
[11:48:18] 1.500 | 33182 | 33137 | 76 | 44093
[11:48:18] 1.550 | 31990 | 32177 | 84 | 44104
[11:48:18] 1.600 | 39267 | 36203 | 99 | 44119
[11:48:18] 1.650 | 31883 | 31308 | 104 | 44110
[11:48:18] 1.700 | 30670 | 31649 | 77 | 44081
[11:48:18] 1.750 | 31254 | 32636 | 92 | 44091
[11:48:18] 1.800 | 30827 | 34751 | 80 | 44043
[11:48:18] 1.850 | 33644 | 30295 | 91 | 44090
[11:48:18] 1.900 | 32920 | 33551 | 88 | 44110
[11:48:18] 1.950 | 30554 | 34905 | 67 | 44114
[11:48:19] 2.000 | 30747 | 29345 | 101 | 44096
[11:48:19] 2.050 | 35244 | 34869 | 84 | 44063
[11:48:19] 2.100 | 28774 | 31086 | 87 | 44063
[11:48:19] 2.150 | 30941 | 33560 | 110 | 44069
[11:48:19] 2.200 | 35403 | 28797 | 89 | 44088
[11:48:19] 2.250 | 31074 | 30536 | 76 | 44083
[11:48:19] 2.300 | 35864 | 37412 | 78 | 44052
[11:48:19] 2.350 | 33419 | 36465 | 65 | 44045
[11:48:19] 2.400 | 34744 | 31716 | 80 | 44075
[11:48:19] 2.450 | 33437 | 29326 | 81 | 44064
[11:48:19] 2.500 | 36721 | 37104 | 76 | 44059
[11:48:19] ✅ Baseline complete. Starting main recording for 10 seconds...
[11:48:19] 2.550 | 32764 | 34139 | 73 | 44063
[11:48:19] 0.050 | 28832 | 29496 | 93 | 44027
[11:48:19] 0.100 | 33283 | 32540 | 73 | 44047
[11:48:19] 0.150 | 31441 | 33529 | 63 | 44027
[11:48:19] 0.200 | 34986 | 35850 | 88 | 43995
[11:48:19] 0.250 | 33788 | 33710 | 101 | 44008
[11:48:19] 0.300 | 35662 | 32376 | 101 | 43953
[11:48:19] 0.350 | 34623 | 32775 | 93 | 43949
[11:48:19] 0.400 | 33563 | 35047 | 88 | 43939
[11:48:20] 0.450 | 30694 | 28134 | 81 | 43938
[11:48:20] 0.500 | 34518 | 31193 | 94 | 43963
[11:48:20] 0.550 | 29749 | 30947 | 82 | 43971
[11:48:20] 0.600 | 30817 | 33122 | 84 | 44031
[11:48:20] 0.650 | 38807 | 31119 | 87 | 44041
[11:48:20] 0.700 | 33578 | 35012 | 72 | 44025
[11:48:20] 0.750 | 33804 | 33570 | 64 | 43999
[11:48:20] 0.800 | 37634 | 34420 | 95 | 44002
[11:48:20] 0.850 | 34802 | 30238 | 90 | 43958
[11:48:20] 0.900 | 33395 | 31681 | 85 | 43963
[11:48:20] 0.950 | 35675 | 31686 | 102 | 43944
[11:48:20] 1.000 | 30892 | 35584 | 83 | 43943
[11:48:20] 1.050 | 31380 | 32409 | 79 | 43966
[11:48:20] 1.100 | 31680 | 32548 | 87 | 43965
[11:48:20] 1.150 | 31563 | 31596 | 83 | 43965
[11:48:20] 1.200 | 33132 | 31826 | 91 | 43928
[11:48:20] 1.250 | 35921 | 35228 | 76 | 43944
[11:48:20] 1.300 | 38971 | 31790 | 74 | 43898
[11:48:20] 1.350 | 34884 | 33972 | 76 | 43875
[11:48:20] 1.400 | 33903 | 35082 | 105 | 43868
[11:48:21] 1.450 | 36703 | 33546 | 90 | 43835
[11:48:21] 1.500 | 30661 | 32323 | 98 | 43825
[11:48:21] 1.550 | 36574 | 36004 | 97 | 43825
[11:48:21] 1.600 | 31700 | 30012 | 74 | 43828
[11:48:21] 1.650 | 30978 | 32577 | 92 | 43787
[11:48:21] 1.700 | 32454 | 34395 | 90 | 43810
[11:48:21] 1.750 | 31240 | 28941 | 93 | 43827
[11:48:21] 1.800 | 35164 | 29408 | 92 | 43827
[11:48:21] 1.850 | 35923 | 29789 | 69 | 43807
[11:48:21] 1.900 | 34365 | 31873 | 91 | 43838
[11:48:21] 1.950 | 32502 | 32510 | 85 | 43794
[11:48:21] 2.000 | 31014 | 35462 | 82 | 43753
[11:48:21] 2.050 | 30381 | 36417 | 92 | 43779
[11:48:21] 2.100 | 35090 | 32580 | 94 | 43799
[11:48:21] 2.150 | 34370 | 33821 | 93 | 43856
[11:48:21] 2.200 | 31643 | 31244 | 94 | 43853
[11:48:21] 2.250 | 34904 | 38362 | 76 | 43839
[11:48:21] 2.300 | 33132 | 35139 | 81 | 43828
[11:48:21] 2.350 | 33683 | 33079 | 88 | 43850
[11:48:21] 2.400 | 29058 | 31583 | 93 | 43886
[11:48:22] 2.450 | 31471 | 30631 | 92 | 43872
[11:48:22] 2.500 | 33741 | 34726 | 84 | 43856
[11:48:22] 2.550 | 31848 | 30272 | 87 | 43837
[11:48:22] 2.600 | 33027 | 33096 | 77 | 43841
[11:48:22] 2.650 | 33307 | 33578 | 72 | 43837
[11:48:22] 2.700 | 35002 | 34165 | 72 | 43795
[11:48:22] 2.750 | 31403 | 34791 | 74 | 43746
[11:48:22] 2.800 | 33675 | 33712 | 85 | 43733
[11:48:22] 2.850 | 35030 | 33137 | 91 | 43771
[11:48:22] 2.900 | 36971 | 38513 | 83 | 43719
[11:48:22] 2.950 | 29325 | 31100 | 85 | 43701
[11:48:22] 3.000 | 33933 | 31882 | 79 | 43689
[11:48:22] 3.050 | 34340 | 33319 | 70 | 43668
[11:48:22] 3.100 | 32135 | 32427 | 90 | 43638
[11:48:22] 3.150 | 37694 | 31309 | 86 | 43606
[11:48:22] 3.200 | 34721 | 40152 | 79 | 43583
[11:48:22] 3.250 | 34835 | 34987 | 78 | 43580
[11:48:22] 3.300 | 32426 | 31138 | 96 | 43627
[11:48:22] 3.350 | 27849 | 30087 | 86 | 43589
[11:48:22] 3.400 | 27891 | 31668 | 76 | 43595
[11:48:23] 3.450 | 34692 | 35839 | 81 | 43554
