Time(s),Force(N),DeltaF(N),FSR1,FSR2,FSR3
4.45,21.665,1.011,1023,1023,1023
4.56,20.654,-1.011,1022,1022,1023
4.67,21.665,1.011,1022,1023,1023
4.78,20.654,-1.011,1022,1023,1023
5.40,19.644,-1.011,1022,1022,1022
5.52,20.654,1.011,1022,1022,1023
5.63,19.644,-1.011,1022,1022,1023
5.74,20.654,1.011,1022,1022,1022
6.05,19.644,-1.011,1022,1022,1022
6.27,20.654,1.011,1022,1022,1023
6.48,21.665,1.011,1022,1023,1023
6.59,19.644,-2.021,1022,1023,1022
6.81,20.654,1.011,1023,1022,1023
7.02,19.644,-1.011,1023,1022,1023
7.13,20.654,1.011,1023,1022,1023
7.45,19.644,-1.011,1022,1023,1023
7.56,20.654,1.011,1022,1023,1022
7.78,21.665,1.011,1022,1023,1022
7.89,20.654,-1.011,1022,1022,1023
8.10,19.644,-1.011,1022,1022,1023
8.21,20.654,1.011,1023,708,1022
8.32,22.676,2.021,1023,578,1023
8.43,23.687,1.011,1022,557,1022
8.65,25.708,2.021,1022,514,1022
8.76,26.719,1.011,1023,495,1023
8.87,25.708,-1.011,1022,482,1022
8.98,27.729,2.021,1022,454,1023
9.09,29.751,2.021,1022,407,1023
9.30,30.762,1.011,1022,359,1023
9.41,32.783,2.021,1022,344,1023
9.52,35.815,3.032,1023,329,1022
9.74,37.837,2.021,1022,310,1022
9.85,40.869,3.032,1022,309,1022
9.96,41.880,1.011,1022,292,1022
10.07,42.891,1.011,1023,281,1023
10.18,44.912,2.021,1023,271,1022
10.29,45.923,1.011,1022,267,1023
10.40,46.934,1.011,1023,265,1022
10.52,47.944,1.011,1023,264,1022
10.63,46.934,-1.011,1022,263,1023
10.74,47.944,1.011,1023,262,1023
10.85,49.966,2.021,1022,260,1022
11.07,48.955,-1.011,1022,258,1022
11.58,47.944,-1.011,1022,258,1023
11.70,49.966,2.021,1022,257,1022
11.81,48.955,-1.011,1022,259,1023
11.92,49.966,1.011,1022,259,1022
12.23,50.977,1.011,1022,256,1022
12.35,49.966,-1.011,1022,254,1022
12.86,48.955,-1.011,1022,254,1023
12.98,49.966,1.011,1023,254,1023
13.09,46.934,-3.032,1023,260,1022
13.20,40.869,-6.064,1022,307,1022
13.32,34.805,-6.064,1022,343,1022
13.43,32.783,-2.021,1022,386,1023
13.54,29.751,-3.032,1022,443,1022
13.65,26.719,-3.032,1023,505,1023
13.87,24.697,-2.021,1022,570,1023
13.98,23.687,-1.011,1022,593,1022
14.09,22.676,-1.011,1023,642,1023
14.31,20.654,-2.021,1022,670,1022
14.42,21.665,1.011,1023,665,1022
14.73,20.654,-1.011,1022,655,1022
15.66,19.644,-1.011,1022,926,1022
15.77,20.654,1.011,1022,1022,1023
15.88,19.644,-1.011,1023,1023,1023
16.10,20.654,1.011,1022,1022,1023
16.21,19.644,-1.011,1022,1023,1023
16.32,20.654,1.011,1023,1022,1023
16.64,21.665,1.011,1023,670,1022
16.85,22.676,1.011,1023,585,1023
16.97,24.697,2.021,1022,539,1022
17.08,27.729,3.032,1023,490,1023
17.19,30.762,3.032,1022,432,1023
17.30,31.772,1.011,1022,395,1022
17.41,32.783,1.011,1022,384,1023
17.52,34.805,2.021,1022,367,1022
17.64,36.826,2.021,1023,337,1022
17.85,38.848,2.021,1022,326,1023
18.06,36.826,-2.021,1022,330,1022
18.18,35.815,-1.011,1022,325,1022
18.29,37.837,2.021,1022,314,1022
18.40,38.848,1.011,1022,310,1022
18.51,40.869,2.021,1023,306,1022
18.62,38.848,-2.021,1023,303,1023
18.94,39.858,1.011,1022,303,1023
19.05,40.869,1.011,1022,300,1022
19.26,41.880,1.011,1023,291,1023
19.38,40.869,-1.011,1022,286,1022
19.49,41.880,1.011,1022,282,1022
19.60,42.891,1.011,1023,278,1022
19.71,41.880,-1.011,1022,277,1023
19.83,42.891,1.011,1022,276,1022
19.94,43.901,1.011,1022,274,1022
20.15,44.912,1.011,1022,270,1022
20.26,43.901,-1.011,1023,268,1022
20.48,44.912,1.011,1022,267,1022
21.20,42.891,-2.021,1022,273,1022
21.31,35.815,-7.075,1022,340,1023
21.42,30.762,-5.054,1023,410,1022
21.53,26.719,-4.043,1022,478,1022
21.75,24.697,-2.021,1022,535,1023
22.06,22.676,-2.021,1022,578,1022
22.89,20.654,-2.021,1022,661,1022
23.00,21.665,1.011,1022,652,1022
23.21,20.654,-1.011,1022,643,1022
23.32,21.665,1.011,1021,642,1023
24.14,22.676,1.011,1023,639,1023
24.26,21.665,-1.011,1022,640,1022
24.47,20.654,-1.011,1022,652,1022
24.68,21.665,1.011,1023,655,1022
24.90,20.654,-1.011,1022,652,1023
25.31,21.665,1.011,1022,646,1023
25.43,20.654,-1.011,1022,640,1022
25.54,21.665,1.011,1022,630,1023
25.65,22.676,1.011,1023,624,1023
25.96,23.687,1.011,1023,559,1022
26.18,24.697,1.011,1022,532,1022
26.29,25.708,1.011,1023,532,1023
26.60,26.719,1.011,1022,498,1022
26.72,27.729,1.011,1022,488,1023
26.83,29.751,2.021,1022,466,1023
27.04,30.762,1.011,1022,411,1022
27.15,32.783,2.021,1022,390,1022
27.26,31.772,-1.011,1023,382,1023
27.38,32.783,1.011,1022,379,1022
27.49,33.794,1.011,1022,377,1023
27.70,34.805,1.011,1023,368,1023
27.92,35.815,1.011,1022,349,1023
28.03,36.826,1.011,1023,343,1022
28.24,37.837,1.011,1022,332,1023
28.35,38.848,1.011,1023,330,1023
28.67,39.858,1.011,1023,322,1022
28.88,40.869,1.011,1022,318,1022
29.19,41.880,1.011,1022,306,1022
29.51,40.869,-1.011,1023,300,1023
29.72,39.858,-1.011,1022,300,1022
29.84,40.869,1.011,1023,299,1022
30.15,42.891,2.021,1022,296,1023
30.26,41.880,-1.011,1022,295,1023
30.48,42.891,1.011,1022,291,1022
30.59,41.880,-1.011,1022,285,1022
30.80,42.891,1.011,1022,286,1022
31.01,41.880,-1.011,1022,281,1022
31.23,42.891,1.011,1022,282,1022
31.54,43.901,1.011,1022,276,1022
31.76,42.891,-1.011,1022,274,1022
31.97,43.901,1.011,1023,273,1023
32.08,42.891,-1.011,1022,274,1022
32.20,39.858,-3.032,1023,315,1023
32.31,31.772,-8.086,1022,401,1022
32.42,28.740,-3.032,1022,479,1022
32.53,25.708,-3.032,1021,509,1023
32.65,24.697,-1.011,1023,519,1023
32.86,22.676,-2.021,1023,578,1022
33.08,21.665,-1.011,1022,615,1023
33.19,22.676,1.011,1023,618,1023
33.40,21.665,-1.011,1022,640,1022
33.92,20.654,-1.011,1023,650,1022
34.34,21.665,1.011,1022,644,1022
34.45,20.654,-1.011,1022,642,1022
34.56,21.665,1.011,1022,630,1023
34.67,22.676,1.011,1022,621,1022
34.88,21.665,-1.011,1022,604,1022
35.00,22.676,1.011,1023,590,1023
35.21,23.687,1.011,1023,559,1023
35.42,24.697,1.011,1022,538,1022
35.54,25.708,1.011,1023,528,1023
35.65,26.719,1.011,1023,520,1022
35.76,27.729,1.011,1022,500,1022
35.87,28.740,1.011,1022,484,1023
35.98,29.751,1.011,1022,460,1023
36.09,30.762,1.011,1022,433,1022
36.21,31.772,1.011,1022,401,1023
36.32,32.783,1.011,1023,378,1022
36.43,33.794,1.011,1022,374,1022
36.54,35.815,2.021,1022,364,1022
36.76,36.826,1.011,1022,336,1022
36.87,38.848,2.021,1022,330,1023
36.98,37.837,-1.011,1022,321,1023
37.09,38.848,1.011,1022,316,1022
37.20,39.858,1.011,1022,313,1022
37.31,40.869,1.011,1022,306,1023
37.43,39.858,-1.011,1022,300,1022
37.54,40.869,1.011,1022,299,1022
37.65,41.880,1.011,1023,299,1022
37.76,40.869,-1.011,1023,298,1022
37.88,41.880,1.011,1022,297,1022
38.19,42.891,1.011,1022,294,1022
38.40,41.880,-1.011,1022,295,1023
38.52,38.848,-3.032,1022,318,1022
38.63,32.783,-6.064,1022,366,1023
38.74,29.751,-3.032,1022,417,1023
38.96,27.729,-2.021,1022,477,1023
39.07,25.708,-2.021,1022,499,1022
39.18,24.697,-1.011,1023,520,1023
39.40,23.687,-1.011,1022,539,1023
39.51,22.676,-1.011,1022,576,1023
39.62,23.687,1.011,1022,576,1022
39.74,22.676,-1.011,1022,585,1023
39.85,21.665,-1.011,1023,583,1022
40.06,23.687,2.021,1022,582,1023
40.17,22.676,-1.011,1022,581,1023
40.29,23.687,1.011,1023,580,1023
40.60,22.676,-1.011,1023,557,1022
40.81,25.708,3.032,1022,506,1023
40.93,26.719,1.011,1022,476,1023
41.04,28.740,2.021,1023,452,1022
41.15,30.762,2.021,1022,403,1022
41.26,31.772,1.011,1023,365,1023
41.37,33.794,2.021,1022,351,1022
41.49,35.815,2.021,1022,329,1023
41.60,37.837,2.021,1022,317,1023
41.71,39.858,2.021,1023,306,1022
41.92,41.880,2.021,1022,297,1023
42.24,40.869,-1.011,1022,288,1022
42.45,41.880,1.011,1023,288,1022
42.77,40.869,-1.011,1023,287,1022
42.88,42.891,2.021,1023,286,1022
42.99,41.880,-1.011,1023,287,1022
43.10,40.869,-1.011,1023,288,1023
43.22,39.858,-1.011,1022,294,1022
43.33,41.880,2.021,1022,287,1023
43.44,40.869,-1.011,1022,287,1022
43.65,39.858,-1.011,1022,294,1023
43.77,40.869,1.011,1022,287,1023
43.88,41.880,1.011,1022,286,1022
43.99,42.891,1.011,1022,285,1022
44.10,41.880,-1.011,1023,285,1022
44.32,42.891,1.011,1023,277,1022
44.43,43.901,1.011,1023,271,1022
44.54,42.891,-1.011,1022,278,1022
44.65,35.815,-7.075,1022,326,1023
44.77,30.762,-5.054,1022,381,1022
44.88,28.740,-2.021,1023,444,1022
44.99,26.719,-2.021,1023,476,1023
45.11,24.697,-2.021,1022,500,1023
45.42,22.676,-2.021,1022,564,1023
45.84,21.665,-1.011,1022,619,1023
46.46,20.654,-1.011,1023,657,1023
46.57,21.665,1.011,1022,664,1023
46.68,20.654,-1.011,1022,675,1022
