Time(s),Force(N),DeltaF(N),FSR1,FSR2,FSR3
4.45,21.665,1.011,1022,1023,1023
4.56,20.654,-1.011,1023,1022,1023
4.88,19.644,-1.011,1022,1023,1023
4.99,21.665,2.021,1023,1022,1023
5.10,20.654,-1.011,1023,1023,1023
6.22,19.644,-1.011,1022,1022,1023
6.34,20.654,1.011,1023,1023,1022
6.85,21.665,1.011,1023,1023,896
6.97,20.654,-1.011,1023,1022,898
7.28,19.644,-1.011,1023,1023,832
7.39,20.654,1.011,1023,1023,824
7.60,19.644,-1.011,1023,1023,820
7.72,21.665,2.021,1022,1022,813
7.83,20.654,-1.011,1023,1023,814
8.14,21.665,1.011,1023,1023,724
8.45,22.676,1.011,1023,1022,794
8.77,21.665,-1.011,1022,1023,786
8.88,22.676,1.011,1023,1022,778
8.99,24.697,2.021,1023,1023,776
9.10,25.708,1.011,1023,1023,766
9.21,26.719,1.011,1023,1023,755
9.52,27.729,1.011,1023,1022,746
9.63,28.740,1.011,1022,1023,745
9.75,29.751,1.011,1022,1022,737
10.06,30.762,1.011,1021,1023,728
10.37,31.772,1.011,1022,1023,721
10.69,32.783,1.011,1022,1023,714
10.90,31.772,-1.011,1023,1023,714
11.01,32.783,1.011,1022,1023,714
11.23,33.794,1.011,1023,1023,712
11.54,32.783,-1.011,1023,1022,710
11.65,34.805,2.021,1023,1023,713
11.77,33.794,-1.011,1022,1023,709
11.88,34.805,1.011,1023,1023,712
11.99,35.815,1.011,1023,1023,710
12.10,33.794,-2.021,1022,1023,711
12.32,35.815,2.021,1022,1023,710
12.43,34.805,-1.011,1023,1023,707
12.64,33.794,-1.011,1021,1023,708
12.75,35.815,2.021,1023,1023,705
12.87,34.805,-1.011,1022,1023,705
13.08,35.815,1.011,1022,1023,707
13.19,36.826,1.011,1022,1022,705
13.71,37.837,1.011,1022,1023,701
14.13,38.848,1.011,1022,1023,699
14.24,37.837,-1.011,1023,1023,698
14.35,38.848,1.011,1022,1023,698
14.56,39.858,1.011,1023,1023,697
14.67,38.848,-1.011,1022,1023,696
14.79,39.858,1.011,1023,1023,697
14.90,38.848,-1.011,1023,1023,698
15.01,37.837,-1.011,1023,1023,698
15.13,38.848,1.011,1022,1023,697
15.24,39.858,1.011,1023,1023,697
15.75,40.869,1.011,1022,1023,695
15.97,39.858,-1.011,1022,1023,693
16.18,40.869,1.011,1022,1023,691
16.39,39.858,-1.011,1023,1023,697
16.51,40.869,1.011,1022,1022,695
16.72,39.858,-1.011,1023,1023,692
17.03,41.880,2.021,1023,1023,689
17.15,40.869,-1.011,1022,1023,690
17.36,39.858,-1.011,1020,1022,690
17.47,35.815,-4.043,1023,1023,699
17.59,32.783,-3.032,1020,1023,711
17.70,28.740,-4.043,1023,1023,729
17.81,26.719,-2.021,1023,1023,744
17.93,24.697,-2.021,1022,1023,755
18.04,25.708,1.011,1023,1023,764
18.15,23.687,-2.021,1023,1023,776
18.26,22.676,-1.011,1023,1023,781
18.38,23.687,1.011,1023,1023,779
18.49,22.676,-1.011,1023,1023,788
18.60,21.665,-1.011,1023,1022,810
18.92,20.654,-1.011,1023,1023,819
19.03,21.665,1.011,1023,1023,826
19.14,20.654,-1.011,1023,1023,816
19.35,21.665,1.011,1023,1023,828
19.47,20.654,-1.011,1021,1023,831
19.88,21.665,1.011,1022,1023,829
20.00,20.654,-1.011,1022,1023,825
21.32,19.644,-1.011,1022,1023,826
21.43,21.665,2.021,1022,1023,825
21.65,20.654,-1.011,1022,1023,821
22.06,19.644,-1.011,1023,1023,821
22.18,20.654,1.011,1023,1023,823
22.69,19.644,-1.011,1023,1023,825
22.81,20.654,1.011,1023,1022,845
23.12,19.644,-1.011,1023,1023,865
23.74,20.654,1.011,1023,1023,922
24.05,21.665,1.011,1023,1023,1021
24.17,20.654,-1.011,1023,1023,1022
24.89,19.644,-1.011,1023,1023,1023
25.00,20.654,1.011,1022,1023,1023
25.32,19.644,-1.011,1023,1023,1023
25.43,20.654,1.011,1023,1023,1022
25.54,19.644,-1.011,1022,1023,1023
25.66,20.654,1.011,1023,1023,1021
26.08,21.665,1.011,1021,1022,801
26.19,22.676,1.011,1023,1023,798
26.30,23.687,1.011,1023,1023,785
26.41,25.708,2.021,1023,1022,771
26.52,26.719,1.011,1023,1023,758
26.74,28.740,2.021,1023,1022,740
26.95,29.751,1.011,1023,1023,732
27.06,30.762,1.011,1023,1023,731
27.27,29.751,-1.011,1022,1023,726
27.39,30.762,1.011,1022,1023,725
27.70,31.772,1.011,1019,1023,719
28.12,32.783,1.011,1023,1023,716
28.23,31.772,-1.011,1022,1023,715
28.34,33.794,2.021,1023,1023,717
28.65,32.783,-1.011,1021,1023,713
28.77,33.794,1.011,1023,1023,713
29.28,34.805,1.011,1023,1022,712
29.40,35.815,1.011,1023,1023,710
29.81,36.826,1.011,1023,1022,706
30.02,37.837,1.011,1023,1022,707
30.14,38.848,1.011,1023,1023,704
30.25,37.837,-1.011,1023,1023,699
30.36,38.848,1.011,1023,1023,698
30.47,39.858,1.011,1023,1023,695
30.79,38.848,-1.011,1023,1023,689
30.90,40.869,2.021,1023,1023,688
31.01,39.858,-1.011,1022,1023,687
31.13,40.869,1.011,1022,1023,691
31.24,39.858,-1.011,1023,1023,692
31.45,40.869,1.011,1022,1023,682
31.56,39.858,-1.011,1022,1022,679
31.78,40.869,1.011,1023,1022,679
31.89,41.880,1.011,1023,1023,681
32.00,39.858,-2.021,1023,1023,681
32.22,40.869,1.011,1022,1023,681
32.73,41.880,1.011,1023,1023,676
32.84,40.869,-1.011,1023,1023,677
32.96,41.880,1.011,1023,1023,678
33.17,42.891,1.011,1023,1023,674
33.38,41.880,-1.011,1023,1023,674
33.50,38.848,-3.032,1023,1022,679
33.61,33.794,-5.054,1023,1023,692
33.72,30.762,-3.032,1023,1023,710
33.84,28.740,-2.021,1023,1022,727
33.95,25.708,-3.032,1022,1023,743
34.06,24.697,-1.011,1023,1023,747
34.28,21.665,-3.032,1023,1023,758
34.39,22.676,1.011,1023,1023,757
34.50,21.665,-1.011,1023,1022,778
34.71,20.654,-1.011,1023,1023,792
35.13,21.665,1.011,1023,1023,821
