timestamped_line
[11:37:57] ▶ Starting baseline phase for 2.5 seconds...
[11:37:57] t (s) | A | B | C | D
[11:38:02] 2.500 | 34830 | 35631 | 72 | 12445
[11:38:02] 2.550 | 32358 | 33200 | 73 | 12452
[11:38:02] 2.600 | 37398 | 30636 | 77 | 12446
[11:38:03] 2.650 | 32613 | 36020 | 80 | 12436
[11:38:03] 2.700 | 36372 | 31765 | 66 | 12445
[11:38:03] 2.750 | 32747 | 29343 | 69 | 12438
[11:38:03] 2.800 | 30841 | 35650 | 80 | 12444
[11:38:03] 2.850 | 29801 | 31884 | 71 | 12441
[11:38:03] 2.900 | 31037 | 31999 | 64 | 12434
[11:38:03] 2.950 | 31245 | 33742 | 53 | 12457
[11:38:03] 3.000 | 32022 | 28751 | 75 | 12445
[11:38:03] 3.050 | 35707 | 30379 | 62 | 12450
[11:38:03] 3.100 | 31973 | 31044 | 70 | 12449
[11:38:03] 3.150 | 32399 | 29476 | 88 | 12464
[11:38:03] 3.200 | 27828 | 36822 | 67 | 12457
[11:38:03] 3.250 | 30334 | 35306 | 73 | 12461
[11:38:03] 3.300 | 30538 | 31222 | 64 | 12458
[11:38:03] 3.350 | 32559 | 31124 | 69 | 12461
[11:38:03] 3.400 | 34438 | 39628 | 72 | 12462
[11:38:03] 3.450 | 26656 | 34235 | 87 | 12464
[11:38:03] 3.500 | 27070 | 33415 | 75 | 12468
[11:38:03] 3.550 | 30029 | 34246 | 68 | 12472
[11:38:03] 3.600 | 28445 | 32009 | 76 | 12467
[11:38:04] 3.650 | 29229 | 30975 | 75 | 12465
[11:38:04] 3.700 | 31173 | 28164 | 87 | 12464
[11:38:04] 3.750 | 28976 | 31661 | 84 | 12433
[11:38:04] 3.800 | 32127 | 33502 | 60 | 12458
[11:38:04] 3.850 | 27788 | 30657 | 68 | 12468
[11:38:04] 3.900 | 28696 | 25138 | 77 | 12435
[11:38:04] 3.950 | 29732 | 35915 | 81 | 12476
[11:38:04] 4.000 | 32487 | 28556 | 82 | 12476
[11:38:04] 4.050 | 32738 | 29775 | 63 | 12482
[11:38:04] 4.100 | 31264 | 35472 | 72 | 12412
[11:38:04] 4.150 | 33771 | 30286 | 73 | 12373
[11:38:04] 4.200 | 31514 | 31013 | 54 | 12494
[11:38:04] 4.250 | 34234 | 32675 | 59 | 12668
[11:38:04] 4.300 | 36473 | 27563 | 80 | 12838
