timestamped_line
[17:43:09] ▶ Starting baseline phase for 5 seconds...
[17:43:13] [MAIN] t = 0.650 s | ADC: 3250 | V: 2.6190
[17:43:13] [MAIN] t = 0.700 s | ADC: 3251 | V: 2.6199
[17:43:13] [MAIN] t = 0.750 s | ADC: 3250 | V: 2.6190
[17:43:13] [MAIN] t = 0.800 s | ADC: 3250 | V: 2.6190
[17:43:13] [MAIN] t = 0.850 s | ADC: 3250 | V: 2.6190
[17:43:13] [MAIN] t = 0.900 s | ADC: 3251 | V: 2.6199
[17:43:13] [MAIN] t = 0.950 s | ADC: 3252 | V: 2.6207
[17:43:13] [MAIN] t = 1.000 s | ADC: 3250 | V: 2.6190
[17:43:13] [MAIN] t = 1.050 s | ADC: 3250 | V: 2.6190
[17:43:13] [MAIN] t = 1.100 s | ADC: 3249 | V: 2.6182
[17:43:13] [MAIN] t = 1.150 s | ADC: 3250 | V: 2.6190
[17:43:14] [MAIN] t = 1.200 s | ADC: 3248 | V: 2.6174
[17:43:14] [MAIN] t = 1.250 s | ADC: 3250 | V: 2.6190
[17:43:14] [MAIN] t = 1.300 s | ADC: 3250 | V: 2.6190
[17:43:14] [MAIN] t = 1.350 s | ADC: 3249 | V: 2.6182
[17:43:14] [MAIN] t = 1.400 s | ADC: 3249 | V: 2.6182
[17:43:14] [MAIN] t = 1.450 s | ADC: 3250 | V: 2.6190
[17:43:14] [MAIN] t = 1.500 s | ADC: 3249 | V: 2.6182
[17:43:14] [MAIN] t = 1.550 s | ADC: 3250 | V: 2.6190
[17:43:14] [MAIN] t = 1.600 s | ADC: 3250 | V: 2.6190
[17:43:14] [MAIN] t = 1.650 s | ADC: 3249 | V: 2.6182
[17:43:14] [MAIN] t = 1.700 s | ADC: 3250 | V: 2.6190
[17:43:14] [MAIN] t = 1.750 s | ADC: 3251 | V: 2.6199
[17:43:14] [MAIN] t = 1.800 s | ADC: 3251 | V: 2.6199
[17:43:14] [MAIN] t = 1.850 s | ADC: 3250 | V: 2.6190
[17:43:14] [MAIN] t = 1.900 s | ADC: 3250 | V: 2.6190
[17:43:14] [MAIN] t = 1.950 s | ADC: 3249 | V: 2.6182
[17:43:14] [MAIN] t = 2.000 s | ADC: 3250 | V: 2.6190
[17:43:14] [MAIN] t = 2.050 s | ADC: 3249 | V: 2.6182
[17:43:14] [MAIN] t = 2.100 s | ADC: 3251 | V: 2.6199
[17:43:14] [MAIN] t = 2.150 s | ADC: 3251 | V: 2.6199
[17:43:15] [MAIN] t = 2.200 s | ADC: 3249 | V: 2.6182
[17:43:15] [MAIN] t = 2.250 s | ADC: 3250 | V: 2.6190
[17:43:15] [MAIN] t = 2.300 s | ADC: 3251 | V: 2.6199
[17:43:15] [MAIN] t = 2.350 s | ADC: 3250 | V: 2.6190
[17:43:15] [MAIN] t = 2.400 s | ADC: 3249 | V: 2.6182
[17:43:15] [MAIN] t = 2.450 s | ADC: 3249 | V: 2.6182
[17:43:15] [MAIN] t = 2.500 s | ADC: 3249 | V: 2.6182
[17:43:15] [MAIN] t = 2.550 s | ADC: 3250 | V: 2.6190
[17:43:15] [MAIN] t = 2.600 s | ADC: 3250 | V: 2.6190
[17:43:15] [MAIN] t = 2.650 s | ADC: 3250 | V: 2.6190
[17:43:15] [MAIN] t = 2.700 s | ADC: 3250 | V: 2.6190
[17:43:15] [MAIN] t = 2.750 s | ADC: 3252 | V: 2.6207
[17:43:15] [MAIN] t = 2.800 s | ADC: 3251 | V: 2.6199
[17:43:15] [MAIN] t = 2.850 s | ADC: 3251 | V: 2.6199
[17:43:15] [MAIN] t = 2.900 s | ADC: 3249 | V: 2.6182
[17:43:15] [MAIN] t = 2.950 s | ADC: 3250 | V: 2.6190
[17:43:15] [MAIN] t = 3.000 s | ADC: 3251 | V: 2.6199
[17:43:15] [MAIN] t = 3.050 s | ADC: 3251 | V: 2.6199
[17:43:15] [MAIN] t = 3.100 s | ADC: 3251 | V: 2.6199
[17:43:15] [MAIN] t = 3.150 s | ADC: 3251 | V: 2.6199
[17:43:16] [MAIN] t = 3.200 s | ADC: 3250 | V: 2.6190
[17:43:16] [MAIN] t = 3.250 s | ADC: 3249 | V: 2.6182
[17:43:16] [MAIN] t = 3.300 s | ADC: 3250 | V: 2.6190
[17:43:16] [MAIN] t = 3.350 s | ADC: 3250 | V: 2.6190
[17:43:16] [MAIN] t = 3.400 s | ADC: 3251 | V: 2.6199
