timestamped_line
[13:57:22] ▶ Starting baseline phase for 2.5 seconds...
[13:57:22] t (s) | A | B | C | D
[13:57:22] 0.051 | 41 | 722 | 38064 | 83
[13:57:22] 0.101 | 32 | 723 | 38071 | 77
[13:57:22] 0.151 | 36 | 724 | 38073 | 87
[13:57:23] 0.201 | 36 | 721 | 38083 | 92
[13:57:23] 0.251 | 48 | 726 | 38093 | 86
[13:57:23] 0.301 | 40 | 714 | 38098 | 93
[13:57:23] 0.351 | 30 | 726 | 38093 | 84
[13:57:23] 0.401 | 37 | 717 | 38102 | 97
[13:57:23] 0.451 | 37 | 737 | 38120 | 94
[13:57:23] 0.501 | 41 | 718 | 38125 | 85
[13:57:23] 0.551 | 36 | 706 | 38132 | 81
[13:57:23] 0.601 | 31 | 713 | 38134 | 75
[13:57:23] 0.651 | 41 | 710 | 38145 | 89
[13:57:23] 0.701 | 36 | 707 | 38146 | 66
[13:57:23] 0.751 | 35 | 696 | 38165 | 80
[13:57:23] 0.801 | 33 | 701 | 38165 | 89
[13:57:23] 0.851 | 32 | 708 | 38163 | 92
[13:57:23] 0.901 | 40 | 697 | 38174 | 104
[13:57:23] 0.951 | 37 | 701 | 38182 | 99
[13:57:23] 1.001 | 37 | 706 | 38185 | 85
[13:57:23] 1.051 | 34 | 697 | 38197 | 97
[13:57:23] 1.101 | 41 | 699 | 38204 | 90
[13:57:23] 1.151 | 36 | 694 | 38219 | 88
[13:57:24] 1.201 | 47 | 703 | 38219 | 87
[13:57:24] 1.251 | 39 | 695 | 38227 | 100
[13:57:24] 1.301 | 37 | 691 | 38241 | 85
[13:57:24] 1.351 | 36 | 697 | 38227 | 91
[13:57:24] 1.401 | 39 | 692 | 38233 | 105
[13:57:24] 1.451 | 43 | 684 | 38246 | 88
[13:57:24] 1.501 | 33 | 687 | 38236 | 84
[13:57:24] 1.551 | 37 | 693 | 38230 | 104
[13:57:24] 1.601 | 33 | 689 | 38249 | 94
[13:57:24] 1.651 | 40 | 687 | 38267 | 90
[13:57:24] 1.701 | 31 | 690 | 38258 | 94
[13:57:24] 1.751 | 22 | 680 | 38270 | 83
[13:57:24] 1.801 | 39 | 678 | 38271 | 89
[13:57:24] 1.851 | 36 | 683 | 38286 | 88
[13:57:24] 1.901 | 44 | 683 | 38292 | 98
[13:57:24] 1.951 | 29 | 667 | 38298 | 87
[13:57:24] 2.001 | 40 | 674 | 38313 | 80
[13:57:24] 2.051 | 38 | 681 | 38321 | 96
[13:57:24] 2.101 | 43 | 673 | 38322 | 100
[13:57:24] 2.151 | 41 | 669 | 38323 | 105
[13:57:25] 2.201 | 38 | 672 | 38343 | 100
[13:57:25] 2.251 | 46 | 675 | 38355 | 86
[13:57:25] 2.301 | 35 | 681 | 38345 | 104
[13:57:25] 2.351 | 37 | 680 | 38355 | 80
[13:57:25] 2.401 | 42 | 669 | 38348 | 80
[13:57:25] 2.451 | 37 | 663 | 38369 | 90
[13:57:25] ✅ Baseline complete. Starting main recording for 10 seconds...
