timestamped_line
[21:23:35] ▶ Starting baseline phase for 2.5 seconds...
[21:23:35] t (s) | A | B | C | D
[21:23:35] 0.050 | 40700 | 37963 | 17255 | 371
[21:23:35] 0.100 | 34192 | 37159 | 17259 | 375
[21:23:35] 0.150 | 29386 | 36355 | 17264 | 375
[21:23:35] 0.200 | 34279 | 31437 | 17273 | 367
[21:23:35] 0.250 | 28518 | 34690 | 17293 | 373
[21:23:35] 0.300 | 32094 | 43567 | 17282 | 377
[21:23:36] 0.350 | 29347 | 31679 | 17274 | 372
[21:23:36] 0.400 | 36632 | 34228 | 17284 | 389
[21:23:36] 0.450 | 32628 | 32947 | 17292 | 389
[21:23:36] 0.500 | 37037 | 39200 | 17298 | 381
[21:23:36] 0.550 | 40638 | 36046 | 17276 | 373
[21:23:36] 0.600 | 37791 | 36339 | 17271 | 391
[21:23:36] 0.650 | 33092 | 33949 | 17254 | 387
[21:23:36] 0.700 | 28520 | 37566 | 17276 | 377
[21:23:36] 0.750 | 31462 | 38433 | 17287 | 386
[21:23:36] 0.800 | 33860 | 32595 | 17283 | 377
[21:23:36] 0.850 | 33127 | 37512 | 17254 | 358
[21:23:36] 0.900 | 38162 | 40998 | 17253 | 380
[21:23:36] 0.950 | 32231 | 36626 | 17262 | 384
[21:23:36] 1.000 | 32190 | 38211 | 17313 | 387
[21:23:36] 1.050 | 33471 | 35730 | 17290 | 376
[21:23:36] 1.100 | 31830 | 32192 | 17291 | 376
[21:23:36] 1.150 | 31697 | 35485 | 17300 | 376
[21:23:36] 1.200 | 35160 | 36597 | 17300 | 378
[21:23:36] 1.250 | 32477 | 35108 | 17281 | 377
[21:23:36] 1.300 | 32174 | 32278 | 17282 | 367
[21:23:37] 1.350 | 36222 | 40908 | 17296 | 383
[21:23:37] 1.400 | 32998 | 34763 | 17283 | 374
[21:23:37] 1.450 | 32436 | 35560 | 17315 | 374
[21:23:37] 1.500 | 30466 | 36487 | 17315 | 390
[21:23:37] 1.550 | 32055 | 36037 | 17322 | 370
[21:23:37] 1.600 | 32317 | 35848 | 17296 | 367
[21:23:37] 1.650 | 33507 | 33486 | 17299 | 366
[21:23:37] 1.700 | 34547 | 38107 | 17305 | 386
[21:23:37] 1.750 | 34429 | 34305 | 17312 | 365
[21:23:37] 1.800 | 35426 | 38331 | 17316 | 372
[21:23:37] 1.850 | 31070 | 34954 | 17329 | 377
[21:23:37] 1.900 | 32308 | 34473 | 17350 | 365
[21:23:37] 1.950 | 28384 | 35821 | 17328 | 380
[21:23:37] 2.000 | 31378 | 35303 | 17329 | 377
[21:23:37] 2.050 | 29855 | 33833 | 17332 | 362
[21:23:37] 2.100 | 33253 | 35683 | 17357 | 370
[21:23:37] 2.150 | 38859 | 34198 | 17330 | 373
[21:23:37] 2.200 | 32538 | 33627 | 17356 | 384
[21:23:37] 2.250 | 31621 | 35807 | 17355 | 391
