timestamped_line
[15:06:32] ▶ Starting baseline phase for 2.5 seconds...
[15:06:32] t (s) | A | B | C | D
[15:06:32] 0.051 | 51 | 47349 | 103 | 32515
[15:06:32] 0.101 | 48 | 47341 | 101 | 32506
[15:06:32] 0.151 | 44 | 47349 | 114 | 32503
[15:06:32] 0.201 | 48 | 47342 | 104 | 32502
[15:06:32] 0.251 | 48 | 47351 | 114 | 32505
[15:06:32] 0.301 | 46 | 47357 | 95 | 32513
[15:06:32] 0.351 | 58 | 47390 | 113 | 32546
[15:06:32] 0.401 | 55 | 47382 | 112 | 32556
[15:06:33] 0.451 | 55 | 47406 | 102 | 32559
[15:06:33] 0.501 | 59 | 47402 | 121 | 32559
[15:06:33] 0.551 | 55 | 47401 | 103 | 32553
[15:06:33] 0.601 | 51 | 47400 | 112 | 32540
[15:06:33] 0.651 | 57 | 47391 | 125 | 32583
[15:06:33] 0.701 | 61 | 47394 | 110 | 32573
[15:06:33] 0.751 | 57 | 47417 | 94 | 32594
[15:06:33] 0.801 | 71 | 47428 | 108 | 32592
[15:06:33] 0.851 | 54 | 47431 | 115 | 32592
[15:06:33] 0.901 | 60 | 47422 | 106 | 32605
[15:06:33] 0.951 | 53 | 47414 | 110 | 32589
[15:06:33] 1.001 | 59 | 47436 | 89 | 32592
[15:06:33] 1.051 | 64 | 47415 | 100 | 32599
[15:06:33] 1.101 | 50 | 47420 | 113 | 32599
[15:06:33] 1.151 | 58 | 47415 | 117 | 32605
[15:06:33] 1.201 | 48 | 47404 | 119 | 32613
[15:06:33] 1.251 | 60 | 47419 | 102 | 32623
[15:06:33] 1.301 | 52 | 47427 | 102 | 32617
[15:06:33] 1.351 | 59 | 47433 | 109 | 32623
[15:06:33] 1.401 | 46 | 47420 | 99 | 32620
[15:06:34] 1.451 | 48 | 47425 | 98 | 32619
[15:06:34] 1.501 | 56 | 47423 | 111 | 32627
[15:06:34] 1.551 | 58 | 47429 | 95 | 32634
[15:06:34] 1.601 | 57 | 47439 | 104 | 32648
[15:06:34] 1.651 | 66 | 47444 | 102 | 32644
[15:06:34] 1.701 | 60 | 47436 | 115 | 32660
[15:06:34] 1.751 | 49 | 47424 | 96 | 32642
[15:06:34] 1.801 | 54 | 47430 | 107 | 32671
[15:06:34] 1.851 | 59 | 47451 | 111 | 32670
[15:06:34] 1.901 | 61 | 47447 | 111 | 32679
[15:06:34] 1.951 | 45 | 47451 | 99 | 32679
[15:06:34] 2.001 | 63 | 47450 | 118 | 32680
