timestamped_line
[18:41:32] ▶ Starting baseline phase for 2.5 seconds...
[18:41:32] t (s) | A | B | C | D
[18:41:32] 0.051 | 25 | 66 | 33482 | 36112
[18:41:32] 0.101 | 26 | 88 | 32975 | 37354
[18:41:32] 0.151 | 39 | 75 | 30500 | 36214
[18:41:32] 0.201 | 41 | 80 | 30900 | 42414
[18:41:32] 0.251 | 32 | 59 | 28972 | 35444
[18:41:32] 0.301 | 25 | 58 | 30394 | 33224
[18:41:32] 0.351 | 32 | 64 | 29068 | 37315
[18:41:32] 0.401 | 33 | 53 | 30814 | 33547
[18:41:32] 0.451 | 34 | 73 | 30995 | 38813
[18:41:32] 0.501 | 33 | 71 | 33586 | 36108
[18:41:32] 0.551 | 23 | 69 | 33144 | 37312
[18:41:32] 0.601 | 37 | 89 | 30624 | 36024
[18:41:32] 0.651 | 49 | 89 | 32697 | 34224
[18:41:32] 0.701 | 29 | 2883 | 32210 | 37532
[18:41:32] 0.751 | 43 | 7342 | 28838 | 33881
[18:41:32] 0.801 | 29 | 15592 | 31956 | 36457
[18:41:32] 0.851 | 40 | 25896 | 35728 | 40960
[18:41:32] 0.901 | 49 | 44697 | 37930 | 34177
[18:41:33] 0.951 | 42 | 54043 | 37508 | 34031
[18:41:33] 1.001 | 45 | 57806 | 42717 | 32879
[18:41:33] 1.051 | 37 | 58914 | 38435 | 32661
[18:41:33] 1.101 | 43 | 59942 | 38223 | 38320
[18:41:33] 1.151 | 42 | 60259 | 47179 | 33518
[18:41:33] 1.201 | 45 | 60562 | 44112 | 35663
[18:41:33] 1.251 | 52 | 60557 | 35877 | 35346
[18:41:33] 1.301 | 52 | 60672 | 38709 | 36434
[18:41:33] 1.351 | 37 | 60646 | 43157 | 38813
[18:41:33] 1.401 | 44 | 60646 | 39307 | 34133
[18:41:33] 1.451 | 45 | 60651 | 36982 | 34811
[18:41:33] 1.501 | 43 | 60670 | 41858 | 35398
[18:41:33] 1.551 | 51 | 60602 | 42638 | 34416
[18:41:33] 1.601 | 41 | 60593 | 36412 | 33658
[18:41:33] 1.651 | 51 | 60562 | 36733 | 37458
[18:41:33] 1.701 | 43 | 60473 | 40172 | 35400
[18:41:33] 1.751 | 41 | 60328 | 40995 | 36939
[18:41:33] 1.801 | 43 | 59578 | 38080 | 35242
[18:41:33] 1.851 | 45 | 55950 | 40630 | 35927
[18:41:33] 1.901 | 53 | 47845 | 38819 | 34753
[18:41:34] 1.951 | 48 | 36675 | 39896 | 39398
[18:41:34] 2.001 | 47 | 27493 | 34531 | 36408
[18:41:34] 2.051 | 23 | 13381 | 34995 | 35482
[18:41:34] 2.101 | 46 | 13758 | 38081 | 36344
[18:41:34] 2.151 | 41 | 14629 | 33372 | 40516
[18:41:34] 2.201 | 41 | 14409 | 30558 | 34621
[18:41:34] 2.251 | 31 | 12742 | 33491 | 38102
[18:41:34] 2.301 | 32 | 12820 | 31824 | 33383
[18:41:34] 2.351 | 48 | 11046 | 30189 | 33905
[18:41:34] 2.401 | 39 | 7207 | 30501 | 33360
[18:41:34] 2.451 | 31 | 5212 | 36050 | 36152
[18:41:34] ✅ Baseline complete. Starting main recording for 10 seconds...
[18:41:34] 2.501 | 42 | 3582 | 33648 | 36453
[18:41:34] 0.050 | 33 | 3971 | 33695 | 31563
[18:41:34] 0.100 | 24 | 2915 | 34096 | 37302
[18:41:34] 0.150 | 36 | 1718 | 33066 | 31087
[18:41:34] 0.200 | 38 | 1175 | 30903 | 30967
[18:41:34] 0.250 | 46 | 1708 | 32360 | 37606
[18:41:34] 0.300 | 33 | 82 | 28893 | 33985
[18:41:34] 0.350 | 41 | 76 | 29168 | 36451
[18:41:34] 0.400 | 39 | 73 | 32462 | 39729
[18:41:35] 0.450 | 20 | 88 | 31679 | 38071
[18:41:35] 0.500 | 36 | 73 | 32747 | 33650
[18:41:35] 0.550 | 28 | 74 | 31116 | 31427
[18:41:35] 0.600 | 25 | 76 | 28739 | 41216
[18:41:35] 0.650 | 47 | 60 | 34784 | 33325
[18:41:35] 0.700 | 30 | 52 | 33299 | 37995
[18:41:35] 0.750 | 31 | 74 | 26432 | 30633
[18:41:35] 0.800 | 35 | 71 | 30593 | 34893
[18:41:35] 0.850 | 31 | 76 | 30988 | 36401
