timestamped_line
[14:24:15] ▶ Starting baseline phase for 2.5 seconds...
[14:24:15] t (s) | A | B | C | D
[14:24:15] 0.050 | 37487 | 44066 | 82 | 16422
[14:24:15] 0.100 | 34889 | 36019 | 82 | 18044
[14:24:16] 0.150 | 38035 | 41253 | 85 | 18680
[14:24:16] 0.200 | 36682 | 42483 | 88 | 19337
[14:24:16] 0.250 | 40214 | 42228 | 76 | 19723
[14:24:16] 0.300 | 37113 | 41905 | 76 | 20387
[14:24:16] 0.350 | 36098 | 37882 | 77 | 20572
[14:24:16] 0.400 | 33791 | 34597 | 82 | 21001
[14:24:16] 0.450 | 34690 | 36934 | 80 | 21258
[14:24:16] 0.500 | 35567 | 38889 | 79 | 22018
[14:24:16] 0.550 | 36205 | 38124 | 85 | 22719
[14:24:16] 0.600 | 38712 | 36976 | 76 | 25274
[14:24:16] 0.650 | 36791 | 34924 | 77 | 27362
[14:24:16] 0.700 | 35602 | 40615 | 78 | 27622
[14:24:16] 0.750 | 36970 | 36936 | 84 | 27789
[14:24:16] 0.800 | 34793 | 34224 | 77 | 27563
[14:24:16] 0.850 | 35852 | 38083 | 82 | 27796
[14:24:16] 0.900 | 35528 | 35807 | 82 | 27571
[14:24:16] 0.950 | 34355 | 38173 | 72 | 27075
[14:24:16] 1.000 | 33528 | 37631 | 85 | 27389
[14:24:16] 1.050 | 39574 | 39561 | 85 | 27384
[14:24:16] 1.100 | 39188 | 34817 | 83 | 27158
[14:24:17] 1.150 | 41974 | 40700 | 82 | 26799
[14:24:17] 1.200 | 37912 | 42947 | 80 | 21762
[14:24:17] 1.250 | 31878 | 37174 | 83 | 23838
[14:24:17] 1.300 | 39917 | 42291 | 83 | 24160
[14:24:17] 1.350 | 38803 | 39676 | 73 | 24532
[14:24:17] 1.400 | 36857 | 38079 | 71 | 23920
[14:24:17] 1.450 | 42859 | 34950 | 83 | 24274
[14:24:17] 1.500 | 35052 | 37413 | 89 | 24088
[14:24:17] 1.550 | 33029 | 39277 | 84 | 25612
[14:24:17] 1.600 | 32727 | 40800 | 86 | 25897
[14:24:17] 1.650 | 36740 | 39133 | 77 | 25779
[14:24:17] 1.700 | 38272 | 38493 | 79 | 26205
[14:24:17] 1.750 | 38196 | 43055 | 69 | 27684
[14:24:17] 1.800 | 37848 | 33291 | 77 | 28075
[14:24:17] 1.850 | 36283 | 32489 | 80 | 27544
[14:24:17] 1.900 | 38362 | 40721 | 75 | 27872
[14:24:17] 1.950 | 40681 | 40464 | 86 | 29799
[14:24:17] 2.000 | 34520 | 32106 | 85 | 29704
[14:24:17] 2.050 | 32924 | 42334 | 77 | 30760
[14:24:17] 2.100 | 36794 | 36665 | 90 | 30918
[14:24:18] 2.150 | 38106 | 37957 | 78 | 30383
[14:24:18] 2.200 | 38509 | 35942 | 76 | 29939
[14:24:18] 2.250 | 37983 | 41312 | 84 | 29964
[14:24:18] 2.300 | 38394 | 40677 | 85 | 30065
