timestamped_line
[14:16:50] ▶ Starting baseline phase for 2.5 seconds...
[14:16:50] t (s) | A | B | C | D
[14:16:50] 0.050 | 48 | 3958 | 36606 | 89
[14:16:50] 0.100 | 54 | 4002 | 36589 | 91
[14:16:51] 0.150 | 35 | 4025 | 36583 | 90
[14:16:51] 0.200 | 42 | 3981 | 36560 | 81
[14:16:51] 0.250 | 33 | 4017 | 36582 | 88
[14:16:51] 0.300 | 48 | 4077 | 36585 | 82
[14:16:51] 0.350 | 35 | 3882 | 36580 | 91
[14:16:51] 0.400 | 39 | 3978 | 36585 | 89
[14:16:51] 0.450 | 35 | 3968 | 36564 | 89
[14:16:51] 0.500 | 49 | 4037 | 36556 | 70
[14:16:51] 0.550 | 39 | 4014 | 36562 | 89
[14:16:51] 0.600 | 47 | 4022 | 36594 | 93
[14:16:51] 0.650 | 35 | 4008 | 36593 | 83
[14:16:51] 0.700 | 36 | 3963 | 36578 | 90
[14:16:51] 0.750 | 47 | 3990 | 36566 | 87
[14:16:51] 0.800 | 41 | 4038 | 36544 | 82
[14:16:51] 0.850 | 43 | 4022 | 36532 | 74
[14:16:51] 0.900 | 45 | 4004 | 36548 | 83
[14:16:51] 0.950 | 41 | 3876 | 36522 | 82
[14:16:51] 1.000 | 31 | 3884 | 36558 | 96
[14:16:51] 1.050 | 39 | 3787 | 36551 | 88
[14:16:51] 1.100 | 36 | 3757 | 36568 | 94
[14:16:52] 1.150 | 45 | 3653 | 36547 | 93
[14:16:52] 1.200 | 46 | 3581 | 36535 | 103
[14:16:52] 1.250 | 43 | 3666 | 36546 | 83
[14:16:52] 1.300 | 47 | 3657 | 36538 | 88
[14:16:52] 1.350 | 37 | 3649 | 36547 | 71
[14:16:52] 1.400 | 49 | 3600 | 36550 | 95
[14:16:52] 1.450 | 43 | 3621 | 36534 | 93
[14:16:52] 1.500 | 35 | 3399 | 36519 | 77
[14:16:52] 1.550 | 38 | 2736 | 36517 | 82
[14:16:52] 1.600 | 31 | 2854 | 36514 | 92
[14:16:52] 1.650 | 45 | 2625 | 36521 | 83
[14:16:52] 1.700 | 35 | 2726 | 36534 | 78
[14:16:52] 1.750 | 39 | 2835 | 36532 | 79
[14:16:52] 1.800 | 42 | 2946 | 36517 | 88
[14:16:52] 1.850 | 42 | 2987 | 36520 | 93
[14:16:52] 1.900 | 44 | 3126 | 36505 | 95
[14:16:52] 1.950 | 44 | 3156 | 36498 | 88
[14:16:52] 2.000 | 37 | 3209 | 36498 | 79
[14:16:52] 2.050 | 26 | 3230 | 36494 | 97
[14:16:52] 2.100 | 37 | 3266 | 36494 | 85
[14:16:53] 2.150 | 39 | 3276 | 36496 | 94
[14:16:53] 2.200 | 39 | 3333 | 36486 | 77
[14:16:53] 2.250 | 46 | 3360 | 36494 | 77
[14:16:53] 2.300 | 46 | 3328 | 36497 | 88
[14:16:53] 2.350 | 43 | 3393 | 36489 | 86
[14:16:53] 2.400 | 28 | 3416 | 36482 | 94
[14:16:53] 2.450 | 40 | 3451 | 36477 | 85
[14:16:53] 2.500 | 44 | 3451 | 36478 | 81
[14:16:53] ✅ Baseline complete. Starting main recording for 10 seconds...
[14:16:53] 2.550 | 33 | 3455 | 36479 | 92
[14:16:53] 0.050 | 39 | 3431 | 36472 | 81
[14:16:53] 0.100 | 29 | 3444 | 36474 | 81
[14:16:53] 0.150 | 28 | 3421 | 36470 | 92
[14:16:53] 0.200 | 31 | 3425 | 36471 | 88
[14:16:53] 0.250 | 28 | 3432 | 36469 | 80
[14:16:53] 0.300 | 38 | 3451 | 36463 | 88
[14:16:53] 0.350 | 35 | 3438 | 36468 | 87
[14:16:53] 0.400 | 43 | 3457 | 36465 | 84
[14:16:53] 0.450 | 47 | 3394 | 36455 | 82
[14:16:53] 0.500 | 45 | 3355 | 36441 | 87
[14:16:53] 0.550 | 39 | 3322 | 36451 | 82
