timestamped_line
[17:31:28] ▶ Starting baseline phase for 2.5 seconds...
[17:31:28] t (s) | A | B | C | D
[17:31:29] 0.050 | 44 | 23917 | 100 | 40570
[17:31:29] 0.100 | 48 | 23918 | 94 | 40558
[17:31:29] 0.150 | 59 | 23916 | 91 | 40556
[17:31:29] 0.200 | 46 | 23918 | 88 | 40548
[17:31:29] 0.250 | 51 | 23926 | 100 | 40545
[17:31:29] 0.300 | 48 | 23911 | 94 | 40551
[17:31:29] 0.350 | 56 | 23924 | 94 | 40536
[17:31:29] 0.400 | 48 | 23929 | 108 | 40546
[17:31:29] 0.450 | 50 | 23908 | 99 | 40539
[17:31:29] 0.500 | 36 | 23916 | 96 | 40561
[17:31:29] 0.550 | 47 | 23935 | 92 | 40552
[17:31:29] 0.600 | 53 | 23942 | 103 | 40557
[17:31:29] 0.650 | 47 | 23933 | 99 | 40575
[17:31:29] 0.700 | 46 | 23911 | 89 | 40574
[17:31:29] 0.750 | 44 | 23937 | 89 | 40573
[17:31:29] 0.800 | 38 | 23930 | 76 | 40553
[17:31:29] 0.850 | 54 | 23932 | 91 | 40558
[17:31:29] 0.900 | 46 | 23932 | 87 | 40563
[17:31:29] 0.950 | 44 | 23923 | 95 | 40565
[17:31:29] 1.000 | 43 | 23922 | 114 | 40542
[17:31:30] 1.050 | 46 | 23923 | 112 | 40555
[17:31:30] 1.100 | 43 | 23929 | 106 | 40561
[17:31:30] 1.150 | 59 | 23931 | 110 | 40557
[17:31:30] 1.200 | 55 | 23926 | 91 | 40549
[17:31:30] 1.250 | 50 | 23931 | 106 | 40557
[17:31:30] 1.300 | 59 | 23926 | 95 | 40563
[17:31:30] 1.350 | 46 | 23927 | 102 | 40569
[17:31:30] 1.400 | 55 | 23929 | 99 | 40581
[17:31:30] 1.450 | 54 | 23943 | 94 | 40556
[17:31:30] 1.500 | 40 | 23930 | 98 | 40537
[17:31:30] 1.550 | 49 | 23933 | 94 | 40547
[17:31:30] 1.600 | 44 | 23930 | 100 | 40517
[17:31:30] 1.650 | 44 | 23918 | 93 | 40502
[17:31:30] 1.700 | 48 | 23916 | 94 | 40429
[17:31:30] 1.750 | 45 | 23917 | 89 | 40422
[17:31:30] 1.800 | 54 | 23932 | 90 | 40495
[17:31:30] 1.850 | 48 | 23923 | 92 | 40488
[17:31:30] 1.900 | 33 | 23931 | 78 | 40479
[17:31:30] 1.950 | 53 | 23934 | 96 | 40530
[17:31:30] 2.000 | 61 | 23933 | 91 | 40535
[17:31:31] 2.050 | 43 | 23935 | 99 | 40545
[17:31:31] 2.100 | 56 | 23938 | 89 | 40538
[17:31:31] 2.150 | 42 | 23938 | 86 | 40533
[17:31:31] 2.200 | 50 | 23947 | 95 | 40558
[17:31:31] 2.250 | 47 | 23934 | 95 | 40537
[17:31:31] 2.300 | 45 | 23928 | 95 | 40564
[17:31:31] 2.350 | 39 | 23927 | 97 | 40549
[17:31:31] 2.400 | 54 | 23928 | 88 | 40573
[17:31:31] 2.450 | 46 | 23933 | 88 | 40491
[17:31:31] 2.500 | 46 | 23919 | 91 | 40460
[17:31:31] ✅ Baseline complete. Starting main recording for 10 seconds...
[17:31:31] 2.550 | 49 | 23931 | 85 | 40409
[17:31:31] 0.050 | 37 | 23937 | 83 | 40334
[17:31:31] 0.100 | 47 | 23932 | 90 | 40293
[17:31:31] 0.150 | 48 | 23941 | 79 | 40229
[17:31:31] 0.200 | 52 | 23936 | 98 | 40118
[17:31:31] 0.250 | 34 | 23930 | 88 | 39896
[17:31:31] 0.300 | 52 | 23930 | 86 | 39750
[17:31:31] 0.350 | 50 | 23928 | 90 | 39639
[17:31:31] 0.400 | 47 | 23935 | 91 | 39559
[17:31:31] 0.450 | 41 | 23921 | 98 | 37743
[17:31:32] 0.500 | 51 | 23927 | 95 | 38873
[17:31:32] 0.550 | 51 | 23926 | 91 | 38921
[17:31:32] 0.600 | 49 | 23924 | 108 | 39426
[17:31:32] 0.650 | 40 | 23926 | 95 | 39666
[17:31:32] 0.700 | 42 | 23928 | 91 | 39721
[17:31:32] 0.750 | 54 | 23915 | 82 | 39714
[17:31:32] 0.800 | 37 | 23939 | 88 | 39736
[17:31:32] 0.850 | 46 | 23926 | 107 | 39745
