timestamped_line
[19:51:37] ▶ Starting baseline phase for 2.5 seconds...
[19:51:37] t (s) | A | B | C | D
[19:51:37] 0.050 | 23 | 52230 | 40865 | 40033
[19:51:37] 0.100 | 37 | 52234 | 39502 | 36438
[19:51:37] 0.150 | 31 | 52220 | 34960 | 34788
[19:51:37] 0.200 | 26 | 52211 | 45143 | 35908
[19:51:37] 0.250 | 25 | 52204 | 40924 | 33989
[19:51:37] 0.300 | 29 | 52217 | 39365 | 35648
[19:51:37] 0.350 | 26 | 52204 | 34961 | 38429
[19:51:37] 0.400 | 27 | 52211 | 36408 | 37515
[19:51:37] 0.450 | 26 | 52202 | 38085 | 32649
[19:51:37] 0.500 | 26 | 52190 | 43350 | 35380
[19:51:38] 0.550 | 28 | 52194 | 36164 | 37355
[19:51:38] 0.600 | 15 | 52199 | 40048 | 38632
[19:51:38] 0.650 | 33 | 52198 | 41141 | 33718
[19:51:38] 0.700 | 30 | 52204 | 39467 | 34526
[19:51:38] 0.750 | 33 | 52204 | 40616 | 35093
[19:51:38] 0.800 | 30 | 52194 | 34248 | 29816
[19:51:38] 0.850 | 24 | 52205 | 32533 | 37826
[19:51:38] 0.900 | 35 | 52212 | 40763 | 36330
[19:51:38] 0.950 | 26 | 52204 | 40715 | 36294
[19:51:38] 1.000 | 30 | 52198 | 36179 | 39581
[19:51:38] 1.050 | 24 | 52194 | 43221 | 41092
[19:51:38] 1.100 | 30 | 52203 | 41134 | 34418
[19:51:38] 1.150 | 30 | 52190 | 35701 | 35409
[19:51:38] 1.200 | 33 | 52190 | 39484 | 36109
[19:51:38] 1.250 | 35 | 52192 | 38443 | 34781
[19:51:38] 1.300 | 31 | 52191 | 35923 | 35554
[19:51:38] 1.350 | 35 | 52191 | 37191 | 35923
[19:51:38] 1.400 | 25 | 52191 | 38097 | 37056
[19:51:38] 1.450 | 29 | 52181 | 39853 | 36346
[19:51:38] 1.500 | 30 | 52197 | 40134 | 36991
[19:51:39] 1.550 | 27 | 52183 | 36647 | 34036
[19:51:39] 1.600 | 31 | 52189 | 35920 | 34051
[19:51:39] 1.650 | 37 | 52176 | 39522 | 36251
