timestamped_line
[13:53:55] ▶ Starting baseline phase for 2.5 seconds...
[13:53:55] t (s) | A | B | C | D
[13:53:55] 0.050 | 41 | 1648 | 35225 | 97
[13:53:55] 0.100 | 25 | 1650 | 35253 | 77
[13:53:55] 0.150 | 46 | 1651 | 35257 | 82
[13:53:55] 0.200 | 38 | 1644 | 35275 | 87
[13:53:55] 0.250 | 44 | 1651 | 35276 | 78
[13:53:55] 0.300 | 38 | 1629 | 35315 | 78
[13:53:55] 0.350 | 40 | 1633 | 35327 | 78
[13:53:55] 0.400 | 47 | 1636 | 35342 | 83
[13:53:55] 0.450 | 32 | 1633 | 35342 | 84
[13:53:55] 0.500 | 39 | 1647 | 35365 | 105
[13:53:55] 0.550 | 37 | 1675 | 35368 | 99
[13:53:55] 0.600 | 36 | 1645 | 35381 | 87
[13:53:55] 0.650 | 34 | 1647 | 35380 | 79
[13:53:55] 0.700 | 39 | 1659 | 35381 | 96
[13:53:55] 0.750 | 37 | 1652 | 35370 | 75
[13:53:55] 0.800 | 35 | 1667 | 35380 | 84
[13:53:55] 0.850 | 38 | 1670 | 35377 | 99
[13:53:55] 0.900 | 41 | 1660 | 35391 | 89
[13:53:55] 0.950 | 43 | 1673 | 35411 | 103
[13:53:56] 1.000 | 56 | 1671 | 35423 | 90
[13:53:56] 1.050 | 35 | 1679 | 35409 | 73
[13:53:56] 1.100 | 33 | 1677 | 35423 | 91
[13:53:56] 1.150 | 53 | 1645 | 35432 | 83
[13:53:56] 1.200 | 36 | 1653 | 35430 | 83
[13:53:56] 1.250 | 35 | 1662 | 35446 | 85
[13:53:56] 1.300 | 29 | 1661 | 35458 | 70
[13:53:56] 1.350 | 31 | 1662 | 35461 | 78
[13:53:56] 1.400 | 39 | 1673 | 35469 | 93
[13:53:56] 1.450 | 39 | 1661 | 35471 | 78
[13:53:56] 1.500 | 38 | 1658 | 35478 | 86
[13:53:56] 1.550 | 46 | 1660 | 35466 | 69
[13:53:56] 1.600 | 48 | 1657 | 35481 | 91
[13:53:56] 1.650 | 33 | 1663 | 35478 | 87
[13:53:56] 1.700 | 34 | 1647 | 35486 | 88
[13:53:56] 1.750 | 34 | 1662 | 35511 | 75
[13:53:56] 1.800 | 47 | 1648 | 35514 | 79
[13:53:56] 1.850 | 37 | 1644 | 35514 | 93
[13:53:56] 1.900 | 37 | 1636 | 35513 | 85
[13:53:56] 1.950 | 40 | 1638 | 35514 | 90
[13:53:57] 2.000 | 46 | 1642 | 35523 | 83
[13:53:57] 2.050 | 31 | 1644 | 35533 | 87
[13:53:57] 2.100 | 22 | 1663 | 35525 | 83
[13:53:57] 2.150 | 33 | 1652 | 35515 | 86
[13:53:57] 2.200 | 40 | 1650 | 35528 | 90
[13:53:57] 2.250 | 32 | 1654 | 35544 | 107
[13:53:57] 2.300 | 45 | 1653 | 35535 | 91
[13:53:57] 2.350 | 41 | 1647 | 35544 | 86
[13:53:57] 2.400 | 40 | 1642 | 35556 | 71
[13:53:57] 2.450 | 33 | 1647 | 35555 | 112
[13:53:57] 2.500 | 42 | 1657 | 35554 | 87
[13:53:57] ✅ Baseline complete. Starting main recording for 10 seconds...
[13:53:57] 2.550 | 43 | 1637 | 35561 | 88
[13:53:57] 0.050 | 31 | 1645 | 35569 | 89
[13:53:57] 0.100 | 36 | 1646 | 35562 | 70
