timestamped_line
[19:33:55] ▶ Starting baseline phase for 2.5 seconds...
[19:33:55] t (s) | A | B | C | D
[19:33:55] 0.050 | 90 | 234 | 110 | 100
[19:33:55] 0.100 | 80 | 239 | 117 | 111
[19:33:55] 0.150 | 65 | 265 | 121 | 88
[19:33:55] 0.200 | 88 | 244 | 110 | 98
[19:33:55] 0.250 | 78 | 249 | 122 | 103
[19:33:56] 0.300 | 87 | 262 | 118 | 103
[19:33:56] 0.350 | 81 | 274 | 119 | 112
[19:33:56] 0.400 | 83 | 253 | 94 | 119
[19:33:56] 0.450 | 80 | 249 | 122 | 105
[19:33:56] 0.500 | 80 | 286 | 114 | 110
[19:33:56] 0.550 | 85 | 267 | 117 | 101
[19:33:56] 0.600 | 90 | 280 | 113 | 105
[19:33:56] 0.650 | 75 | 263 | 117 | 99
[19:33:56] 0.700 | 82 | 283 | 124 | 119
[19:33:56] 0.750 | 84 | 287 | 117 | 91
[19:33:56] 0.800 | 81 | 278 | 108 | 112
[19:33:56] 0.850 | 75 | 265 | 125 | 104
[19:33:56] 0.900 | 89 | 277 | 117 | 115
[19:33:56] 0.950 | 85 | 274 | 112 | 102
[19:33:56] 1.000 | 78 | 263 | 125 | 120
[19:33:56] 1.050 | 83 | 262 | 118 | 101
[19:33:56] 1.100 | 82 | 253 | 126 | 105
[19:33:56] 1.150 | 81 | 290 | 117 | 97
[19:33:56] 1.200 | 71 | 264 | 123 | 106
[19:33:56] 1.250 | 87 | 267 | 113 | 111
[19:33:57] 1.300 | 71 | 259 | 124 | 112
[19:33:57] 1.350 | 75 | 265 | 113 | 100
[19:33:57] 1.400 | 87 | 259 | 127 | 108
[19:33:57] 1.450 | 83 | 275 | 127 | 105
[19:33:57] 1.500 | 82 | 286 | 127 | 119
[19:33:57] 1.550 | 75 | 268 | 124 | 118
[19:33:57] 1.600 | 83 | 290 | 111 | 100
[19:33:57] 1.650 | 74 | 287 | 126 | 115
[19:33:57] 1.700 | 84 | 276 | 128 | 108
[19:33:57] 1.750 | 83 | 294 | 114 | 119
[19:33:57] 1.800 | 96 | 274 | 120 | 103
[19:33:57] 1.850 | 93 | 273 | 127 | 106
[19:33:57] 1.900 | 91 | 287 | 122 | 109
[19:33:57] 1.950 | 93 | 269 | 125 | 110
[19:33:57] 2.000 | 82 | 274 | 125 | 106
[19:33:57] 2.050 | 85 | 280 | 129 | 114
[19:33:57] 2.100 | 75 | 291 | 127 | 104
[19:33:57] 2.150 | 111 | 285 | 124 | 107
[19:33:57] 2.200 | 91 | 272 | 111 | 110
[19:33:57] 2.250 | 92 | 300 | 121 | 99
[19:33:58] 2.300 | 85 | 293 | 125 | 116
[19:33:58] 2.350 | 85 | 280 | 111 | 97
[19:33:58] 2.400 | 87 | 308 | 124 | 108
[19:33:58] 2.450 | 77 | 303 | 121 | 109
[19:33:58] 2.500 | 84 | 294 | 135 | 127
[19:33:58] ✅ Baseline complete. Starting main recording for 10 seconds...
[19:33:58] 2.550 | 81 | 305 | 123 | 95
[19:33:58] 0.050 | 91 | 276 | 121 | 112
[19:33:58] 0.100 | 92 | 292 | 125 | 104
[19:33:58] 0.150 | 80 | 269 | 121 | 105
[19:33:58] 0.200 | 87 | 280 | 115 | 114
[19:33:58] 0.250 | 78 | 277 | 113 | 116
[19:33:58] 0.300 | 77 | 289 | 131 | 90
[19:33:58] 0.350 | 78 | 295 | 122 | 103
[19:33:58] 0.400 | 77 | 256 | 121 | 91
[19:33:58] 0.450 | 85 | 298 | 130 | 88
[19:33:58] 0.500 | 82 | 291 | 109 | 93
[19:33:58] 0.550 | 70 | 291 | 112 | 82
[19:33:58] 0.600 | 79 | 284 | 94 | 103
[19:33:58] 0.650 | 76 | 2035 | 102 | 90
[19:33:58] 0.700 | 73 | 1753 | 90 | 88
[19:33:59] 0.750 | 72 | 1405 | 94 | 81
[19:33:59] 0.800 | 62 | 2153 | 97 | 88
[19:33:59] 0.850 | 64 | 2325 | 92 | 97
[19:33:59] 0.900 | 48 | 204 | 89 | 92
[19:33:59] 0.950 | 52 | 190 | 94 | 84
[19:33:59] 1.000 | 49 | 192 | 91 | 87
[19:33:59] 1.050 | 45 | 210 | 94 | 87
[19:33:59] 1.100 | 42 | 236 | 100 | 85
[19:33:59] 1.150 | 41 | 195 | 97 | 85
[19:33:59] 1.200 | 41 | 173 | 90 | 76
[19:33:59] 1.250 | 49 | 183 | 100 | 80
[19:33:59] 1.300 | 43 | 1529 | 89 | 83
[19:33:59] 1.350 | 55 | 1715 | 97 | 79
[19:33:59] 1.400 | 36 | 2277 | 89 | 82
[19:33:59] 1.450 | 55 | 3544 | 88 | 82
[19:33:59] 1.500 | 44 | 3935 | 82 | 78
[19:33:59] 1.550 | 38 | 1970 | 88 | 86
[19:33:59] 1.600 | 47 | 2617 | 97 | 84
[19:33:59] 1.650 | 43 | 2104 | 100 | 86
[19:33:59] 1.700 | 40 | 1808 | 92 | 83
