timestamped_line
[18:55:43] ▶ Starting baseline phase for 2.5 seconds...
[18:55:43] t (s) | A | B | C | D
[18:55:43] 0.050 | 42 | 58 | 35784 | 44314
[18:55:43] 0.100 | 55 | 62 | 32162 | 34112
[18:55:43] 0.150 | 46 | 66 | 28831 | 36423
[18:55:43] 0.200 | 43 | 53 | 34878 | 34894
[18:55:43] 0.250 | 39 | 54 | 31044 | 38157
[18:55:43] 0.300 | 42 | 55 | 32729 | 34241
[18:55:43] 0.350 | 39 | 55 | 32020 | 38926
[18:55:43] 0.400 | 29 | 62 | 29004 | 32014
[18:55:43] 0.450 | 32 | 57 | 32155 | 34676
[18:55:43] 0.500 | 31 | 62 | 31760 | 34310
[18:55:43] 0.550 | 55 | 51 | 29979 | 34061
[18:55:43] 0.600 | 45 | 59 | 29889 | 38692
[18:55:43] 0.650 | 43 | 57 | 29583 | 36190
[18:55:43] 0.700 | 39 | 61 | 29397 | 31302
[18:55:43] 0.750 | 42 | 59 | 30134 | 35607
[18:55:43] 0.800 | 58 | 60 | 28011 | 35544
[18:55:44] 0.850 | 38 | 55 | 28819 | 34447
[18:55:44] 0.900 | 8882 | 53 | 35265 | 34985
[18:55:44] 0.950 | 21376 | 69 | 31074 | 33527
[18:55:44] 1.000 | 24671 | 60 | 31763 | 37211
[18:55:44] 1.050 | 25671 | 67 | 30950 | 38564
[18:55:44] 1.100 | 24610 | 70 | 32775 | 39432
[18:55:44] 1.150 | 22155 | 79 | 28318 | 37177
[18:55:44] 1.200 | 22053 | 73 | 30823 | 38490
[18:55:44] 1.250 | 23563 | 82 | 32193 | 38794
[18:55:44] 1.300 | 23457 | 69 | 31582 | 32707
[18:55:44] 1.350 | 23824 | 72 | 31678 | 34627
[18:55:44] 1.400 | 24470 | 81 | 30857 | 38080
[18:55:44] 1.450 | 25106 | 54 | 31876 | 36257
[18:55:44] 1.500 | 26228 | 81 | 31743 | 35789
[18:55:44] 1.550 | 26406 | 83 | 32603 | 32623
[18:55:44] 1.600 | 27833 | 70 | 33289 | 35734
[18:55:44] 1.650 | 28060 | 72 | 32177 | 32826
[18:55:44] 1.700 | 26565 | 74 | 27285 | 34762
[18:55:44] 1.750 | 22180 | 75 | 25592 | 32365
[18:55:44] 1.800 | 20977 | 67 | 28847 | 35734
[18:55:45] 1.850 | 21636 | 65 | 31381 | 37529
[18:55:45] 1.900 | 20557 | 74 | 31340 | 34544
[18:55:45] 1.950 | 20969 | 63 | 30717 | 33781
[18:55:45] 2.000 | 20081 | 53 | 32751 | 30949
[18:55:45] 2.050 | 19145 | 61 | 32810 | 36959
[18:55:45] 2.100 | 13256 | 64 | 32608 | 34831
[18:55:45] 2.150 | 17359 | 66 | 29438 | 34695
[18:55:45] 2.200 | 18795 | 59 | 33383 | 37673
[18:55:45] 2.250 | 18113 | 68 | 31927 | 35565
[18:55:45] 2.300 | 18964 | 55 | 27749 | 35630
[18:55:45] 2.350 | 19830 | 63 | 33694 | 41734
[18:55:45] 2.400 | 20349 | 75 | 31919 | 34061
[18:55:45] 2.450 | 20837 | 63 | 33750 | 34093
[18:55:45] 2.500 | 20730 | 73 | 29320 | 35402
[18:55:45] ✅ Baseline complete. Starting main recording for 10 seconds...
[18:55:45] 2.550 | 20882 | 63 | 32224 | 34744
[18:55:45] 0.050 | 21230 | 63 | 29140 | 37811
[18:55:45] 0.100 | 21255 | 68 | 29397 | 36178
[18:55:45] 0.150 | 22600 | 68 | 31666 | 36872
[18:55:45] 0.200 | 22629 | 71 | 30183 | 34707
[18:55:45] 0.250 | 21174 | 69 | 33436 | 32228
[18:55:46] 0.300 | 21062 | 85 | 32341 | 37197
[18:55:46] 0.350 | 22204 | 76 | 31008 | 34668
[18:55:46] 0.400 | 22397 | 57 | 30571 | 34560
[18:55:46] 0.450 | 22965 | 74 | 30307 | 34226
[18:55:46] 0.500 | 23134 | 61 | 34044 | 34161
[18:55:46] 0.550 | 21990 | 69 | 31439 | 38849
[18:55:46] 0.600 | 23272 | 68 | 33514 | 33989
[18:55:46] 0.650 | 22559 | 69 | 32431 | 32459
[18:55:46] 0.700 | 22423 | 74 | 32018 | 36657
[18:55:46] 0.750 | 21607 | 54 | 26944 | 36067
[18:55:46] 0.800 | 23688 | 78 | 27044 | 36988
[18:55:46] 0.850 | 24189 | 68 | 28460 | 35516
[18:55:46] 0.900 | 25533 | 70 | 30279 | 38032
[18:55:46] 0.950 | 25671 | 79 | 34984 | 34598
[18:55:46] 1.000 | 25532 | 72 | 33159 | 41682
[18:55:46] 1.050 | 25620 | 66 | 30901 | 33925
[18:55:46] 1.100 | 24757 | 73 | 27306 | 32512
[18:55:46] 1.150 | 25712 | 62 | 30830 | 35481
[18:55:46] 1.200 | 25466 | 66 | 29118 | 33355
[18:55:46] 1.250 | 25561 | 66 | 28746 | 34846
[18:55:47] 1.300 | 25820 | 78 | 31406 | 34174
[18:55:47] 1.350 | 25772 | 70 | 23879 | 36336
[18:55:47] 1.400 | 25826 | 62 | 27392 | 35955
[18:55:47] 1.450 | 25691 | 80 | 29737 | 32270
[18:55:47] 1.500 | 25835 | 66 | 29335 | 36432
[18:55:47] 1.550 | 25813 | 71 | 31629 | 32488
[18:55:47] 1.600 | 25814 | 76 | 29475 | 35048
[18:55:47] 1.650 | 25020 | 63 | 31032 | 35519
[18:55:47] 1.700 | 21003 | 74 | 30778 | 37044
[18:55:47] 1.750 | 21595 | 67 | 32916 | 34500
[18:55:47] 1.800 | 24024 | 66 | 30571 | 38954
[18:55:47] 1.850 | 18847 | 56 | 28192 | 35455
[18:55:47] 1.900 | 18286 | 67 | 31227 | 40272
[18:55:47] 1.950 | 21384 | 64 | 30951 | 37925
