timestamped_line
[21:07:05] ▶ Starting baseline phase for 2.5 seconds...
[21:07:05] t (s) | A | B | C | D
[21:07:05] 0.050 | 34379 | 37417 | 19348 | 15497
[21:07:05] 0.100 | 32242 | 39008 | 19361 | 15484
[21:07:05] 0.150 | 35204 | 33453 | 19370 | 15474
[21:07:05] 0.200 | 33895 | 35255 | 19379 | 15468
[21:07:05] 0.250 | 29495 | 33780 | 19381 | 15463
[21:07:05] 0.300 | 32317 | 34169 | 19371 | 15472
[21:07:05] 0.350 | 33641 | 37673 | 19366 | 15500
[21:07:05] 0.400 | 32616 | 38418 | 19372 | 15503
[21:07:05] 0.450 | 34601 | 35764 | 19360 | 15512
[21:07:05] 0.500 | 35564 | 41921 | 19363 | 15531
[21:07:05] 0.550 | 33708 | 37244 | 19358 | 15516
[21:07:05] 0.600 | 32208 | 37757 | 19374 | 15508
[21:07:05] 0.650 | 35090 | 36508 | 19364 | 15511
[21:07:05] 0.700 | 35680 | 39661 | 19367 | 15502
[21:07:05] 0.750 | 31715 | 36499 | 19354 | 15543
[21:07:05] 0.800 | 36209 | 35321 | 19360 | 15542
[21:07:05] 0.850 | 35122 | 33778 | 19354 | 15531
[21:07:05] 0.900 | 36596 | 37413 | 19364 | 15521
[21:07:06] 0.950 | 35158 | 37971 | 19375 | 15527
[21:07:06] 1.000 | 32005 | 36622 | 19368 | 15505
[21:07:06] 1.050 | 37705 | 40741 | 19371 | 15489
[21:07:06] 1.100 | 32906 | 34827 | 19363 | 15514
[21:07:06] 1.150 | 34980 | 34388 | 19359 | 15542
[21:07:06] 1.200 | 34007 | 39541 | 19372 | 15556
[21:07:06] 1.250 | 38251 | 38058 | 19373 | 15549
[21:07:06] 1.300 | 35329 | 33402 | 19380 | 15555
[21:07:06] 1.350 | 30982 | 37093 | 19375 | 15569
[21:07:06] 1.400 | 32880 | 36563 | 19377 | 15560
[21:07:06] 1.450 | 34776 | 37484 | 19378 | 15566
[21:07:06] 1.500 | 34064 | 38641 | 19370 | 15579
[21:07:06] 1.550 | 35935 | 35482 | 19378 | 15561
[21:07:06] 1.600 | 36856 | 36115 | 19380 | 15571
[21:07:06] 1.650 | 34261 | 37381 | 19395 | 15569
[21:07:06] 1.700 | 38443 | 34345 | 19392 | 15571
[21:07:06] 1.750 | 40290 | 38226 | 19396 | 15564
[21:07:06] 1.800 | 32335 | 35498 | 19402 | 15564
[21:07:06] 1.850 | 29944 | 36802 | 19399 | 15558
[21:07:06] 1.900 | 34117 | 39968 | 19393 | 15573
[21:07:07] 1.950 | 35567 | 31555 | 19411 | 15559
[21:07:07] 2.000 | 33862 | 35968 | 19427 | 15556
[21:07:07] 2.050 | 32502 | 37766 | 19409 | 15580
[21:07:07] 2.100 | 31591 | 31145 | 19412 | 15580
[21:07:07] 2.150 | 33833 | 36429 | 19413 | 15578
[21:07:07] 2.200 | 35077 | 32680 | 19403 | 15631
[21:07:07] 2.250 | 30771 | 35573 | 19404 | 15646
[21:07:07] 2.300 | 33266 | 34848 | 19406 | 15648
[21:07:07] 2.350 | 36804 | 37479 | 19393 | 15626
[21:07:07] 2.400 | 39552 | 36049 | 19407 | 15593
[21:07:07] 2.450 | 37232 | 35458 | 19417 | 15613
[21:07:07] 2.500 | 32384 | 38145 | 19410 | 15635
[21:07:07] ✅ Baseline complete. Starting main recording for 10 seconds...
[21:07:07] 2.550 | 30255 | 40237 | 19421 | 15623
[21:07:07] 0.050 | 35527 | 36591 | 19463 | 15615
[21:07:07] 0.100 | 32832 | 35126 | 19445 | 15633
[21:07:07] 0.150 | 36378 | 42269 | 19447 | 15637
[21:07:07] 0.200 | 34597 | 37458 | 19461 | 15616
[21:07:07] 0.250 | 38261 | 36750 | 19456 | 15604
[21:07:07] 0.300 | 33548 | 35258 | 19459 | 15597
[21:07:07] 0.350 | 36392 | 36095 | 19478 | 15601
[21:07:08] 0.400 | 35079 | 36198 | 19476 | 15599
[21:07:08] 0.450 | 34605 | 36817 | 19481 | 15587
[21:07:08] 0.500 | 36344 | 36601 | 19469 | 15619
[21:07:08] 0.550 | 37529 | 37708 | 19470 | 15623
[21:07:08] 0.600 | 31555 | 35929 | 19471 | 15638
[21:07:08] 0.650 | 34961 | 34859 | 19466 | 15650
[21:07:08] 0.700 | 33653 | 37610 | 19473 | 15636
[21:07:08] 0.750 | 37186 | 36990 | 19468 | 15658
[21:07:08] 0.800 | 34806 | 37562 | 19469 | 15662
[21:07:08] 0.850 | 35190 | 37934 | 19471 | 15665
[21:07:08] 0.900 | 33078 | 34617 | 19472 | 15637
[21:07:08] 0.950 | 29617 | 33066 | 19460 | 15638
[21:07:08] 1.000 | 29903 | 40673 | 19467 | 15638
[21:07:08] 1.050 | 32350 | 32347 | 19463 | 15641
[21:07:08] 1.100 | 32229 | 33852 | 19469 | 15626
[21:07:08] 1.150 | 36231 | 36633 | 19471 | 15627
[21:07:08] 1.200 | 32457 | 34821 | 19469 | 15623
[21:07:08] 1.250 | 33323 | 39819 | 19472 | 15649
[21:07:08] 1.300 | 35964 | 35187 | 19462 | 15631
[21:07:08] 1.350 | 37287 | 37936 | 19462 | 15652
[21:07:09] 1.400 | 37925 | 33359 | 19466 | 15643
[21:07:09] 1.450 | 29829 | 33485 | 19464 | 15651
[21:07:09] 1.500 | 37398 | 37078 | 19464 | 15687
[21:07:09] 1.550 | 32942 | 35186 | 19463 | 15680
[21:07:09] 1.600 | 36161 | 36170 | 19453 | 15685
[21:07:09] 1.650 | 33660 | 36326 | 19455 | 15679
[21:07:09] 1.700 | 34632 | 36740 | 19488 | 15747
[21:07:09] 1.750 | 35193 | 38242 | 19442 | 15697
[21:07:09] 1.800 | 36312 | 39494 | 19492 | 15750
[21:07:09] 1.850 | 31041 | 36051 | 19488 | 15751
[21:07:09] 1.900 | 34840 | 40411 | 19481 | 15762
[21:07:09] 1.950 | 36996 | 35312 | 19479 | 15701
[21:07:09] 2.000 | 31207 | 34693 | 19437 | 15685
[21:07:09] 2.050 | 34830 | 38973 | 19431 | 15716
[21:07:09] 2.100 | 34152 | 32173 | 19352 | 15701
[21:07:09] 2.150 | 34817 | 42427 | 17824 | 15456
[21:07:09] 2.200 | 35126 | 35885 | 19281 | 15702
[21:07:09] 2.250 | 36885 | 37331 | 19087 | 15671
[21:07:09] 2.300 | 36799 | 37634 | 19349 | 15689
[21:07:09] 2.350 | 36925 | 38181 | 19383 | 15710
[21:07:10] 2.400 | 32984 | 39412 | 19348 | 15704
[21:07:10] 2.450 | 35265 | 33527 | 19393 | 15694
[21:07:10] 2.500 | 35046 | 35280 | 19344 | 15670
[21:07:10] 2.550 | 34805 | 39414 | 19376 | 15707
[21:07:10] 2.600 | 34049 | 38080 | 19397 | 15725
[21:07:10] 2.650 | 32439 | 37678 | 19436 | 15749
[21:07:10] 2.700 | 37422 | 32882 | 19432 | 15777
[21:07:10] 2.750 | 32817 | 37362 | 19426 | 15784
[21:07:10] 2.800 | 30401 | 39250 | 19440 | 15788
[21:07:10] 2.850 | 37864 | 34871 | 19420 | 15785
[21:07:10] 2.900 | 34029 | 36483 | 19441 | 15761
[21:07:10] 2.950 | 32643 | 33615 | 19488 | 15778
[21:07:10] 3.000 | 32361 | 36092 | 19472 | 15777
[21:07:10] 3.050 | 36825 | 34946 | 19469 | 15775
[21:07:10] 3.100 | 35320 | 38016 | 19468 | 15875
[21:07:10] 3.150 | 35398 | 38984 | 19454 | 15891
[21:07:10] 3.200 | 36431 | 35810 | 19466 | 15866
[21:07:10] 3.250 | 33774 | 32668 | 19467 | 15854
[21:07:10] 3.300 | 35978 | 32478 | 19447 | 15839
[21:07:10] 3.350 | 32065 | 37423 | 19482 | 15851
[21:07:11] 3.400 | 31008 | 35171 | 19481 | 15863
[21:07:11] 3.450 | 32362 | 39457 | 19505 | 15865
[21:07:11] 3.500 | 33561 | 35724 | 19504 | 15881
[21:07:11] 3.550 | 36849 | 35928 | 19499 | 15893
[21:07:11] 3.600 | 36313 | 35099 | 19503 | 15888
[21:07:11] 3.650 | 36476 | 33281 | 19492 | 15891
[21:07:11] 3.700 | 32617 | 34799 | 19477 | 15887
[21:07:11] 3.750 | 33213 | 36725 | 19474 | 15889
[21:07:11] 3.800 | 34429 | 35388 | 19469 | 15881
[21:07:11] 3.850 | 32480 | 33094 | 19484 | 15944
[21:07:11] 3.900 | 35808 | 37268 | 19496 | 15943
[21:07:11] 3.950 | 33673 | 32721 | 19487 | 15932
