timestamped_line
[19:50:15] ▶ Starting baseline phase for 2.5 seconds...
[19:50:15] t (s) | A | B | C | D
[19:50:16] 0.051 | 21 | 8615 | 32879 | 43098
[19:50:16] 0.101 | 19 | 8606 | 32562 | 37358
[19:50:16] 0.151 | 25 | 8584 | 32896 | 33514
[19:50:16] 0.201 | 24 | 8608 | 32551 | 33294
[19:50:16] 0.251 | 17 | 8612 | 31567 | 36965
[19:50:16] 0.301 | 16 | 8636 | 36947 | 37236
[19:50:16] 0.351 | 23 | 8601 | 34187 | 33780
[19:50:16] 0.401 | 21 | 8602 | 31170 | 34689
[19:50:16] 0.451 | 27 | 8590 | 31406 | 34561
[19:50:16] 0.501 | 25 | 8584 | 34055 | 40222
[19:50:16] 0.551 | 24 | 8582 | 30362 | 38194
[19:50:16] 0.601 | 26 | 8581 | 34923 | 33522
[19:50:16] 0.651 | 23 | 8595 | 33511 | 38419
[19:50:16] 0.701 | 18 | 8567 | 33202 | 32964
[19:50:16] 0.751 | 17 | 8553 | 31279 | 37488
[19:50:16] 0.801 | 27 | 8550 | 31936 | 33018
[19:50:16] 0.851 | 23 | 8545 | 32665 | 33075
[19:50:16] 0.901 | 16 | 8552 | 32264 | 32781
[19:50:16] 0.951 | 19 | 8569 | 29825 | 35392
[19:50:16] 1.001 | 24 | 8563 | 30439 | 37574
[19:50:17] 1.051 | 12 | 8569 | 29695 | 34642
[19:50:17] 1.101 | 20 | 8572 | 29472 | 34225
[19:50:17] 1.151 | 28 | 8593 | 28564 | 35001
[19:50:17] 1.201 | 25 | 8576 | 34130 | 37934
[19:50:17] 1.251 | 28 | 8560 | 31196 | 34752
[19:50:17] 1.301 | 32 | 8576 | 32431 | 32970
[19:50:17] 1.351 | 18 | 8578 | 31303 | 37792
[19:50:17] 1.401 | 33 | 8565 | 35192 | 37448
[19:50:17] 1.451 | 30 | 8571 | 28698 | 34570
[19:50:17] 1.501 | 31 | 8568 | 37206 | 40818
[19:50:17] 1.551 | 24 | 8563 | 28847 | 30622
