timestamped_line
[14:13:21] ▶ Starting baseline phase for 2.5 seconds...
[14:13:21] t (s) | A | B | C | D
[14:13:21] 0.051 | 40 | 28897 | 35102 | 88
[14:13:22] 0.101 | 43 | 28864 | 34930 | 90
[14:13:22] 0.151 | 40 | 28907 | 35045 | 79
[14:13:22] 0.201 | 32 | 28974 | 35085 | 95
[14:13:22] 0.251 | 54 | 29062 | 35052 | 90
[14:13:22] 0.301 | 45 | 29090 | 35143 | 92
[14:13:22] 0.351 | 43 | 29143 | 35116 | 84
[14:13:22] 0.401 | 51 | 29159 | 35139 | 91
[14:13:22] 0.451 | 37 | 29194 | 35125 | 99
[14:13:22] 0.501 | 50 | 29168 | 35059 | 93
[14:13:22] 0.551 | 37 | 29176 | 35045 | 92
[14:13:22] 0.601 | 35 | 29172 | 35030 | 93
[14:13:22] 0.651 | 49 | 29139 | 34899 | 97
[14:13:22] 0.701 | 46 | 29132 | 34829 | 89
[14:13:22] 0.751 | 35 | 29138 | 34687 | 98
[14:13:22] 0.801 | 39 | 29178 | 34647 | 92
[14:13:22] 0.851 | 41 | 29192 | 34547 | 92
[14:13:22] 0.901 | 49 | 29301 | 34637 | 96
[14:13:22] 0.951 | 41 | 29382 | 34586 | 85
[14:13:22] 1.001 | 48 | 29436 | 34702 | 84
[14:13:22] 1.051 | 49 | 29470 | 34838 | 89
[14:13:23] 1.101 | 45 | 29515 | 34974 | 96
[14:13:23] 1.151 | 49 | 29574 | 35119 | 86
[14:13:23] 1.201 | 50 | 29599 | 35174 | 101
[14:13:23] 1.251 | 41 | 29613 | 35196 | 92
[14:13:23] 1.301 | 43 | 29631 | 35222 | 87
[14:13:23] 1.351 | 37 | 29645 | 35204 | 94
[14:13:23] 1.401 | 45 | 29674 | 35135 | 89
[14:13:23] 1.451 | 37 | 29665 | 35004 | 91
[14:13:23] 1.501 | 41 | 29706 | 35072 | 93
[14:13:23] 1.551 | 51 | 29777 | 35279 | 90
[14:13:23] 1.601 | 33 | 29826 | 35448 | 87
[14:13:23] 1.651 | 52 | 29862 | 35520 | 93
[14:13:23] 1.701 | 39 | 29886 | 35578 | 93
[14:13:23] 1.751 | 34 | 29863 | 35579 | 102
[14:13:23] 1.801 | 48 | 29928 | 35637 | 93
[14:13:23] 1.851 | 46 | 29909 | 35629 | 89
[14:13:23] 1.901 | 48 | 29939 | 35658 | 95
[14:13:23] 1.951 | 38 | 29935 | 35644 | 79
[14:13:23] 2.001 | 37 | 29964 | 35764 | 79
[14:13:23] 2.051 | 22 | 29992 | 35818 | 106
[14:13:24] 2.101 | 43 | 30015 | 35946 | 91
[14:13:24] 2.151 | 42 | 30036 | 36007 | 91
