timestamped_line
[17:33:10] ▶ Starting baseline phase for 2.5 seconds...
[17:33:10] t (s) | A | B | C | D
[17:33:10] 0.050 | 47 | 24037 | 91 | 43484
[17:33:10] 0.100 | 39 | 24037 | 76 | 43346
[17:33:10] 0.150 | 45 | 24038 | 90 | 43424
[17:33:10] 0.200 | 59 | 24043 | 104 | 43491
[17:33:10] 0.250 | 57 | 24032 | 96 | 43614
[17:33:10] 0.300 | 58 | 24023 | 81 | 43727
[17:33:10] 0.350 | 51 | 24033 | 83 | 43754
[17:33:11] 0.400 | 55 | 24028 | 102 | 43766
[17:33:11] 0.450 | 44 | 24032 | 82 | 43747
[17:33:11] 0.500 | 43 | 24034 | 109 | 43764
[17:33:11] 0.550 | 41 | 24028 | 90 | 43631
[17:33:11] 0.600 | 51 | 24029 | 86 | 43468
[17:33:11] 0.650 | 49 | 24020 | 77 | 43482
[17:33:11] 0.700 | 48 | 24019 | 91 | 43275
[17:33:11] 0.750 | 36 | 24034 | 86 | 43524
[17:33:11] 0.800 | 39 | 24030 | 96 | 43564
[17:33:11] 0.850 | 55 | 24037 | 107 | 43520
[17:33:11] 0.900 | 43 | 24030 | 95 | 43400
[17:33:11] 0.950 | 36 | 24033 | 94 | 43415
[17:33:11] 1.000 | 50 | 24041 | 97 | 43556
[17:33:11] 1.050 | 49 | 24024 | 108 | 43610
[17:33:11] 1.100 | 44 | 24033 | 99 | 43682
[17:33:11] 1.150 | 48 | 24034 | 83 | 43782
[17:33:11] 1.200 | 46 | 24036 | 89 | 43820
[17:33:11] 1.250 | 56 | 24034 | 101 | 43789
[17:33:11] 1.300 | 37 | 24043 | 97 | 43838
[17:33:11] 1.350 | 51 | 24034 | 83 | 43818
[17:33:12] 1.400 | 42 | 24037 | 90 | 43644
[17:33:12] 1.450 | 43 | 24029 | 103 | 43530
[17:33:12] 1.500 | 40 | 24042 | 90 | 43534
[17:33:12] 1.550 | 47 | 24031 | 98 | 43417
[17:33:12] 1.600 | 48 | 24042 | 91 | 43282
[17:33:12] 1.650 | 55 | 24033 | 86 | 43559
[17:33:12] 1.700 | 49 | 24029 | 90 | 43629
[17:33:12] 1.750 | 48 | 24040 | 90 | 43486
[17:33:12] 1.800 | 57 | 24039 | 93 | 43530
[17:33:12] 1.850 | 54 | 24032 | 105 | 43470
[17:33:12] 1.900 | 50 | 24034 | 97 | 43705
[17:33:12] 1.950 | 47 | 24030 | 98 | 43945
[17:33:12] 2.000 | 44 | 24035 | 75 | 44026
[17:33:12] 2.050 | 47 | 24037 | 91 | 43928
[17:33:12] 2.100 | 59 | 24034 | 102 | 43948
[17:33:12] 2.150 | 53 | 24044 | 96 | 43946
[17:33:12] 2.200 | 48 | 24039 | 83 | 43453
[17:33:12] 2.250 | 48 | 24042 | 80 | 43626
[17:33:12] 2.300 | 47 | 24029 | 86 | 42999
[17:33:12] 2.350 | 47 | 24038 | 101 | 42682
[17:33:13] 2.400 | 54 | 24036 | 94 | 42849
[17:33:13] 2.450 | 42 | 24042 | 102 | 43366
[17:33:13] 2.500 | 52 | 24034 | 91 | 43431
[17:33:13] ✅ Baseline complete. Starting main recording for 10 seconds...
[17:33:13] 2.550 | 49 | 24027 | 77 | 43186
[17:33:13] 0.050 | 39 | 24047 | 103 | 43195
[17:33:13] 0.100 | 49 | 24042 | 78 | 43266
[17:33:13] 0.150 | 37 | 24034 | 91 | 43363
[17:33:13] 0.200 | 49 | 24042 | 88 | 43394
[17:33:13] 0.250 | 50 | 24042 | 103 | 43382
[17:33:13] 0.300 | 56 | 24036 | 91 | 43420
[17:33:13] 0.350 | 47 | 24029 | 93 | 41999
[17:33:13] 0.400 | 46 | 24026 | 106 | 40409
[17:33:13] 0.450 | 39 | 24041 | 77 | 39572
[17:33:13] 0.500 | 50 | 24031 | 99 | 40146
[17:33:13] 0.550 | 49 | 24042 | 88 | 41002
[17:33:13] 0.600 | 43 | 24041 | 79 | 36780
[17:33:13] 0.650 | 33 | 24044 | 86 | 33445
[17:33:13] 0.700 | 48 | 24035 | 91 | 43574
[17:33:13] 0.750 | 43 | 24046 | 110 | 26342
[17:33:13] 0.800 | 38 | 24038 | 101 | 27251
[17:33:14] 0.850 | 52 | 24032 | 85 | 3317
[17:33:14] 0.900 | 29 | 24037 | 65 | 335
[17:33:14] 0.950 | 23 | 24040 | 75 | 323
[17:33:14] 1.000 | 34 | 24041 | 102 | 334
[17:33:14] 1.050 | 37 | 24045 | 81 | 307
[17:33:14] 1.100 | 42 | 24042 | 93 | 298
[17:33:14] 1.150 | 29 | 24042 | 91 | 311
[17:33:14] 1.200 | 28 | 24042 | 73 | 322
[17:33:14] 1.250 | 38 | 24039 | 101 | 287
[17:33:14] 1.300 | 23 | 24042 | 85 | 302
