timestamped_line
[14:14:29] ▶ Starting baseline phase for 2.5 seconds...
[14:14:29] t (s) | A | B | C | D
[14:14:29] 0.051 | 43 | 25937 | 27529 | 75
[14:14:29] 0.101 | 46 | 25927 | 27547 | 86
[14:14:29] 0.151 | 42 | 25927 | 27573 | 84
[14:14:29] 0.201 | 38 | 25925 | 27581 | 83
[14:14:29] 0.251 | 43 | 25918 | 27587 | 104
[14:14:29] 0.301 | 43 | 25922 | 27580 | 95
[14:14:29] 0.351 | 43 | 25939 | 27598 | 85
[14:14:29] 0.401 | 46 | 25951 | 27604 | 96
[14:14:29] 0.451 | 47 | 25944 | 27604 | 85
[14:14:29] 0.501 | 34 | 25950 | 27609 | 81
[14:14:29] 0.551 | 44 | 25949 | 27592 | 82
[14:14:29] 0.601 | 43 | 25951 | 27596 | 93
[14:14:29] 0.651 | 35 | 25954 | 27600 | 82
[14:14:29] 0.701 | 43 | 25950 | 27602 | 77
[14:14:29] 0.751 | 40 | 25944 | 27610 | 71
[14:14:29] 0.801 | 42 | 25940 | 27595 | 88
[14:14:29] 0.851 | 44 | 25938 | 27607 | 83
[14:14:29] 0.901 | 41 | 25945 | 27594 | 73
[14:14:30] 0.951 | 44 | 25939 | 27594 | 74
[14:14:30] 1.001 | 42 | 25941 | 27600 | 77
[14:14:30] 1.051 | 47 | 25943 | 27592 | 73
[14:14:30] 1.101 | 42 | 25951 | 27598 | 86
[14:14:30] 1.151 | 30 | 25948 | 27592 | 85
[14:14:30] 1.201 | 43 | 25946 | 27609 | 80
[14:14:30] 1.251 | 39 | 25951 | 27602 | 88
[14:14:30] 1.301 | 38 | 25976 | 27621 | 93
[14:14:30] 1.351 | 38 | 25975 | 27613 | 97
[14:14:30] 1.401 | 46 | 25977 | 27620 | 79
[14:14:30] 1.451 | 50 | 25968 | 27608 | 90
[14:14:30] 1.501 | 32 | 25969 | 27617 | 77
[14:14:30] 1.551 | 46 | 25979 | 27613 | 84
[14:14:30] 1.601 | 45 | 25976 | 27610 | 86
[14:14:30] 1.651 | 35 | 25965 | 27613 | 93
[14:14:30] 1.701 | 41 | 26026 | 27621 | 94
[14:14:30] 1.751 | 30 | 26034 | 27624 | 80
[14:14:30] 1.801 | 36 | 26035 | 27634 | 89
[14:14:30] 1.851 | 45 | 26016 | 27619 | 80
[14:14:30] 1.901 | 41 | 26016 | 27642 | 84
[14:14:31] 1.951 | 36 | 26025 | 27650 | 87
[14:14:31] 2.001 | 45 | 26031 | 27653 | 79
[14:14:31] 2.051 | 39 | 26036 | 27645 | 93
[14:14:31] 2.101 | 42 | 26044 | 27657 | 90
[14:14:31] 2.151 | 47 | 26039 | 27659 | 102
[14:14:31] 2.201 | 37 | 26072 | 27673 | 89
[14:14:31] 2.251 | 36 | 26105 | 27668 | 86
[14:14:31] 2.301 | 27 | 26128 | 27670 | 78
