timestamped_line
[22:48:27] ▶ Starting baseline phase for 2.5 seconds...
[22:48:27] t (s) | A | B | C | D
[22:48:27] 0.050 | 30821 | 35874 | 35189 | 37442
[22:48:27] 0.100 | 32791 | 38023 | 35218 | 37442
[22:48:27] 0.150 | 40359 | 34722 | 35208 | 37435
[22:48:27] 0.200 | 40122 | 34659 | 35187 | 37447
[22:48:27] 0.250 | 38969 | 39045 | 35195 | 37443
[22:48:27] 0.300 | 35843 | 40200 | 35208 | 37457
[22:48:27] 0.350 | 35587 | 36950 | 35213 | 37443
[22:48:27] 0.400 | 35288 | 38068 | 35201 | 37441
[22:48:27] 0.450 | 38967 | 38614 | 35219 | 37462
[22:48:27] 0.500 | 37825 | 41954 | 35210 | 37455
[22:48:27] 0.550 | 37051 | 34675 | 35187 | 37452
[22:48:27] 0.600 | 37468 | 42482 | 35186 | 37439
[22:48:28] 0.650 | 36770 | 37549 | 35180 | 37456
[22:48:28] 0.700 | 38653 | 35231 | 35192 | 37458
[22:48:28] 0.750 | 36100 | 36702 | 35189 | 37452
[22:48:28] 0.800 | 34203 | 41117 | 35198 | 37451
[22:48:28] 0.850 | 36051 | 36196 | 35172 | 37456
[22:48:28] 0.900 | 39068 | 34510 | 35186 | 37448
[22:48:28] 0.950 | 33872 | 33894 | 35204 | 37458
[22:48:28] 1.000 | 36116 | 38163 | 35208 | 37466
[22:48:28] 1.050 | 32471 | 35938 | 35209 | 37461
[22:48:28] 1.100 | 37859 | 38844 | 35217 | 37459
[22:48:28] 1.150 | 36070 | 34557 | 35218 | 37443
[22:48:28] 1.200 | 32881 | 35061 | 35228 | 37459
[22:48:28] 1.250 | 36012 | 37264 | 35237 | 37443
[22:48:28] 1.300 | 32247 | 38617 | 35224 | 37460
[22:48:28] 1.350 | 37214 | 36474 | 35234 | 37461
[22:48:28] 1.400 | 34488 | 39135 | 35225 | 37463
[22:48:28] 1.450 | 33018 | 38416 | 35206 | 37453
