ADC
2816
2818
2817
2818
2819
2819
2818
2819
2819
2818
2818
2819
2818
2817
2818
2819
2818
2819
2819
2819
2819
2819
2821
2820
2821
2820
2820
2820
2820
2820
2820
2821
2821
2820
2820
2820
2821
2822
2821
2820
2821
2820
2820
2820
2821
2820
2822
2822
2820
2821
2821
2821
2821
2821
2821
2821
2822
2820
2822
2821
2821
2821
2821
2821
2820
2821
2820
2820
2821
2820
2820
2821
2821
2820
2821
2821
2821
2821
2820
2820
2821
2821
2821
2821
2821
2820
2820
2822
2821
2820
2820
2821
2821
2821
2820
2822
2823
2821
2823
2821
2821
2821
2822
2822
2821
2822
2822
2822
2821
2823
2822
2821
2823
2824
2824
2823
2824
2823
2824
2824
2825
2823
2824
2824
2824
2824
2824
2824
2824
2824
2824
2825
2824
2825
2824
2824
2824
2824
2824
2824
