timestamped_line
[14:25:47] ▶ Starting baseline phase for 5 seconds...
[14:25:51] [MAIN] t = 1.100 s | ADC: 2821 | V: 2.2733
[14:25:51] [MAIN] t = 1.150 s | ADC: 2820 | V: 2.2725
[14:25:51] [MAIN] t = 1.200 s | ADC: 2821 | V: 2.2733
[14:25:51] [MAIN] t = 1.250 s | ADC: 2820 | V: 2.2725
[14:25:51] [MAIN] t = 1.300 s | ADC: 2820 | V: 2.2725
[14:25:51] [MAIN] t = 1.350 s | ADC: 2820 | V: 2.2725
[14:25:51] [MAIN] t = 1.400 s | ADC: 2820 | V: 2.2725
[14:25:51] [MAIN] t = 1.450 s | ADC: 2820 | V: 2.2725
[14:25:51] [MAIN] t = 1.500 s | ADC: 2820 | V: 2.2725
[14:25:51] [MAIN] t = 1.550 s | ADC: 2821 | V: 2.2733
[14:25:51] [MAIN] t = 1.600 s | ADC: 2821 | V: 2.2733
[14:25:51] [MAIN] t = 1.650 s | ADC: 2820 | V: 2.2725
[14:25:51] [MAIN] t = 1.700 s | ADC: 2820 | V: 2.2725
[14:25:51] [MAIN] t = 1.750 s | ADC: 2820 | V: 2.2725
[14:25:51] [MAIN] t = 1.800 s | ADC: 2821 | V: 2.2733
[14:25:51] [MAIN] t = 1.850 s | ADC: 2822 | V: 2.2741
[14:25:51] [MAIN] t = 1.900 s | ADC: 2821 | V: 2.2733
[14:25:51] [MAIN] t = 1.950 s | ADC: 2820 | V: 2.2725
[14:25:52] [MAIN] t = 2.000 s | ADC: 2821 | V: 2.2733
[14:25:52] [MAIN] t = 2.050 s | ADC: 2820 | V: 2.2725
[14:25:52] [MAIN] t = 2.100 s | ADC: 2820 | V: 2.2725
[14:25:52] [MAIN] t = 2.150 s | ADC: 2820 | V: 2.2725
[14:25:52] [MAIN] t = 2.200 s | ADC: 2821 | V: 2.2733
[14:25:52] [MAIN] t = 2.250 s | ADC: 2820 | V: 2.2725
[14:25:52] [MAIN] t = 2.300 s | ADC: 2822 | V: 2.2741
[14:25:52] [MAIN] t = 2.350 s | ADC: 2822 | V: 2.2741
[14:25:52] [MAIN] t = 2.400 s | ADC: 2820 | V: 2.2725
[14:25:52] [MAIN] t = 2.450 s | ADC: 2821 | V: 2.2733
[14:25:52] [MAIN] t = 2.500 s | ADC: 2821 | V: 2.2733
[14:25:52] [MAIN] t = 2.550 s | ADC: 2821 | V: 2.2733
[14:25:52] [MAIN] t = 2.600 s | ADC: 2821 | V: 2.2733
[14:25:52] [MAIN] t = 2.650 s | ADC: 2821 | V: 2.2733
[14:25:52] [MAIN] t = 2.700 s | ADC: 2821 | V: 2.2733
[14:25:52] [MAIN] t = 2.750 s | ADC: 2821 | V: 2.2733
[14:25:52] [MAIN] t = 2.800 s | ADC: 2822 | V: 2.2741
[14:25:52] [MAIN] t = 2.850 s | ADC: 2820 | V: 2.2725
[14:25:52] [MAIN] t = 2.900 s | ADC: 2822 | V: 2.2741
[14:25:52] [MAIN] t = 2.950 s | ADC: 2821 | V: 2.2733
[14:25:53] [MAIN] t = 3.000 s | ADC: 2821 | V: 2.2733
[14:25:53] [MAIN] t = 3.050 s | ADC: 2821 | V: 2.2733
