timestamped_line
[16:46:52] ▶ Starting baseline phase for 2.5 seconds...
[16:46:52] t (s) | A | B | C | D
[16:46:52] 0.051 | 36710 | 36299 | 10 | 19773
[16:46:52] 0.101 | 34766 | 37631 | 10 | 19764
[16:46:52] 0.151 | 33289 | 32322 | 10 | 19759
[16:46:52] 0.201 | 32572 | 32816 | 9 | 19744
[16:46:52] 0.251 | 33044 | 37762 | 9 | 19755
[16:46:52] 0.301 | 34883 | 36824 | 12 | 19751
[16:46:52] 0.351 | 32870 | 35430 | 8 | 19748
[16:46:52] 0.401 | 34469 | 34843 | 11 | 19752
[16:46:52] 0.451 | 34202 | 37384 | 10 | 19745
[16:46:52] 0.501 | 37906 | 37945 | 10 | 19737
[16:46:52] 0.551 | 32893 | 36356 | 10 | 19731
[16:46:52] 0.601 | 33087 | 37336 | 9 | 19726
[16:46:52] 0.651 | 33242 | 37422 | 13 | 19732
[16:46:52] 0.701 | 36191 | 37010 | 4 | 19731
[16:46:53] 0.751 | 38685 | 32836 | 8 | 19713
[16:46:53] 0.801 | 35710 | 33292 | 11 | 19724
[16:46:53] 0.851 | 35098 | 40213 | 10 | 19707
[16:46:53] 0.901 | 33827 | 34958 | 10 | 19699
[16:46:53] 0.951 | 30942 | 38871 | 11 | 19693
[16:46:53] 1.001 | 33505 | 32950 | 9 | 19680
[16:46:53] 1.051 | 34266 | 33772 | 5 | 19679
[16:46:53] 1.101 | 32219 | 33596 | 8 | 19668
[16:46:53] 1.151 | 35802 | 37296 | 7 | 19659
[16:46:53] 1.201 | 40168 | 35311 | 10 | 19638
[16:46:53] 1.251 | 34957 | 35994 | 11 | 19647
[16:46:53] 1.301 | 34946 | 37000 | 11 | 19639
[16:46:53] 1.351 | 34362 | 38491 | 10 | 19635
[16:46:53] 1.401 | 36066 | 39310 | 8 | 19644
[16:46:53] 1.451 | 34804 | 39509 | 4 | 19631
[16:46:53] 1.501 | 35351 | 37254 | 7 | 19624
[16:46:53] 1.551 | 31580 | 37578 | 3 | 19617
[16:46:53] 1.601 | 37410 | 38226 | 6 | 19604
[16:46:53] 1.651 | 34647 | 38664 | 7 | 19627
[16:46:53] 1.701 | 33597 | 31772 | 10 | 19622
[16:46:54] 1.751 | 31928 | 34118 | 8 | 19620
[16:46:54] 1.801 | 33060 | 34437 | 15 | 19607
[16:46:54] 1.851 | 38764 | 38368 | 7 | 19614
[16:46:54] 1.901 | 39088 | 35272 | 7 | 19614
[16:46:54] 1.951 | 34944 | 33185 | 6 | 19608
[16:46:54] 2.001 | 33681 | 33756 | 4 | 19616
[16:46:54] 2.051 | 36556 | 35831 | 14 | 19632
[16:46:54] 2.101 | 34380 | 35769 | 9 | 19613
[16:46:54] 2.151 | 34068 | 38944 | 10 | 19619
[16:46:54] 2.201 | 34941 | 38776 | 13 | 19617
[16:46:54] 2.251 | 32082 | 38640 | 9 | 19608
[16:46:54] 2.301 | 31665 | 34235 | 13 | 19604
[16:46:54] 2.351 | 34634 | 36672 | 7 | 19601
[16:46:54] 2.401 | 30981 | 40046 | 9 | 19586
[16:46:54] 2.451 | 38426 | 38518 | 7 | 19617
[16:46:54] ✅ Baseline complete. Starting main recording for 10 seconds...
[16:46:54] 2.501 | 30651 | 38637 | 8 | 19615
[16:46:54] 0.050 | 33440 | 32078 | 11 | 19596
[16:46:54] 0.100 | 33510 | 43332 | 11 | 19617
[16:46:54] 0.150 | 36640 | 43461 | 9 | 19628
[16:46:54] 0.200 | 32677 | 32922 | 9 | 19606
[16:46:55] 0.250 | 30548 | 38240 | 9 | 19595
[16:46:55] 0.300 | 31324 | 34954 | 10 | 19611
[16:46:55] 0.350 | 32309 | 34714 | 12 | 19608
[16:46:55] 0.400 | 33503 | 37991 | 13 | 19611
[16:46:55] 0.450 | 34214 | 37146 | 8 | 19607
[16:46:55] 0.500 | 28906 | 36006 | 9 | 19619
[16:46:55] 0.550 | 36923 | 34680 | 12 | 19582
[16:46:55] 0.600 | 34495 | 34428 | 8 | 19607
[16:46:55] 0.650 | 34109 | 33012 | 7 | 19597
[16:46:55] 0.700 | 31964 | 36592 | 10 | 19599
[16:46:55] 0.750 | 30906 | 38062 | 10 | 19591
[16:46:55] 0.800 | 32887 | 35256 | 11 | 19603
[16:46:55] 0.850 | 36777 | 35150 | 6 | 19610
[16:46:55] 0.900 | 35113 | 36171 | 10 | 19624
[16:46:55] 0.950 | 32332 | 36141 | 11 | 19614
[16:46:55] 1.000 | 35422 | 37440 | 7 | 19620
[16:46:55] 1.050 | 35162 | 35950 | 6 | 19610
[16:46:55] 1.100 | 34622 | 37654 | 11 | 19618
[16:46:55] 1.150 | 32475 | 35628 | 6 | 19605
[16:46:55] 1.200 | 33135 | 34532 | 8 | 19632
[16:46:56] 1.250 | 29102 | 34214 | 9 | 19633
[16:46:56] 1.300 | 35098 | 35855 | 13 | 19633
[16:46:56] 1.350 | 35805 | 36655 | 7 | 19635
[16:46:56] 1.400 | 34143 | 36662 | 8 | 19634
[16:46:56] 1.450 | 34043 | 33613 | 8 | 19646
[16:46:56] 1.500 | 30273 | 30715 | 13 | 19649
[16:46:56] 1.550 | 33955 | 33543 | 6 | 19651
[16:46:56] 1.600 | 33643 | 39588 | 9 | 19670
[16:46:56] 1.650 | 31483 | 36847 | 10 | 19667
[16:46:56] 1.700 | 31752 | 35566 | 5 | 19671
[16:46:56] 1.750 | 34776 | 35748 | 14 | 19664
[16:46:56] 1.800 | 35212 | 38488 | 12 | 19662
[16:46:56] 1.850 | 34725 | 38530 | 8 | 19660
[16:46:56] 1.900 | 30182 | 33458 | 6 | 19658
[16:46:56] 1.950 | 34359 | 39354 | 5 | 19629
[16:46:56] 2.000 | 34694 | 36228 | 14 | 19659
[16:46:56] 2.050 | 33091 | 35605 | 11 | 19645
