timestamped_line
"[13:40:39] Ready. Type 's' to start logging, 'e' to stop."
[13:40:39] Sensor Info:
[13:40:39] Sensor ID: 50
[13:40:39] Sensor Name: FORCE PLATE 850
[13:40:39] Units: N
[13:40:39] ▶️ START LOGGING
"[13:40:39] Time(s), Force(N), DeltaF(N), FSR1, FSR2, FSR3"
"[13:40:49] 13.81, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:40:49] 14.02, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:40:50] 14.13, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:40:50] 14.35, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:40:50] 14.46, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:40:50] 14.68, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:40:50] 14.79, Force(N): 18.633, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 1022"
"[13:40:50] 14.90, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:40:50] 15.02, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:40:50] 15.13, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:40:51] 15.24, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[13:40:51] 15.46, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:40:51] 15.77, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:40:51] 15.89, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[13:40:52] 16.61, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:40:52] 16.72, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[13:40:52] 16.83, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:40:52] 16.95, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:40:53] 17.36, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:40:53] 17.48, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:40:53] 17.69, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:40:53] 17.81, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:40:53] 18.02, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:40:54] 18.13, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:40:54] 18.25, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:40:54] 18.46, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:40:54] 18.68, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:40:54] 18.89, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:40:54] 19.00, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:40:54] 19.12, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:40:55] 19.33, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:40:55] 19.45, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:40:55] 19.56, Force(N): 17.622, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:40:55] 19.67, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
