timestamped_line
[15:34:06] ▶ Starting baseline phase for 2.5 seconds...
[15:34:06] t (s) | A | B | C | D
[15:34:11] 2.500 | 36291 | 39063 | 40 | 19139
[15:34:11] 2.550 | 36007 | 35650 | 39 | 19107
[15:34:11] 2.600 | 33625 | 40087 | 44 | 19070
[15:34:11] 2.650 | 33196 | 38322 | 42 | 19084
[15:34:11] 2.700 | 41939 | 43651 | 41 | 19190
[15:34:11] 2.750 | 36358 | 39938 | 38 | 19147
[15:34:11] 2.800 | 38926 | 44902 | 39 | 19112
[15:34:12] 2.850 | 36615 | 41103 | 36 | 19090
[15:34:12] 2.900 | 35738 | 37461 | 33 | 19090
[15:34:12] 2.950 | 37409 | 37355 | 37 | 19134
[15:34:12] 3.000 | 37669 | 37776 | 40 | 19182
[15:34:12] 3.050 | 38308 | 36658 | 39 | 19145
[15:34:12] 3.100 | 36159 | 34337 | 40 | 19130
[15:34:12] 3.150 | 32502 | 37811 | 35 | 19124
[15:34:12] 3.200 | 36603 | 35690 | 44 | 19113
[15:34:12] 3.250 | 39999 | 41308 | 43 | 19150
[15:34:12] 3.300 | 34543 | 37905 | 37 | 19172
[15:34:12] 3.350 | 33692 | 36857 | 38 | 19178
[15:34:12] 3.400 | 37126 | 38881 | 42 | 19174
[15:34:12] 3.450 | 37563 | 38328 | 40 | 19151
[15:34:12] 3.500 | 33394 | 35779 | 38 | 19109
[15:34:12] 3.550 | 34387 | 35809 | 42 | 19106
[15:34:12] 3.600 | 35439 | 35936 | 40 | 19118
[15:34:12] 3.650 | 32716 | 34099 | 36 | 19170
[15:34:12] 3.700 | 33800 | 32923 | 36 | 19154
[15:34:12] 3.750 | 32753 | 36580 | 40 | 19121
[15:34:12] 3.800 | 34026 | 36241 | 39 | 19121
[15:34:13] 3.850 | 31488 | 38390 | 40 | 19137
[15:34:13] 3.900 | 36557 | 42673 | 52 | 19193
[15:34:13] 3.950 | 37733 | 38134 | 41 | 19194
[15:34:13] 4.000 | 41559 | 35918 | 41 | 19164
[15:34:13] 4.050 | 32348 | 36107 | 38 | 19159
[15:34:13] 4.100 | 32456 | 36159 | 40 | 19147
[15:34:13] 4.150 | 32680 | 38604 | 36 | 19139
[15:34:13] 4.200 | 37423 | 37891 | 39 | 19192
[15:34:13] 4.250 | 33625 | 37087 | 35 | 19205
[15:34:13] 4.300 | 38025 | 35775 | 38 | 19236
[15:34:13] 4.350 | 36109 | 36950 | 37 | 19139
[15:34:13] 4.400 | 38135 | 37933 | 38 | 19164
[15:34:13] 4.450 | 40531 | 36520 | 41 | 19129
[15:34:13] 4.500 | 40073 | 39582 | 42 | 19125
[15:34:13] 4.550 | 37246 | 38089 | 39 | 19178
[15:34:13] 4.600 | 37975 | 35643 | 40 | 19184
[15:34:13] 4.650 | 36212 | 37848 | 43 | 19192
[15:34:13] 4.700 | 39512 | 37469 | 36 | 19200
[15:34:13] 4.750 | 40039 | 40524 | 36 | 19163
[15:34:13] 4.800 | 39309 | 38932 | 39 | 19137
[15:34:14] 4.850 | 33624 | 37871 | 41 | 19146
[15:34:14] 4.900 | 36331 | 36930 | 41 | 19171
[15:34:14] 4.950 | 34355 | 42408 | 43 | 19187
[15:34:14] 5.000 | 32441 | 33966 | 39 | 19229
[15:34:14] 5.050 | 32347 | 40418 | 37 | 19172
[15:34:14] 5.100 | 38743 | 40305 | 47 | 19167
[15:34:14] 5.150 | 35399 | 39573 | 36 | 19121
