timestamped_line
[14:08:33] ▶ Starting baseline phase for 5 seconds...
[14:08:40] [MAIN] t = 3.650 s | ADC: 2380 | V: 1.9179
[14:08:40] [MAIN] t = 3.700 s | ADC: 2379 | V: 1.9171
[14:08:40] [MAIN] t = 3.750 s | ADC: 2380 | V: 1.9179
[14:08:40] [MAIN] t = 3.800 s | ADC: 2379 | V: 1.9171
[14:08:40] [MAIN] t = 3.850 s | ADC: 2380 | V: 1.9179
[14:08:40] [MAIN] t = 3.900 s | ADC: 2380 | V: 1.9179
[14:08:40] [MAIN] t = 3.950 s | ADC: 2379 | V: 1.9171
[14:08:41] [MAIN] t = 4.000 s | ADC: 2380 | V: 1.9179
[14:08:41] [MAIN] t = 4.050 s | ADC: 2380 | V: 1.9179
[14:08:41] [MAIN] t = 4.100 s | ADC: 2380 | V: 1.9179
[14:08:41] [MAIN] t = 4.150 s | ADC: 2380 | V: 1.9179
[14:08:41] [MAIN] t = 4.200 s | ADC: 2378 | V: 1.9163
[14:08:41] [MAIN] t = 4.250 s | ADC: 2379 | V: 1.9171
[14:08:41] [MAIN] t = 4.300 s | ADC: 2380 | V: 1.9179
[14:08:41] [MAIN] t = 4.350 s | ADC: 2379 | V: 1.9171
[14:08:41] [MAIN] t = 4.400 s | ADC: 2380 | V: 1.9179
[14:08:41] [MAIN] t = 4.450 s | ADC: 2380 | V: 1.9179
[14:08:41] [MAIN] t = 4.500 s | ADC: 2380 | V: 1.9179
[14:08:41] [MAIN] t = 4.550 s | ADC: 2380 | V: 1.9179
[14:08:41] [MAIN] t = 4.600 s | ADC: 2379 | V: 1.9171
[14:08:41] [MAIN] t = 4.650 s | ADC: 2378 | V: 1.9163
[14:08:41] [MAIN] t = 4.700 s | ADC: 2379 | V: 1.9171
[14:08:41] [MAIN] t = 4.750 s | ADC: 2379 | V: 1.9171
[14:08:41] [MAIN] t = 4.800 s | ADC: 2378 | V: 1.9163
[14:08:41] [MAIN] t = 4.850 s | ADC: 2379 | V: 1.9171
[14:08:41] [MAIN] t = 4.900 s | ADC: 2377 | V: 1.9155
[14:08:41] [MAIN] t = 4.950 s | ADC: 2378 | V: 1.9163
[14:08:42] [MAIN] t = 5.000 s | ADC: 2378 | V: 1.9163
[14:08:42] [MAIN] t = 5.050 s | ADC: 2378 | V: 1.9163
[14:08:42] [MAIN] t = 5.100 s | ADC: 2378 | V: 1.9163
[14:08:42] [MAIN] t = 5.150 s | ADC: 2379 | V: 1.9171
[14:08:42] [MAIN] t = 5.200 s | ADC: 2377 | V: 1.9155
[14:08:42] [MAIN] t = 5.250 s | ADC: 2378 | V: 1.9163
[14:08:42] [MAIN] t = 5.300 s | ADC: 2379 | V: 1.9171
[14:08:42] [MAIN] t = 5.350 s | ADC: 2378 | V: 1.9163
[14:08:42] [MAIN] t = 5.400 s | ADC: 2378 | V: 1.9163
[14:08:42] [MAIN] t = 5.450 s | ADC: 2378 | V: 1.9163
[14:08:42] [MAIN] t = 5.500 s | ADC: 2377 | V: 1.9155
[14:08:42] [MAIN] t = 5.550 s | ADC: 2378 | V: 1.9163
[14:08:42] [MAIN] t = 5.600 s | ADC: 2380 | V: 1.9179
[14:08:42] [MAIN] t = 5.650 s | ADC: 2378 | V: 1.9163
[14:08:42] [MAIN] t = 5.700 s | ADC: 2378 | V: 1.9163
[14:08:42] [MAIN] t = 5.750 s | ADC: 2377 | V: 1.9155
[14:08:42] [MAIN] t = 5.800 s | ADC: 2378 | V: 1.9163
[14:08:42] [MAIN] t = 5.850 s | ADC: 2376 | V: 1.9147
[14:08:42] [MAIN] t = 5.900 s | ADC: 2376 | V: 1.9147
[14:08:42] [MAIN] t = 5.950 s | ADC: 2376 | V: 1.9147
[14:08:43] [MAIN] t = 6.000 s | ADC: 2378 | V: 1.9163
