timestamped_line
[14:13:16] ▶ Starting baseline phase for 5 seconds...
[14:13:18] [BASE] t = 2.150 s | ADC: 2844 | V: 2.2919
[14:13:18] [BASE] t = 2.200 s | ADC: 2844 | V: 2.2919
[14:13:18] [BASE] t = 2.250 s | ADC: 2845 | V: 2.2927
[14:13:18] [BASE] t = 2.300 s | ADC: 2845 | V: 2.2927
[14:13:18] [BASE] t = 2.350 s | ADC: 2845 | V: 2.2927
[14:13:18] [BASE] t = 2.400 s | ADC: 2844 | V: 2.2919
[14:13:18] [BASE] t = 2.450 s | ADC: 2844 | V: 2.2919
[14:13:18] [BASE] t = 2.500 s | ADC: 2845 | V: 2.2927
[14:13:18] [BASE] t = 2.550 s | ADC: 2844 | V: 2.2919
[14:13:18] [BASE] t = 2.600 s | ADC: 2845 | V: 2.2927
[14:13:18] [BASE] t = 2.650 s | ADC: 2844 | V: 2.2919
[14:13:19] [BASE] t = 2.700 s | ADC: 2845 | V: 2.2927
[14:13:19] [BASE] t = 2.750 s | ADC: 2845 | V: 2.2927
[14:13:19] [BASE] t = 2.800 s | ADC: 2845 | V: 2.2927
[14:13:19] [BASE] t = 2.850 s | ADC: 2844 | V: 2.2919
[14:13:19] [BASE] t = 2.900 s | ADC: 2846 | V: 2.2935
[14:13:19] [BASE] t = 2.950 s | ADC: 2845 | V: 2.2927
[14:13:19] [BASE] t = 3.000 s | ADC: 2845 | V: 2.2927
[14:13:19] ✅ Baseline complete. Starting main recording for 20 seconds...
[14:13:19] [MAIN] t = 0.000 s | ADC: 2843 | V: 2.2911
[14:13:19] [MAIN] t = 0.050 s | ADC: 2845 | V: 2.2927
[14:13:19] [MAIN] t = 0.100 s | ADC: 2844 | V: 2.2919
[14:13:19] [MAIN] t = 0.150 s | ADC: 2844 | V: 2.2919
[14:13:19] [MAIN] t = 0.200 s | ADC: 2845 | V: 2.2927
[14:13:19] [MAIN] t = 0.250 s | ADC: 2844 | V: 2.2919
[14:13:19] [MAIN] t = 0.300 s | ADC: 2844 | V: 2.2919
[14:13:19] [MAIN] t = 0.350 s | ADC: 2845 | V: 2.2927
[14:13:19] [MAIN] t = 0.400 s | ADC: 2845 | V: 2.2927
[14:13:19] [MAIN] t = 0.450 s | ADC: 2845 | V: 2.2927
[14:13:19] [MAIN] t = 0.500 s | ADC: 2845 | V: 2.2927
[14:13:19] [MAIN] t = 0.550 s | ADC: 2845 | V: 2.2927
[14:13:19] [MAIN] t = 0.600 s | ADC: 2845 | V: 2.2927
[14:13:20] [MAIN] t = 0.650 s | ADC: 2847 | V: 2.2943
[14:13:20] [MAIN] t = 0.700 s | ADC: 2847 | V: 2.2943
[14:13:20] [MAIN] t = 0.750 s | ADC: 2847 | V: 2.2943
[14:13:20] [MAIN] t = 0.800 s | ADC: 2847 | V: 2.2943
[14:13:20] [MAIN] t = 0.850 s | ADC: 2846 | V: 2.2935
[14:13:20] [MAIN] t = 0.900 s | ADC: 2847 | V: 2.2943
[14:13:20] [MAIN] t = 0.950 s | ADC: 2847 | V: 2.2943
[14:13:20] [MAIN] t = 1.000 s | ADC: 2847 | V: 2.2943
[14:13:20] [MAIN] t = 1.050 s | ADC: 2848 | V: 2.2951
[14:13:20] [MAIN] t = 1.100 s | ADC: 2846 | V: 2.2935
[14:13:20] [MAIN] t = 1.150 s | ADC: 2846 | V: 2.2935
[14:13:20] [MAIN] t = 1.200 s | ADC: 2847 | V: 2.2943
[14:13:20] [MAIN] t = 1.250 s | ADC: 2846 | V: 2.2935
[14:13:20] [MAIN] t = 1.300 s | ADC: 2847 | V: 2.2943
[14:13:20] [MAIN] t = 1.350 s | ADC: 2846 | V: 2.2935
[14:13:20] [MAIN] t = 1.400 s | ADC: 2848 | V: 2.2951
[14:13:20] [MAIN] t = 1.450 s | ADC: 2847 | V: 2.2943
[14:13:20] [MAIN] t = 1.500 s | ADC: 2848 | V: 2.2951
[14:13:20] [MAIN] t = 1.550 s | ADC: 2846 | V: 2.2935
[14:13:20] [MAIN] t = 1.600 s | ADC: 2846 | V: 2.2935
[14:13:21] [MAIN] t = 1.650 s | ADC: 2847 | V: 2.2943
[14:13:21] [MAIN] t = 1.700 s | ADC: 2847 | V: 2.2943
[14:13:21] [MAIN] t = 1.750 s | ADC: 2848 | V: 2.2951
[14:13:21] [MAIN] t = 1.800 s | ADC: 2848 | V: 2.2951
[14:13:21] [MAIN] t = 1.850 s | ADC: 2846 | V: 2.2935
[14:13:21] [MAIN] t = 1.900 s | ADC: 2846 | V: 2.2935
[14:13:21] [MAIN] t = 1.950 s | ADC: 2846 | V: 2.2935
[14:13:21] [MAIN] t = 2.000 s | ADC: 2848 | V: 2.2951
[14:13:21] [MAIN] t = 2.050 s | ADC: 2848 | V: 2.2951
[14:13:21] [MAIN] t = 2.100 s | ADC: 2850 | V: 2.2967
[14:13:21] [MAIN] t = 2.150 s | ADC: 2849 | V: 2.2959
[14:13:21] [MAIN] t = 2.200 s | ADC: 2850 | V: 2.2967
[14:13:21] [MAIN] t = 2.250 s | ADC: 2849 | V: 2.2959
[14:13:21] [MAIN] t = 2.300 s | ADC: 2850 | V: 2.2967
[14:13:21] [MAIN] t = 2.350 s | ADC: 2850 | V: 2.2967
[14:13:21] [MAIN] t = 2.400 s | ADC: 2850 | V: 2.2967
[14:13:21] [MAIN] t = 2.450 s | ADC: 2850 | V: 2.2967
[14:13:21] [MAIN] t = 2.500 s | ADC: 2851 | V: 2.2975
[14:13:21] [MAIN] t = 2.550 s | ADC: 2851 | V: 2.2975
[14:13:21] [MAIN] t = 2.600 s | ADC: 2850 | V: 2.2967
[14:13:22] [MAIN] t = 2.650 s | ADC: 2851 | V: 2.2975
[14:13:22] [MAIN] t = 2.700 s | ADC: 2850 | V: 2.2967
[14:13:22] [MAIN] t = 2.750 s | ADC: 2851 | V: 2.2975
[14:13:22] [MAIN] t = 2.800 s | ADC: 2851 | V: 2.2975
[14:13:22] [MAIN] t = 2.850 s | ADC: 2851 | V: 2.2975
[14:13:22] [MAIN] t = 2.900 s | ADC: 2851 | V: 2.2975
[14:13:22] [MAIN] t = 2.950 s | ADC: 2850 | V: 2.2967
[14:13:22] [MAIN] t = 3.000 s | ADC: 2851 | V: 2.2975
[14:13:22] [MAIN] t = 3.050 s | ADC: 2852 | V: 2.2983
[14:13:22] [MAIN] t = 3.100 s | ADC: 2852 | V: 2.2983
[14:13:22] [MAIN] t = 3.150 s | ADC: 2851 | V: 2.2975
[14:13:22] [MAIN] t = 3.200 s | ADC: 2851 | V: 2.2975
[14:13:22] [MAIN] t = 3.250 s | ADC: 2851 | V: 2.2975
[14:13:22] [MAIN] t = 3.300 s | ADC: 2852 | V: 2.2983
[14:13:22] [MAIN] t = 3.350 s | ADC: 2853 | V: 2.2991
[14:13:22] [MAIN] t = 3.400 s | ADC: 2852 | V: 2.2983
[14:13:22] [MAIN] t = 3.450 s | ADC: 2852 | V: 2.2983
[14:13:22] [MAIN] t = 3.500 s | ADC: 2853 | V: 2.2991
[14:13:22] [MAIN] t = 3.550 s | ADC: 2852 | V: 2.2983
[14:13:22] [MAIN] t = 3.600 s | ADC: 2852 | V: 2.2983
[14:13:23] [MAIN] t = 3.650 s | ADC: 2853 | V: 2.2991
[14:13:23] [MAIN] t = 3.700 s | ADC: 2852 | V: 2.2983
[14:13:23] [MAIN] t = 3.750 s | ADC: 2851 | V: 2.2975
[14:13:23] [MAIN] t = 3.800 s | ADC: 2851 | V: 2.2975
[14:13:23] [MAIN] t = 3.850 s | ADC: 2851 | V: 2.2975
[14:13:23] [MAIN] t = 3.900 s | ADC: 2852 | V: 2.2983
[14:13:23] [MAIN] t = 3.950 s | ADC: 2852 | V: 2.2983
[14:13:23] [MAIN] t = 4.000 s | ADC: 2853 | V: 2.2991
[14:13:23] [MAIN] t = 4.050 s | ADC: 2852 | V: 2.2983
[14:13:23] [MAIN] t = 4.100 s | ADC: 2852 | V: 2.2983
