timestamped_line
[17:13:42] ▶ Starting baseline phase for 5 seconds...
[17:13:42] [BASE] t = 0.050 s | ADC: 391 | V: 0.3151
[17:13:42] [BASE] t = 0.100 s | ADC: 387 | V: 0.3119
[17:13:43] [BASE] t = 0.150 s | ADC: 384 | V: 0.3095
[17:13:43] [BASE] t = 0.200 s | ADC: 376 | V: 0.3030
[17:13:43] [BASE] t = 0.250 s | ADC: 374 | V: 0.3014
[17:13:43] [BASE] t = 0.300 s | ADC: 384 | V: 0.3095
[17:13:43] [BASE] t = 0.350 s | ADC: 388 | V: 0.3127
[17:13:43] [BASE] t = 0.400 s | ADC: 386 | V: 0.3111
[17:13:43] [BASE] t = 0.450 s | ADC: 384 | V: 0.3095
[17:13:43] [BASE] t = 0.500 s | ADC: 368 | V: 0.2966
[17:13:43] [BASE] t = 0.550 s | ADC: 377 | V: 0.3038
[17:13:43] [BASE] t = 0.600 s | ADC: 384 | V: 0.3095
[17:13:43] [BASE] t = 0.650 s | ADC: 385 | V: 0.3103
[17:13:43] [BASE] t = 0.700 s | ADC: 391 | V: 0.3151
[17:13:43] [BASE] t = 0.750 s | ADC: 385 | V: 0.3103
[17:13:43] [BASE] t = 0.800 s | ADC: 381 | V: 0.3070
[17:13:43] [BASE] t = 0.850 s | ADC: 384 | V: 0.3095
[17:13:43] [BASE] t = 0.900 s | ADC: 390 | V: 0.3143
[17:13:43] [BASE] t = 0.950 s | ADC: 488 | V: 0.3933
[17:13:43] [BASE] t = 1.000 s | ADC: 478 | V: 0.3852
[17:13:43] [BASE] t = 1.050 s | ADC: 387 | V: 0.3119
[17:13:43] [BASE] t = 1.100 s | ADC: 485 | V: 0.3908
[17:13:44] [BASE] t = 1.150 s | ADC: 494 | V: 0.3981
[17:13:44] [BASE] t = 1.200 s | ADC: 487 | V: 0.3925
[17:13:44] [BASE] t = 1.250 s | ADC: 489 | V: 0.3941
[17:13:44] [BASE] t = 1.300 s | ADC: 491 | V: 0.3957
[17:13:44] [BASE] t = 1.350 s | ADC: 468 | V: 0.3771
[17:13:44] [BASE] t = 1.400 s | ADC: 384 | V: 0.3095
